"GSM712478"	"GSM712479"	"GSM712480"	"GSM712481"	"GSM712482"	"GSM712483"	"GSM712484"	"GSM712485"	"GSM712486"	"GSM712487"	"GSM712488"	"GSM712489"	"GSM712490"	"GSM712491"	"GSM712492"	"GSM712493"	"GSM712494"	"GSM712495"	"GSM712496"	"GSM712497"	"GSM712498"	"GSM712499"	"GSM712500"	"GSM712501"	"GSM712502"	"GSM712503"	"GSM712504"	"GSM712505"	"GSM712506"	"GSM712507"
"JAKMIP2-AS1"	3.2438	3.7246	4.4822	2.627	3.281	1.8212	3.8898	4.1418	2.9763	4.5602	3.7715	3.5979	3.9633	2.4766	6.0302	3.4467	1.5491	5.2949	3.7803	6.1045	4.0734	2.5951	3.9279	2.6488	2.1867	3.6608	4.986	3.9102	3.9187	5.2212
"JARID2-AS1"	6.9949	6.2504	4.1346	4.8531	6.5782	4.1591	3.9057	6.2735	1.9455	3.9654	7.0726	4.5944	5.1916	5.3702	7.151	3.9376	6.1479	5.9107	2.9152	5.338	3.8078	3.7197	3.0734	4.674	3.1999	4.5872	6.6793	7.2051	6.4814	5.1295
"JAZF1-AS1"	1.864	3.5802	1.8896	2.8575	6.2955	1.5476	2.4067	2.3027	3.132	4.5438	3.333	2.3062	2.5269	2.7213	3.2402	3.592	2.0686	3.138	1.3503	4.8169	2.2765	5.9762	2.7533	1.608	3.084	2.3657	3.8914	2.2739	2.6458	5.9962
"JHDM1D-AS1"	11.2824	11.2128	10.3682	9.8283	9.2268	9.7395	11.1905	9.7018	9.5094	9.9221	9.2514	8.9523	9.2457	9.0147	9.2057	9.3598	8.8151	9.2096	9.4576	9.1079	9.3216	8.3696	8.513	8.8582	9.1081	8.9869	10.8176	9.4731	8.895	9.3849
"JMJD1C-AS1"	6.7209	6.5139	7.0349	7.3332	6.5591	6.9511	5.721	7.2217	6.8332	6.0828	7.1824	5.4867	5.7429	5.1257	5.5559	6.9386	5.7819	7.0203	6.8528	6.8313	7.3168	5.9011	7.5312	5.9515	6.796	7.1	7.5059	7.9707	6.4358	6.9235
"JPX"	7.5202	7.9856	8.6645	7.4362	8.5109	8.2602	7.4063	9.2022	9.5618	9.2531	8.8812	9.8123	9.3226	8.948	9.3762	8.6943	8.5534	8.5933	8.2397	9.9861	8.1467	8.754	7.9659	8.5031	8.3348	7.6206	7.5215	8.6263	8.9102	8.0289
"KANK1"	9.1416	7.8904	8.5914	8.5967	8.3786	8.8899	9.2748	8.9717	7.0567	9.1806	7.9823	8.2613	8.8423	7.9411	8.5072	8.4068	8.7244	9.2684	9.2738	9.1705	8.748	8.1395	8.4524	8.9634	8.719	8.74	10.0348	9.3945	9.3741	9.3368
"KANSL1-AS1"	9.4763	9.9745	9.4369	9.6048	8.9648	8.7869	9.8823	11.5688	8.551	11.3388	10.1018	10.3768	9.3585	10.9928	9.4346	11.0231	9.4732	9.6037	9.2828	9.4575	10.0881	9.3462	9.0124	11.132	9.788	10.1234	11.7258	10.385	11.2009	11.1511
"KB-1000E4.2"	6.3146	3.1613	3.8287	2.669	2.7903	2.6345	3.945	2.522	4.0858	2.8948	1.5851	5.2309	3.1987	4.5551	5.8979	5.0496	1.9528	2.7754	1.6096	4.3953	1.3842	2.4803	2.3134	3.5801	4.4721	4.0923	3.8372	3.8463	5.2715	5.4835
"KB-1410C5.2"	7.0468	3.7348	6.6395	7.2661	3.4651	4.6737	5.3492	4.4924	2.3158	6.6147	6.8416	6.7008	4.2759	4.9666	6.2863	6.4946	5.4021	5.5688	6.4899	6.7362	7.1393	3.4275	6.4341	6.7018	5.7012	5.7194	8.148	7.5524	3.7074	8.1114
"KB-1568E2.1"	2.1495	2.9668	2.0213	3.6809	2.2064	4.9962	6.6264	3.8785	2.0319	5.736	4.8043	5.0387	1.3635	1.441	5.1943	3.7915	1.4738	3.108	5.1664	6.4479	5.9767	4.5047	0.4908	2.981	2.2977	6.099	3.2322	2.5962	3.5915	6.9664
"KB-1836B5.1"	5.6618	4.0563	3.8019	4.5607	5.638	4.7576	8.0664	4.5341	4.3075	6.5785	5.35	7.2548	6.9723	5.7872	7.0813	4.8751	4.0104	6.6414	6.6338	5.0049	5.5911	2.6311	6.8732	5.7276	4.0216	7.4861	4.0799	6.615	5.1669	7.38
"KB-431C1.4"	8.752	9.7902	10.7981	10.8053	10.8993	10.1475	9.8182	11.3923	10.6617	11.1293	9.7197	10.9829	10.2535	10.513	10.414	10.9374	10.7853	10.7053	10.1364	9.6978	10.353	11.2488	10.0306	10.6544	9.7129	10.7698	10.1102	9.9644	9.6895	9.6311
"KB-431C1.5"	6.7708	7.7783	7.6091	7.2728	8.3603	7.4628	7.7761	9.0118	8.0493	8.0789	6.7432	8.3567	7.7531	7.7531	8.1537	7.5825	7.8191	8.5443	7.8026	7.3365	8.2822	7.999	8.1828	7.9504	7.658	7.3267	7.4904	8.5308	8.1502	7.8511
"KCNIP2-AS1"	8.8778	7.6866	5.7184	5.9661	6.0395	5.8956	9.2672	8.0497	4.8423	9.1954	8.7279	5.8874	7.7234	7.6532	6.8008	6.0747	8.4364	8.6388	7.7758	7.91	7.8779	6.0723	6.2258	5.5268	7.5459	8.2524	8.6464	8.969	8.1802	7.1511
"KCNJ2-AS1"	7.712	7.5279	6.9372	7.5406	7.8255	7.38	6.9141	7.2413	7.8075	7.24	6.092	7.8498	6.1228	7.232	7.1038	6.6086	5.1192	6.882	7.3066	7.0711	4.4367	6.6816	6.7459	6.9137	5.8474	6.6289	3.4839	5.8258	6.7373	6.9524
"KCNQ1-AS1"	7.3885	7.3308	6.6171	7.5285	5.7096	6.1836	6.7098	7.5983	7.1646	7.3226	7.2331	2.4694	6.0723	6.5591	6.322	6.5671	6.607	3.888	7.1088	7.3076	7.9025	4.9255	5.4648	7.2529	6.9595	6.6292	6.3144	6.9942	7.3557	6.458
"KCNQ1DN"	5.7976	8.3182	5.6389	5.3145	5.3331	5.4303	7.5819	5.7382	5.3766	5.2873	3.6157	4.762	4.657	3.7133	5.8615	7.6612	3.7606	6.094	8.4612	5.6079	5.8134	5.5303	4.0672	3.8608	7.612	7.5794	5.778	8.0459	5.8501	7.3859
"KCNQ1OT1///LOC101927338"	6.3635	6.7251	5.144	6.1401	5.4611	5.0049	6.0051	6.3308	6.1704	5.5399	5.3064	5.7245	4.3177	5.8694	6.8288	5.8421	5.8519	5.7013	5.3102	5.0946	7.1831	5.0133	6.5362	6.2486	7.2043	6.4662	7.256	7.2866	6.3098	7.4925
"KIAA0087"	2.1544	6.0156	4.6271	3.6524	4.915	2.1944	3.7742	1.8598	2.3406	4.3296	5.8156	5.2116	4.5206	3.9558	2.8432	3.0347	1.4211	2.8974	5.1926	2.4825	6.7488	3.961	5.5576	2.6632	4.8172	3.5282	7.5424	6.4059	4.0317	1.8434
"KIAA0125"	7.6324	7.8146	6.8274	8.6186	6.6219	6.7833	8.0169	7.9461	6.0841	9.1427	7.9766	8.2817	8.525	8.8282	7.9582	7.8674	9.5309	9.7292	8.2381	7.9657	8.2628	8.4081	8.2683	7.9411	7.8606	7.4869	7.5195	8.6628	8.3835	8.1477
"KIAA1147"	9.0349	8.8992	8.0701	8.1252	7.8096	7.6824	8.9087	9.0201	7.9239	8.8399	9.9056	9.5485	9.8194	9.3714	9.6344	9.8943	9.6922	9.4133	9.5053	9.6056	10.376	9.6132	9.6523	9.8355	9.427	10.0201	9.592	9.7398	9.4541	9.4544
"KIAA1614-AS1"	7.9513	6.5126	5.6255	7.8683	7.318	8.0296	8.1072	6.0714	6.0143	7.8897	7.9404	7.3081	6.4437	7.3065	7.539	7.0707	6.8124	7.5368	6.8401	6.7208	8.1652	6.901	7.5012	6.7488	7.7997	7.8271	7.1413	7.6522	8.0003	7.2558
"KIAA1656"	6.2589	5.0722	5.3073	4.5602	3.7514	5.0011	6.7428	6.3538	3.1293	3.6111	4.9518	4.9502	4.1293	3.6298	5.4737	3.9253	5.101	4.833	4.3993	5.7094	5.9128	3.3647	6.0273	3.4128	4.2278	4.7933	6.1763	6.1787	5.0446	4.9368
"KIAA1875"	4.9984	3.2944	3.8131	2.9228	3.1697	2.4374	5.5503	4.4494	3.7234	3.6922	3.2975	2.9254	2.697	2.7187	3.2367	4.1533	3.7159	6.1459	3.9545	2.9911	4.7616	2.5315	2.5471	3.3627	3.8187	3.8674	6.5702	3.7031	3.6912	3.6664
"KIF25-AS1"	6.323	4.7263	4.2998	6.5776	5.9041	4.9546	6.8063	5.9778	5.4856	5.1712	4.9816	4.9676	5.3941	4.87	4.8809	5.5983	4.7499	5.5896	4.9675	5.0082	6.1448	3.7458	5.0691	5.4873	5.3527	7.7224	6.0952	7.2888	5.7134	6.1013
"KIF9-AS1"	7.0847	8.3017	7.2113	7.9062	8.0785	7.939	8.9447	7.8151	7.4535	8.3043	8.4758	7.7941	6.9439	8.1305	8.3168	7.8357	6.9841	5.3155	7.7811	8.7642	8.0567	7.45	7.7271	6.5094	7.7799	8.6237	8.5384	8.3198	8.6942	8.2525
"KIRREL3-AS2"	6.863	6.5611	5.015	4.2763	6.2959	6.7939	7.8392	6.1621	2.539	6.5338	6.55	4.764	5.4631	6.2277	5.3483	3.7867	5.0946	4.1021	6.6032	6.4691	6.6146	3.3586	3.8864	6.0275	5.8752	7.1786	7.2297	4.0305	6.7797	7.189
"KIRREL3-AS3"	4.307	4.7022	5.479	6.1151	4.0087	5.3205	5.9132	4.7743	1.7569	2.9259	5.6963	1.9982	3.5941	3.9459	4.5676	2.4705	4.2339	3.9654	3.4916	4.8153	7.1093	4.1191	4.3835	5.7817	6.3012	4.3279	5.4422	3.0146	2.8979	4.8389
"KLF3-AS1"	7.818	7.9038	5.8245	6.9221	6.9289	4.0014	6.3679	8.026	6.4631	6.9292	7.8081	8.4911	8.1417	7.2126	7.971	7.8254	8.4057	7.91	8.4318	8.6374	8.561	7.4166	7.6792	7.3616	7.9936	7.7197	7.2338	8.5532	8.0065	8.0547
"KMT2E-AS1"	6.2603	6.9357	7.9784	8.0953	7.2948	8.1476	7.7649	7.3703	7.6329	6.9483	6.6226	7.5945	7.6757	7.6243	7.5086	6.555	7.2421	7.3237	7.2462	6.9411	7.7984	6.9978	7.5968	7.8775	5.6061	5.3357	7.9982	7.3802	7.3879	6.6939
"KRBOX1-AS1"	7.4133	7.2109	6.199	7.3818	3.2038	7.2941	5.0132	7.7048	6.5262	6.9966	7.1036	6.134	5.8002	7.0512	6.6565	6.5976	6.8827	7.4678	7.3457	6.689	8.0198	6.8907	4.0529	4.0502	7.4725	7.1275	8.4774	7.4476	7.0405	7.2471
"KRT7"	5.6844	6.136	5.5366	5.9172	6.7277	7.4951	6.7388	4.3338	4.4475	4.8651	6.6697	5.364	4.8033	5.3289	5.4486	5.4783	5.2805	6.8618	4.9844	5.6259	6.5354	4.6237	5.7726	5.9179	5.5463	6.0261	7.8476	6.4091	5.784	6.263
"KRTAP5-AS1"	7.9595	7.2585	5.9719	7.6065	7.264	6.4845	7.5271	7.9071	7.4693	6.9157	7.5051	7.8672	5.9347	6.9804	7.5485	8.0775	7.0573	7.7312	7.6489	7.552	7.6697	7.1079	6.5983	6.8049	6.364	7.3461	6.2049	7.6798	8.0493	8.2606
"LA16c-358B7.3"	6.893	7.2672	2.615	4.7005	7.4619	6.8003	6.8107	7.0782	6.088	5.4213	7.3177	5.2467	6.8874	6.3118	6.2183	6.2812	6.6633	6.6593	3.4481	5.8038	7.0041	6.5936	3.8957	6.4371	6.0157	7.0338	4.6939	4.9749	7.9177	5.439
"LA16c-380H5.5"	7.0953	6.4273	8.6735	8.9576	6.9812	8.635	9.0314	8.0351	7.2581	8.7036	7.0907	8.014	7.7937	8.2723	8.0777	7.581	7.8193	8.3842	7.4862	8.2367	7.8113	7.27	6.9937	8.4992	7.3506	7.5925	6.4622	8.1458	8.1794	8.2728
"LA16c-381G6.1"	4.595	4.7716	3.0725	5.2801	3.3837	5.1809	4.1898	3.6585	6.1401	3.9966	5.5033	6.5429	5.0854	5.2273	5.1678	5.1115	3.4204	4.8538	6.5726	6.092	5.4934	3.4603	3.7826	4.3165	4.2302	3.7431	6.2064	3.8536	5.1066	5.4557
"LA16c-395F10.1"	5.6708	7.5918	4.2357	4.2892	6.3749	2.2794	3.0109	4.6171	5.3929	4.041	6.8907	6.9111	4.1102	5.6852	4.1571	4.8001	4.0449	2.0834	6.1518	6.5036	5.7963	6.1109	3.9432	4.1805	6.6792	4.0649	3.8108	4.9024	6.5021	5.5276
"LA16c-395F10.2"	4.4896	4.1608	3.9913	3.4745	3.9308	3.7596	5.5702	3.9833	2.2326	2.6085	4.2318	3.6558	3.4874	2.894	4.5433	2.609	3.8571	3.9114	5.6848	4.6611	3.8865	2.2723	3.7971	2.7174	3.4571	3.7873	4.504	3.9292	3.9857	4.8192
"LA16c-83F12.6"	7.2757	7.0945	6.3049	6.7587	4.745	5.8307	4.919	7.5078	5.9168	6.7553	5.4884	2.6715	4.8602	6.2535	3.4159	6.0974	6.1756	5.8685	5.1477	3.6239	6.8757	3.283	5.0319	5.0536	6.3957	6.1527	7.2932	6.6252	7.269	6.6392
"LAMA5-AS1"	4.8527	8.0282	3.5884	4.4735	4.5177	6.0441	5.7127	5.4997	2.5714	3.9032	4.2036	6.1714	4.6748	3.8829	4.5201	7.7441	4.8012	5.5631	5.3772	4.086	5.8321	3.7503	4.7633	4.7035	6.477	6.0518	7.8667	5.3653	4.4391	5.883
"LAMTOR5-AS1"	5.9567	6.7948	5.2545	6.7802	5.9038	7.4293	5.705	6.0666	7.2302	7.3028	5.9252	7.1912	7.2595	6.4651	7.423	7.4201	6.4186	4.8486	7.1745	6.9597	6.9327	6.6563	6.5713	6.6183	7.1912	6.9697	4.6568	7.5949	7.09	6.8112
"LARGE-AS1"	5.6051	3.6909	3.2686	5.1622	3.5041	3.2466	3.365	3.1448	3.6207	2.9565	4.193	5.1223	3.0163	3.5829	3.8599	3.4569	2.5118	3.5076	4.1296	3.8149	4.7788	4.4072	4.3852	3.7676	4.5294	3.2792	5.4664	5.015	3.9223	5.4252
"LBX1-AS1"	4.2869	4.8291	4.3998	4.0307	2.2557	5.8043	4.4441	5.5101	3.0988	3.6174	6.7684	6.7772	3.2588	6.1511	3.8947	5.4319	5.768	4.3644	4.544	4.5197	4.263	2.1318	3.6082	2.9936	4.5262	4.9225	6.3111	4.322	7.8399	4.2177
"LBX2-AS1"	8.0663	8.3123	7.5568	7.2562	7.8759	7.0045	8.7321	8.0292	2.7375	8.0817	8.2219	7.7638	6.804	8.0296	8.2008	7.8345	7.9075	8.0531	7.9394	7.2275	8.762	7.5969	7.7046	8.3378	8.1356	8.0546	8.3735	8.3648	8.1496	8.1686
"LDLRAD4-AS1"	5.6814	5.9085	4.0582	5.394	6.3851	4.979	7.2925	3.9416	3.5036	5.1443	6.5825	4.2595	6.761	4.3235	5.4016	7.0365	3.47	5.2848	4.2313	6.8679	6.7513	3.7615	6.7254	7.1609	3.3956	5.0678	3.2057	4.3913	4.015	7.7528
"LEF1-AS1"	7.773	6.492	5.5906	7.2713	7.1579	5.3534	7.64	7.2004	7.2151	7.1595	7.8716	8.2728	8.1893	8.3512	8.2993	8.0942	7.9135	8.0064	8.2247	8.767	8.5809	8.2431	7.4556	7.7708	7.6486	8.0832	8.5146	8.5395	8.7903	8.9496
"LEMD1-AS1"	6.3995	6.1311	3.6357	2.4857	2.0685	4.3571	3.2459	3.7376	2.2924	4.8115	2.3752	4.2626	4.5297	3.5888	4.5393	2.4382	2.958	2.5867	4.0603	4.0313	3.7561	1.9114	2.1658	2.5298	2.9783	2.3683	4.7891	4.9922	2.5017	5.6292
"LGALS8-AS1"	9.4584	8.627	8.5165	8.7028	7.6748	7.8766	8.2236	8.2738	7.6324	8.1098	7.8633	8.0589	8.4022	8.1961	8.1337	7.3478	7.8372	8.4868	8.4826	8.2014	8.6964	6.2051	8.0588	7.2797	8.7025	8.9625	9.0144	8.1901	8.6321	8.3297
"LHFPL3-AS1"	6.6108	4.0487	5.3111	5.914	5.1116	5.4394	6.1626	3.8837	5.4636	5.7485	3.5903	5.7826	4.0178	4.7232	6.3	4.0601	3.637	6.0627	3.7487	6.1315	6.0436	3.499	4.7028	5.3853	5.5102	5.0502	4.2129	6.8025	5.7296	5.5637
"LHX4-AS1"	8.552	8.1937	7.6635	7.5952	8.4655	6.1926	4.8995	9.13	7.3533	8.8583	8.6041	8.8075	8.3261	8.1043	8.4644	8.1472	8.3176	8.2906	8.3442	8.3535	8.1665	8.8303	8.0586	8.2551	8.1422	8.2208	8.3107	7.8136	8.7065	8.4424
"LIFR-AS1///MIR3650"	3.2306	5.1738	1.5076	1.9392	-0.4596	1.8775	5.6031	3.3177	3.2231	1.9304	0.6647	0.5905	3.1713	5.0741	1.2107	5.6743	1.032	2.062	0.8924	2.626	3.0915	0.9683	4.0976	0.7853	4.8583	1.573	6.1647	6.441	2.0854	5.812
"LIMD1-AS1"	8.4471	8.7995	7.844	8.7112	8.7001	8.6073	6.7369	8.1555	8.262	8.6253	8.7498	8.6616	8.277	9.4471	9.1804	8.724	8.3075	9.4337	9.9746	8.9539	8.9742	7.6399	9.3669	8.828	8.6386	8.5922	8.4657	9.086	9.4146	9.0594
"LIMS3-LOC440895///LOC100288570///LOC100507334///LOC440895"	4.4859	3.7264	4.1507	4.3814	3.6939	4.8642	5.8205	3.4501	4.9401	6.9937	3.662	5.3324	5.3071	4.4578	2.8431	4.676	3.6798	5.3117	5.2358	5.5686	4.5228	4.4964	4.0627	4.2232	3.8201	4.6779	5.5519	5.7172	4.1912	6.1624
"LINC-PINT"	7.4592	7.872	7.3082	6.3355	8.0266	5.9384	6.3377	6.5174	6.8485	6.3443	6.5159	7.7687	8.0869	7.4593	7.0678	7.8674	7.7965	6.2811	7.3391	7.7788	6.3758	7.2528	6.287	8.0876	7.8521	7.0037	8.8421	7.6727	6.5018	7.9294
"LINC00028"	7.3205	7.2817	4.3216	6.3978	4.8628	7.3777	6.2365	4.2219	4.2146	5.1638	5.3326	4.6655	5.3753	4.7168	3.7807	3.6849	5.2179	5.8598	5.3649	4.9143	4.2442	3.8659	4.1195	5.4087	5.4549	6.8616	6.074	5.8575	5.4133	5.2057
"LINC00029"	5.1721	5.9746	5.1599	7.7045	3.8162	6.5352	5.2229	6.2792	7.3333	5.512	6.2824	6.2011	3.0924	6.7465	7.0923	5.6367	2.3453	5.6918	6.2136	6.3522	4.6472	3.4232	3.3734	3.817	4.584	6.9739	4.3267	7.0047	5.9972	5.0996
"LINC00051"	2.8969	2.8131	3.2708	2.1945	2.8754	4.2334	5.1696	3.78	4.1521	1.4303	2.5595	4.391	5.0269	2.3122	2.6183	4.2293	3.5211	2.2041	2.0409	4.8427	3.5253	2.0953	3.8763	2.3555	1.8889	3.3104	2.9161	3.8525	3.3943	4.5125
"LINC00052"	7.0203	3.8487	3.464	6.8065	3.414	4.124	4.6467	3.3624	2.3083	6.014	5.9018	7.1295	5.692	6.1034	5.4102	6.0159	3.5094	4.2637	5.4482	4.6387	4.0156	6.8881	3.152	6.717	2.7837	3.1121	4.7615	7.8036	4.7979	5.139
"LINC00086///LINC00087"	7.2045	6.7705	4.1699	6.5649	5.0601	5.8002	4.8663	6.0776	4.4343	5.465	6.7866	7.0234	6.5398	6.3952	7.0386	6.5934	6.299	6.0967	6.7022	7.1164	7.7838	5.9754	7.0362	6.5196	5.6733	6.6381	6.1976	7.7645	7.4558	5.839
"LINC00092"	8.5371	8.336	8.4043	8.2155	7.9245	8.2009	8.3882	8.1344	8.0581	7.724	8.4523	8.6941	7.3986	7.9698	8.119	7.7966	7.7456	7.407	8.1518	8.0058	8.1198	7.8641	8.3211	8.3649	7.6759	8.4323	8.923	8.707	8.093	8.7239
"LINC00094"	8.3036	8.8472	6.721	6.9992	6.9028	6.2762	7.1045	6.7533	5.9156	7.7717	9.3088	8.4965	8.5464	8.8372	8.4443	9.1358	8.9688	8.7222	7.8984	7.9706	8.7276	8.7533	8.5986	8.0418	8.6934	8.5781	8.6774	8.9079	8.3692	8.9956
"LINC00102"	4.7107	6.0771	3.5009	5.7386	0.6404	4.7542	7.0193	5.8692	1.886	5.629	5.192	4.4799	-0.0869	0.7472	2.1199	5.3594	1.1824	1.7805	5.1049	5.4745	5.2727	4.8083	4.3538	2.1205	5.8876	4.2277	1.3331	3.5173	5.785	7.3649
"LINC00106///LINC00106"	7.992	6.8838	7.4324	8.1657	6.0147	5.3273	8.3783	5.8034	4.5099	7.1691	8.1486	8.0718	7.0165	3.8357	8.648	8.0202	6.8065	8.0625	7.9165	7.7259	7.7287	7.0656	7.1574	5.7719	8.0862	7.5726	7.6338	9.0206	8.469	8.3321
"LINC00112"	7.7228	7.1564	7.1412	6.5988	6.1802	6.6541	8.3504	5.958	5.7607	4.7421	7.2687	7.6792	7.1376	6.9309	7.7005	7.0689	6.983	6.3407	7.7168	8.262	8.4712	6.6618	6.614	7.662	7.8673	7.272	8.1227	8.2437	8.3461	8.5072
"LINC00113"	7.2318	6.0184	6.1595	5.4567	5.8498	5.2129	6.4074	6.5584	6.012	6.5496	5.8431	5.927	6.4722	6.5183	5.7853	6.1566	6.2712	5.3947	6.6559	6.7712	7.16	4.5211	4.4237	6.5459	1.3925	6.2504	2.8234	2.7128	6.3154	6.5596
"LINC00152///LOC101930489"	9.3911	7.741	4.7086	7.0004	6.8323	7.8075	8.7528	5.1106	6.9263	7.8532	7.9393	8.2082	8.0846	7.5385	8.5308	6.5059	7.9445	8.2267	8.3156	6.4866	6.8643	7.5008	7.255	8.1694	8.1982	7.267	8.5476	8.0838	7.9829	8.2405
"LINC00152///LOC101930489///MIR4435-1HG"	12.8301	12.9358	12.8165	12.5798	12.1219	13.0365	12.9754	13.2518	13.9537	12.9163	11.6112	11.9871	11.5143	11.5352	11.5048	11.6609	10.921	11.8812	11.3203	11.7258	11.9177	11.5163	10.7261	11.8873	11.9183	11.9415	12.3323	12.8336	12.38	12.5362
"LINC00158"	3.8783	2.8585	5.7783	6.2174	5.3421	3.247	6.8608	5.9247	4.7446	3.3425	3.7938	5.6136	2.8725	5.315	5.8463	6.9023	4.8988	6.7863	1.932	7.1594	6.5779	4.5075	2.236	2.3561	6.2308	3.7124	4.6699	6.9991	7.5174	3.7168
"LINC00161"	2.9718	6.3834	4.6464	4.3098	5.8272	4.57	3.2538	4.5365	4.2381	4.8551	5.6198	4.9942	5.7923	3.8217	4.1089	3.6035	4.1589	4.1092	4.29	6.516	4.013	2.8091	4.4325	4.6806	2.3876	3.5664	4.2506	4.9956	5.4956	4.2646
"LINC00162"	4.4409	4.2788	5.2269	6.6739	6.2753	6.8939	6.5645	4.3077	6.2402	4.2234	6.2517	6.0498	6.0529	3.6365	4.0177	5.8576	4.2197	5.8445	2.56	6.6952	5.8021	4.0218	4.1588	4.1905	6.1827	3.0102	3.7194	4.8735	7.2092	4.2146
"LINC00163"	7.8908	5.9301	7.4909	7.4341	5.8323	7.604	7.8489	7.1041	6.7692	7.3213	7.7655	7.3105	6.3293	5.3819	5.5735	6.7422	5.4526	7.0444	5.0859	6.9291	7.9521	6.556	6.8105	6.3916	6.3758	7.0703	8.2934	8.2463	6.3284	7.1681
"LINC00165"	8.2972	7.7552	7.8727	8.1477	6.8375	7.8666	7.9093	8.0469	7.1005	7.6902	7.2326	7.5234	6.434	7.2042	7.1833	6.489	6.229	7.5819	7.4868	8.1051	7.4754	6.7096	6.1889	6.8816	7.2234	8.0766	4.7273	8.1329	6.7828	8.9328
"LINC00167"	6.5084	6.1491	4.3586	5.4299	3.8954	2.976	4.9907	5.5943	3.2813	5.045	5.5797	3.001	6.6014	4.7945	4.3074	4.7572	3.9278	5.1136	6.311	6.8359	6.2299	5.0505	6.1374	5.9559	4.5589	5.1291	7.5149	7.4092	5.1198	4.8288
"LINC00173"	8.731	8.2126	8.0286	8.7872	8.8454	6.4059	7.4641	8.9303	5.8467	9.2983	8.3034	9.5634	8.6498	8.2213	9.6311	8.2928	8.0553	9.2477	9.0482	8.1498	9.402	9.1103	7.4386	9.0712	9.1441	7.8728	7.2787	8.8669	9.8074	9.0786
"LINC00174"	5.8958	5.4098	4.6129	5.5706	6.253	5.7529	6.3296	4.9261	4.6769	5.2372	3.989	3.0343	5.7274	5.5725	5.1601	3.6582	2.6289	5.1262	5.3691	4.8731	4.9503	4.7541	4.0444	5.8221	4.8198	4.9837	5.7564	4.2213	5.6896	4.3927
"LINC00176"	6.8802	7.4547	7.5315	6.465	7.0167	6.9298	7.8819	6.8163	6.199	6.5082	7.5366	7.3742	6.3538	6.2414	7.681	7.1639	7.1793	7.1753	7.9968	7.2832	7.5597	6.3708	5.5309	6.8506	7.5833	2.6222	4.1574	8.2407	4.8981	8.3236
"LINC00184"	7.8921	7.0875	6.5353	7.1051	6.8686	7.7322	7.6066	6.4929	5.8776	6.7664	6.8353	7.439	7.6446	6.9233	5.472	7.4616	7.1525	7.7326	7.4036	8.2542	7.6895	6.4951	6.4074	7.4087	5.8995	7.1046	7.7242	8.4556	7.6276	8.0465
"LINC00189"	5.1744	7.2758	5.9799	2.1101	4.825	8.4949	3.5688	1.8031	5.625	7.5031	6.596	7.1191	5.9605	7.7465	2.5939	5.2003	7.0925	7.8966	6.6634	5.7474	3.1438	6.2983	5.7818	3.0562	6.6422	5.7241	8.259	7.0649	5.6466	6.5956
"LINC00202-1"	8.5165	8.6341	4.8905	8.0911	7.4197	7.9135	7.9181	8.7118	7.2846	7.639	6.9548	4.8181	7.6145	6.4316	8.6953	7.9555	6.8436	5.4669	8.0187	8.7204	7.4701	6.8793	6.8452	7.8805	7.9779	7.8471	8.5637	7.8864	6.2196	8.4898
"LINC00202-2"	6.5923	6.8843	4.4719	5.4172	3.9334	5.429	4.1742	5.3368	4.0251	4.7296	5.6267	5.1496	5.4554	6.0455	5.0829	3.3392	5.294	5.6478	5.6933	5.4992	6.0474	3.0743	4.5008	5.1102	6.4235	4.5369	5.7004	6.4943	4.4798	5.2602
"LINC00208"	8.8591	7.9131	3.146	8.0369	6.7505	6.6712	6.5311	7.3058	6.2818	7.425	6.6254	6.842	7.1401	5.0468	6.9777	6.7415	6.7668	6.7075	7.5648	7.7563	7.8637	6.0538	7.1882	7.4946	6.9301	6.4614	7.8817	8.1542	7.0776	7.597
"LINC00210"	4.9765	6.9882	4.3634	3.4614	2.5872	3.4436	5.1685	4.6392	3.8315	4.9386	4.5043	5.8911	5.9667	5.976	7.1663	4.7731	4.6042	4.6284	4.1685	4.3574	5.5719	6.1345	4.7842	3.9531	6.6086	6.806	5.9938	6.5537	5.2763	7.8566
"LINC00226"	4.9016	7.095	3.568	4.9317	3.5283	5.3549	4.2921	3.7875	3.9847	4.1977	4.0154	2.6376	3.5326	5.2542	4.8904	6.1639	3.7488	6.4841	3.7261	5.0186	3.472	3.3244	4.6257	4.3816	2.9751	5.017	2.8141	4.7159	4.7886	5.7861
"LINC00238"	2.2235	2.2332	1.9367	5.6037	3.1506	0.8166	2.1425	5.0553	1.0736	5.8301	2.3599	1.9342	1.2164	2.6473	3.4059	1.4162	0.8449	1.7376	2.4772	5.8559	5.4619	4.8441	1.4798	0.9693	1.0589	2.9957	1.4938	6.6078	3.4732	3.5397
"LINC00240"	2.8167	3.426	5.1856	2.9033	0.9002	5.7683	6.0207	6.6093	1.9999	2.848	4.8645	4.5829	3.6251	1.1678	1.5386	1.1691	2.8544	6.0425	4.5262	7.6293	6.7036	5.2971	2.7253	2.3224	5.243	6.3569	2.9987	5.2044	4.3938	4.2946
"LINC00242"	5.7569	4.293	2.5106	2.7231	5.4973	2.1847	6.8476	2.8382	2.5979	4.533	6.6747	6.1725	6.6547	5.5346	6.4765	7.0962	2.6507	4.7654	5.62	7.6206	7.6469	5.4928	4.778	3.5989	2.6828	4.2929	6.8581	3.9824	6.6147	5.8953
