"ID" "GSM2500349"	"GSM2500350"	"GSM2500351"	"GSM2500352"	"GSM2500353"	"GSM2500354"	"GSM2500355"	"GSM2500356"	"GSM2500357"	"GSM2500358"	"GSM2500359"	"GSM2500360"	"GSM2500361"	"GSM2500362"	"GSM2500363"	"GSM2500364"	"GSM2500365"	"GSM2500366"	"GSM2500367"	"GSM2500368"	"GSM2500369"	"GSM2500370"	"GSM2500371"	"GSM2500372"	"GSM2500373"	"GSM2500374"	"GSM2500375"	"GSM2500376"	"GSM2500377"	"GSM2500378"	"GSM2500379"	"GSM2500380"	"GSM2500381"	"GSM2500382"	"GSM2500383"	"GSM2500384"	"GSM2500385"	"GSM2500386"	"GSM2500387"	"GSM2500388"	"GSM2500389"	"GSM2500390"	"GSM2500391"	"GSM2500392"	"GSM2500393"	"GSM2500394"	"GSM2500395"	"GSM2500396"	"GSM2500397"	"GSM2500398"	"GSM2500399"	"GSM2500400"	"GSM2500401"	"GSM2500402"	"GSM2500403"	"GSM2500404"	"GSM2500405"	"GSM2500406"	"GSM2500407"	"GSM2500408"	"GSM2500409"	"GSM2500410"	"GSM2500411"	"GSM2500412"	"GSM2500413"	"GSM2500414"	"GSM2500415"	"GSM2500416"	"GSM2500417"	"GSM2500418"	"GSM2500419"	"GSM2500420"	"GSM2500421"	"GSM2500422"	"GSM2500423"	"GSM2500424"	"GSM2500425"	"GSM2500426"	"GSM2500427"	"GSM2500428"	"GSM2500429"	"GSM2500430"	"GSM2500431"	"GSM2500432"	"GSM2500433"	"GSM2500434"	"GSM2500435"	"GSM2500436"	"GSM2500437"	"GSM2500438"	"GSM2500439"	"GSM2500440"	"GSM2500441"	"GSM2500442"	"GSM2500443"	"GSM2500444"	"GSM2500445"	"GSM2500446"	"GSM2500447"	"GSM2500448"	"GSM2500449"	"GSM2500450"	"GSM2500451"	"GSM2500452"	"GSM2500453"	"GSM2500454"	"GSM2500455"	"GSM2500456"	"GSM2500457"	"GSM2500458"	"GSM2500459"	"GSM2500460"	"GSM2500461"	"GSM2500462"	"GSM2500463"	"GSM2500464"	"GSM2500465"	"GSM2500466"	"GSM2500467"	"GSM2500468"	"GSM2500469"	"GSM2500470"	"GSM2500471"	"GSM2500472"
"DIO2-AS1"	3.9431	3.8372	4.1901	3.6731	4.1208	4.2196	4.4261	3.468	3.673	3.8277	3.8082	3.8372	3.71	3.8372	3.8625	4.0197	3.7691	3.7022	3.7907	3.673	3.6584	3.799	3.5216	3.8966	4.0283	3.8853	3.9629	3.7961	4.282	3.5018	4.2532	3.7827	4.4106	4.0795	3.7827	4.0308	3.8233	3.7974	4.0995	4.4422	3.3324	3.751	4.1468	3.6635	3.7827	3.6516	3.8097	3.8666	3.7462	4.3866	3.5165	4.0332	3.7773	3.6162	4.0532	4.0138	3.6681	3.8837	4.3156	4.1611	3.9047	3.828	3.6142	3.9173	3.8097	3.8097	3.5091	3.7713	4.406	3.8097	4.1171	3.9285	3.5789	4.6275	3.5509	4.6949	4.0191	3.8695	4.1512	4.4886	3.8605	3.656	3.5932	4.1276	3.5839	3.8227	3.7454	3.7403	3.8305	3.6783	3.6869	3.5647	3.4636	3.6864	4.0824	3.9851	3.6394	3.292	3.5771	3.8544	3.9017	3.813	4.2694	3.3859	3.6317	3.6364	4.2262	3.63	4.5589	4.1482	3.8544	3.8063	4.0938	3.7545	3.7834	4.0395	4.181	3.7818	3.3437	3.6164	3.2998	4.3413	3.5021	4.0121
"DIO3OS"	4.1798	3.5861	4.1302	3.9584	4.0114	4.442	4.7248	4.1034	4.0622	3.8908	4.1697	4.2368	3.8604	4.2374	4.0904	3.9716	4.1595	4.1825	4.2117	3.8521	3.9662	3.7023	4.2956	3.7827	4.05	4.3288	4.3327	4.489	3.5187	4.3743	3.4799	3.9874	4.1814	4.2047	4.3253	4.3131	3.8152	4.2872	4.0809	4.1276	4.5154	4.3244	4.3889	3.9935	4.3997	4.2679	4.4588	4.0543	3.9141	4.1408	4.174	4.5028	4.3001	4.4793	4.4548	4.166	4.1459	4.41	4.0268	4.572	3.9601	3.8643	4.132	4.1451	4.2872	4.3475	4.5154	4.2619	4.5533	4.1839	3.9672	4.3559	4.2599	4.0312	4.1535	4.1487	4.3899	4.3775	4.4914	4.7873	4.1046	4.19	3.8769	4.0774	4.1543	4.2394	4.0321	3.7366	4.2109	4.5465	3.7414	4.1314	3.9212	4.284	3.9295	4.2551	4.2301	4.3077	3.9612	3.896	4.422	3.9288	4.2836	4.1957	4.0123	3.9584	3.9582	4.2724	4.2507	4.1562	3.9808	4.1612	4.1687	4.586	4.1085	4.54	4.3958	3.9526	3.8748	3.9551	4.5313	3.9869	3.8551	4.1974
"DIO3OS///MIR1247"	4.7913	4.783	4.8434	4.5052	5.0491	4.8149	5.1139	4.7148	4.6893	4.7263	4.8703	4.5293	4.5189	4.8262	4.7258	4.9927	4.8627	4.7876	5.004	4.6254	4.8181	4.7808	4.6967	4.3396	4.6479	5.0301	4.7425	4.836	5.3405	4.8131	5.0327	4.4275	5.0512	4.96	5.0423	4.6417	5.0003	4.4189	4.5824	5.045	4.7963	4.9165	4.9459	4.5342	4.8356	4.9399	4.9221	5.1658	4.5213	4.3627	4.5044	4.7379	4.6623	4.7553	4.6613	4.6537	4.7708	4.7603	5.3505	4.9293	5.0364	4.6417	4.2831	5.3258	4.3809	4.958	4.7911	5.0986	5.0002	4.6896	4.454	4.6753	4.8736	5.2773	4.7471	5.2378	4.7456	4.4642	4.5511	4.9898	4.938	4.7259	4.3471	4.7259	4.9568	4.6086	4.9868	4.7789	4.5567	4.7485	4.4426	4.5415	4.718	4.6942	5.3713	4.5179	4.7641	4.6685	4.7849	4.8615	4.9367	4.7942	4.7126	4.5106	4.4758	4.9348	4.8107	5.3602	4.7398	4.7895	4.6182	4.7337	4.6716	5.1626	5.0466	4.5814	4.6755	4.4961	4.6015	4.497	4.6259	4.5989	4.6796	5.0222
"DIRC3"	4.0198	3.7692	4.2282	3.6619	3.5833	3.5771	4.1216	4.1095	4.0215	3.8186	3.7612	3.9726	3.638	3.9277	3.5667	3.4678	3.5245	3.8016	3.9336	4.0474	3.7831	3.5406	3.7208	3.9481	3.7561	3.9721	3.8791	3.7228	3.2185	4.1325	3.2907	3.797	3.7754	3.6902	3.818	3.9125	3.6712	3.563	3.7951	3.7636	4.3083	3.7965	4.1896	4.5014	3.7668	3.9797	3.6607	3.9063	4.0725	3.4377	3.8781	3.5943	3.9315	3.707	3.9153	3.7091	3.732	3.7672	4.0735	3.7753	3.8539	3.5158	3.6208	3.793	3.9548	3.8903	3.7177	3.8142	3.9925	3.1605	3.4236	3.5232	3.8722	3.8095	3.812	3.8789	3.9102	3.8934	3.3014	3.794	3.817	3.6577	4.1224	3.812	3.5769	4.0946	3.7972	3.8376	4.0074	3.6902	3.9048	4.2558	3.6019	3.6795	3.7598	3.7761	3.5768	3.5051	4.1785	3.7891	3.919	4.0765	3.6054	3.8287	3.741	3.9719	3.558	4.0469	3.8151	3.8151	3.464	3.5945	3.8838	4.2322	3.5671	4.0479	3.7036	3.7565	3.8702	4.0327	3.6861	3.7673	3.606	3.579
"DISC1///TSNAX-DISC1"	5.7713	6.4838	4.7649	6.493	5.827	5.8388	5.7161	6.1783	5.9349	5.5099	6.0154	6.0179	5.7404	5.1926	6.0918	5.7925	5.7178	5.7468	5.9635	5.9555	5.8979	5.4041	7.0429	7.0806	6.8282	6.1992	6.9465	6.6866	4.7734	5.3983	6.017	5.8551	6.9437	6.4461	7.4071	7.0482	6.5491	6.3275	7.1357	7.3646	5.619	6.1261	7.5181	6.5479	7.295	6.673	6.8702	6.5187	6.2626	6.6198	7.4576	6.5064	6.8345	6.7613	6.8834	6.3988	6.7549	6.4878	5.6122	6.9919	6.1191	7.0344	6.7271	6.4446	7.3312	6.43	6.1475	5.5502	6.7237	5.545	6.5712	6.9429	6.9882	6.0236	6.7879	5.1757	6.6588	6.7654	5.8281	5.8194	7.1842	6.8328	6.7208	7.2757	5.4675	6.1466	6.4642	6.4351	6.6126	6.8374	5.9438	6.3659	6.6911	6.1664	5.9268	6.5744	6.6622	6.9916	6.698	6.1598	5.7303	6.1511	6.2188	7.0347	5.7178	6.594	6.4062	6.4697	6.5357	7.013	6.8401	6.8139	6.8798	6.784	6.204	5.4365	4.7152	6.3119	7.0919	6.8367	6.7754	6.9971	5.2719	6.2281
"DKFZP434A062"	4.3544	4.1641	4.7053	4.3347	4.4409	4.4105	4.4131	4.5815	4.2634	4.6425	4.3167	4.2973	4.336	4.7167	4.4222	4.2935	4.4222	4.5303	4.4384	3.9952	4.2564	4.174	4.0671	4.0975	4.4605	4.6548	3.9768	4.46	4.2651	4.3542	4.6536	4.5315	4.6749	4.4034	4.1997	4.6619	4.2975	4.4895	4.2987	4.6976	4.4719	4.357	4.3103	3.9047	4.1766	4.5902	4.442	4.303	4.3453	4.2987	4.7128	4.7718	4.4265	4.173	4.2593	4.3138	4.303	4.2624	4.2987	4.4526	4.2257	4.3357	4.2375	4.5796	4.3883	4.4555	4.6492	4.357	4.6339	4.2197	3.9829	4.3794	4.435	4.1336	4.5649	4.599	4.3275	4.4128	4.2074	4.2957	4.4313	4.5383	4.269	3.7289	4.1311	4.6621	4.5304	4.5866	4.6336	4.6471	4.1002	4.1488	3.9192	4.5457	4.0017	4.1639	4.542	4.5565	4.648	4.2549	4.2601	3.923	4.4932	4.5091	4.0873	4.2664	4.1382	4.3458	4.3574	4.6862	4.3025	3.8574	4.416	4.9186	4.426	4.5993	4.2358	3.9839	4.0122	4.2841	4.5307	4.3994	4.2946	4.2946
"DKFZp434E1119"	4.1317	3.6968	3.2103	3.5309	4.0246	4.2283	4.0389	3.2753	3.3821	3.8436	3.6182	3.4792	3.4299	4.045	3.5461	4.2827	3.728	4.0145	3.6053	3.6331	3.1501	3.5611	3.3046	3.3679	4.2242	3.8929	3.7233	3.6055	4.6112	3.7682	4.8218	3.6304	4.1096	3.958	3.5691	4.1072	4.2216	3.6658	4.144	3.6172	3.907	4.0355	3.7176	3.4156	4.1394	3.6904	3.6908	3.5832	4.0119	4.2863	4.1139	3.8217	3.9847	3.3667	3.6598	3.9605	4.1149	4.1762	4.6094	3.9719	3.8838	3.5617	4.0625	3.3682	4.1234	4.3941	3.746	4.2054	4.2913	3.5664	3.4913	3.894	4.1849	4.4288	4.2644	4.3535	3.8951	3.5294	3.8489	4.1342	3.6339	3.7369	3.6888	3.5451	3.4342	3.6721	3.4242	3.1317	3.3189	3.586	3.6133	3.0649	3.2532	3.2835	4.5009	3.4582	3.0464	3.5055	3.3003	3.8649	3.7023	3.3795	3.7541	3.4607	3.6258	3.7429	4.059	3.5661	3.9584	3.7074	3.3104	3.2292	4.003	4.0676	3.7394	3.7394	3.4998	3.5161	3.5287	3.3839	3.8156	3.5691	3.2343	4.135
"DKFZP434H168"	4.7183	4.0157	4.264	4.4378	4.4423	4.1036	4.4678	4.2394	4.5521	4.9717	4.7008	3.8555	3.7731	4.3718	4.1479	4.3784	4.7355	4.0794	4.3874	4.1061	4.1531	4.7917	4.3258	3.8206	4.3852	4.6097	4.7484	4.4728	4.5053	3.7842	4.8397	4.3392	4.7985	4.2039	4.3492	4.5526	4.67	4.2937	4.2742	4.65	4.5136	4.5222	4.2025	4.1642	4.691	4.4126	4.729	4.4857	4.2685	4.3421	4.4219	4.5716	4.2619	4.4684	4.1114	4.714	4.4839	4.5934	4.8441	4.7024	4.4546	4.3347	4.1474	4.5121	3.9748	4.5582	4.1521	4.4608	4.4273	4.6201	4.2842	4.3193	4.6164	4.9878	4.7551	4.7766	4.5259	4.2704	4.2599	4.4949	4.2843	4.1006	3.7545	4.4494	4.4851	4.4053	4.412	3.9126	4.489	4.3449	4.2406	4.221	3.97	4.5005	4.8837	4.4076	4.0905	4.3286	4.7858	4.4451	3.6891	4.4375	4.4086	4.0135	4.4704	4.4719	3.7808	4.3786	4.7765	4.7033	3.9709	4.4466	4.8121	4.5506	4.4634	4.7031	4.759	3.5125	3.6652	4.4029	4.6061	3.869	4.0677	4.5655
"DKFZP434I0714///MIR4453"	4.0166	3.6502	2.8502	3.5465	3.4599	3.8045	2.8633	3.4398	3.501	2.7577	3.4473	3.3023	2.964	3.6838	3.964	3.9784	3.1766	2.9622	3.174	3.6425	3.3369	3.1016	3.3758	3.1212	3.4799	3.5928	3.4781	4.0582	4.3867	3.7325	3.3822	3.7376	2.8954	4.3597	3.9246	4.2349	3.3853	3.4037	3.3906	3.5884	2.9328	3.1769	2.7753	4.5066	3.502	3.7769	2.9995	3.899	4.3385	3.9097	3.4579	3.5549	4.1147	2.8281	3.7645	4.5162	4.1057	3.7558	4.1033	4.2995	4.052	3.2138	4.2834	2.9328	3.2045	3.7448	3.6301	4.0021	3.6955	3.752	4.2756	3.6228	3.9076	4.3552	3.9079	2.7691	4.1854	2.8622	4.0897	3.9442	3.4494	3.3681	4.3744	3.0533	3.6053	3.3051	3.2094	3.9439	3.7126	3.6161	4.1556	3.6868	4.3213	4.1796	3.5981	4.0492	4.7536	4.0155	3.3321	2.7497	3.0758	3.6682	3.9386	3.6207	3.4525	4.6726	4.2194	3.6477	3.7254	4.4962	4.8359	4.741	3.3093	3.3382	4.0575	3.625	2.8063	5.2451	4.1639	3.1198	3.0499	3.9197	4.9455	3.6389
"DKFZp434J0226"	3.2155	3.2887	3.1297	3.1983	3.4661	3.3276	3.6145	3.4706	3.4624	4.1222	3.82	3.4268	3.3794	3.2966	3.2538	3.7735	3.5155	3.7071	3.3197	3.0045	3.7065	3.3625	3.4537	3.2731	3.3427	3.2879	3.2751	3.4012	4.4466	3.5225	3.8835	3.6504	3.4032	3.6572	3.9232	3.908	4.0418	3.3066	3.4546	3.7707	3.7195	3.5652	3.3987	3.1486	3.7647	3.6274	3.47	3.3524	3.9151	3.6949	3.1982	3.5677	3.5224	2.9375	3.3987	3.1486	4.0091	3.9784	3.5868	3.3365	3.7603	3.1004	3.8818	3.5409	3.8145	3.7797	3.2046	3.5652	3.609	2.8499	3.5652	3.9291	3.4888	2.9843	3.4694	3.9078	3.4375	3.651	3.7475	4.2238	3.5812	3.5697	3.4694	3.2361	3.4642	3.5868	3.4247	3.2671	3.6231	3.176	3.4123	3.741	3.3432	3.2654	3.1893	3.488	3.5187	3.1354	3.5979	3.6023	3.2891	3.83	3.2767	3.6475	3.7192	3.1897	4.0558	3.6427	3.3303	3.626	3.6858	3.5425	3.4667	3.7202	3.3189	4.0263	3.2216	3.6343	3.6986	3.4991	3.3177	3.6671	3.6411	3.7457
"DKFZP434K028"	4.9003	4.7416	4.9296	4.7468	5.0704	4.7099	4.8254	4.6593	4.632	4.4995	4.9906	4.7789	4.7896	4.6402	4.5034	4.9284	4.6119	4.8596	4.8935	4.7017	4.884	4.7899	4.7113	4.833	4.6516	4.477	4.8712	4.8158	5.0661	4.8316	4.6898	4.6259	4.7321	4.9653	5.1662	4.9277	4.9363	4.8146	5.0858	4.9266	4.7433	4.8829	4.8674	4.6256	4.6926	4.8599	4.9296	4.8789	4.7092	4.8153	4.8051	4.7424	4.8005	4.8688	4.7099	4.6389	4.6674	5.1282	5.0608	4.7974	4.7523	4.8204	4.7488	4.7514	4.835	5.1274	5.0997	4.7886	4.9684	4.6559	4.7303	4.6379	4.9738	5.0619	4.8852	5.2838	4.6966	4.7903	4.5624	4.8673	4.9148	4.7915	4.8237	4.8042	4.9196	4.8958	5.0018	4.9587	4.8101	4.6039	4.6643	4.6519	4.6096	4.7306	4.7965	5.0301	4.8269	4.605	4.7235	4.794	4.82	4.8498	4.7185	4.7532	4.6054	4.4962	4.9129	4.8341	4.7171	4.7717	4.5078	4.6371	4.622	5.061	4.8797	4.7079	5.0178	4.6044	4.4028	4.6195	4.6178	4.6217	4.3276	5.0713
"DKFZP434L187"	4.057	4.3179	4.182	4.1217	4.1521	4.4301	4.3496	4.4102	3.9514	3.8529	4.2488	4.4447	4.1907	3.9597	4.0949	4.1484	4.4689	4.7253	4.3798	4.0628	4.0984	4.4008	4.3244	4.3268	4.2565	4.4978	4.4293	4.2106	4.7267	4.5691	4.0834	4.1401	4.4945	4.347	4.2502	4.381	4.6206	4.188	4.4583	4.692	4.8719	4.2831	4.3467	4.0837	4.5195	4.4208	4.1558	4.2848	4.2531	4.2356	4.4166	4.7951	4.1107	4.5458	4.4166	4.187	4.5675	4.0986	4.1616	4.2461	4.2616	4.1984	4.3261	4.2616	4.5194	4.2696	4.1297	4.3282	4.6907	4.0943	4.2176	4.2616	4.2436	4.5322	4.6273	4.3427	4.3391	4.1066	4.1066	4.7231	4.7378	4.5043	4.2167	4.0873	4.2509	4.3579	4.5228	4.5013	4.079	4.2623	4.2182	4.2988	4.1862	4.7633	4.5376	4.2851	4.3305	4.338	4.3813	4.1556	4.7116	4.2049	4.32	3.9074	4.2542	4.1757	4.1427	4.409	4.267	4.1893	4.1693	4.3291	4.3514	4.4819	4.2988	4.2893	4.4551	4.3009	3.9435	4.2817	4.2287	4.0916	3.9942	3.9044
"DKFZp434L192"	3.4278	3.4185	3.5396	3.2687	3.4754	3.5676	4.0356	3.4115	3.4115	4.2725	3.2648	3.4185	3.4011	3.5509	3.1897	3.8783	3.4704	4.147	3.4473	3.4115	3.3164	3.2881	3.152	3.2524	3.8904	3.4398	3.7859	3.3081	3.845	3.6335	3.8297	3.5064	3.4191	3.4342	3.4689	3.7159	3.6272	3.2627	3.7373	3.6671	3.5343	3.74	3.2528	3.3029	3.5122	3.1247	3.4405	3.4405	3.5415	3.5691	3.3267	3.3821	3.3832	3.2681	3.6516	3.3369	3.1829	3.4405	3.3832	3.5891	3.4237	3.3599	3.4504	3.5396	3.4405	3.6661	3.2887	3.4237	3.5865	3.4405	3.5854	3.4237	3.3712	3.7805	3.6252	3.4978	3.5231	3.0854	4.0041	4.0803	3.4815	3.4003	3.2448	3.2968	3.3677	3.2897	3.6654	3.396	3.372	3.4191	3.2987	3.1176	3.0768	3.41	3.3433	3.4797	3.1183	3.1035	3.5142	3.5142	3.6735	3.3644	3.5354	3.2805	3.1197	3.1822	4.0135	3.4753	3.499	3.499	3.3915	3.5142	3.3393	3.3494	3.4282	3.5933	3.41	3.0768	3.0218	3.2968	3.4447	3.4447	3.2559	3.2961
"DKFZp434L192///LOC100653233"	4.5704	4.3091	4.7185	4.7042	4.5497	4.2207	4.7607	4.6312	4.7976	4.2805	4.6167	4.39	4.3054	4.4717	4.3331	4.3517	4.6498	4.6523	4.7554	4.5778	4.7546	4.8593	4.7874	4.2233	4.617	5.2002	4.5203	4.8902	4.5656	4.2564	4.5735	4.5302	4.6769	4.5285	4.5507	4.778	4.6681	4.6348	4.649	4.7593	4.6039	4.946	4.9206	4.3978	4.3881	4.7099	4.6277	4.8468	4.6123	4.2876	4.6317	4.6469	4.3481	4.9083	4.3961	4.4952	4.8704	4.6178	4.8548	4.5186	4.6039	4.853	4.5897	4.8765	4.589	4.8222	4.8865	4.6039	4.6522	4.4228	4.1709	4.7054	4.5327	4.6725	4.9625	5.094	4.8834	4.9511	4.7341	4.2774	4.6341	4.6417	4.5716	4.5974	4.5628	4.7593	4.8927	4.7242	4.59	4.6268	4.4906	4.6084	4.6293	4.6411	4.6804	4.8795	4.866	4.4693	4.4209	4.9203	4.8676	4.6308	4.7696	4.708	4.511	4.4574	4.0021	4.7146	4.6049	4.6128	4.7738	4.4063	4.7565	4.4618	4.605	4.7587	4.3546	4.5977	4.1823	4.7079	4.5936	4.3571	4.4136	4.6637
"DKFZp451B082"	3.9057	3.3067	3.2016	3.0294	4.1757	3.421	3.3146	2.9566	3.2168	3.3219	3.5225	3.567	3.3226	3.3412	3.3677	3.7923	3.2344	3.487	3.4579	3.2168	3.355	2.774	3.0922	2.7358	3.4378	3.334	3.4062	3.3134	4.5216	3.1061	4.0422	3.2926	3.3192	3.1913	3.4161	3.7386	3.3194	3.4595	3.3153	3.6791	3.3351	3.8777	3.2774	3.3254	3.4056	3.2863	3.4109	3.3999	3.3153	3.3459	3.3567	3.3658	3.314	3.3153	2.9793	3.3328	3.8914	3.5009	4.0863	3.6025	3.3069	3.3069	3.4192	3.4362	3.3523	3.6012	3.1756	3.2204	3.9551	2.9187	3.1455	3.3226	3.3696	3.9919	3.347	3.849	3.5897	2.8763	3.6501	3.765	3.347	3.2962	3.2765	3.2306	3.1568	3.2076	3.1875	2.94	3.218	3.2861	3.3774	2.6271	3.6908	2.9984	3.9157	3.3393	3.3329	2.7718	3.1355	3.5043	3.5735	3.1235	3.4883	2.8791	3.1459	3.4319	4.1024	3.6059	3.3446	3.0399	2.989	2.5907	3.2198	3.3144	3.0682	3.2397	2.9893	3.0245	3.5494	3.6482	3.2813	3.566	3.3272	3.3512
"DKFZp667F0711"	4.4646	4.8138	2.9083	5.4951	4.6299	4.441	4.537	5.36	5.0427	3.4153	5.1135	5.0984	4.4037	4.1065	4.6448	4.183	5.0662	5.1528	4.7647	4.7905	4.013	4.3375	6.3411	5.9564	4.7803	4.9822	6.152	5.8256	4.5764	6.4291	6.3379	6.0281	6.2598	5.7179	7.2401	6.2075	6.5586	5.5052	6.6981	6.0849	6.2378	6.717	6.0516	5.4968	6.8218	6.1318	5.3097	5.1336	6.6153	5.0318	6.9126	5.4739	6.0024	5.3766	7.035	6.2921	7.3728	5.5284	5.6576	7.245	6.7804	7.3453	6.3053	5.4618	6.6166	5.7259	4.7674	4.1389	5.7953	5.0614	5.6769	5.1806	6.2903	4.5128	6.5424	4.7041	5.8287	5.7121	5.1902	4.9869	6.5389	6.7821	6.451	5.6722	5.7817	6.3797	6.3246	5.2689	3.2525	5.3653	3.7951	5.2906	6.3614	6.1045	6.2597	6.8001	5.4934	5.9163	7.1763	6.4962	6.2544	5.3467	6.2838	6.8029	6.4453	7.4615	6.029	6.1357	6.3567	5.8401	6.4575	6.208	7.2713	6.5036	6.1125	6.9066	4.3019	6.1157	6.1577	6.074	6.1923	6.1037	3.6015	6.009
"DKFZp779M0652"	4.4385	4.5914	5.4866	4.6502	5.0831	5.1547	5.0463	4.932	4.2262	4.9395	5.1976	4.5633	4.4456	4.9568	4.4265	4.4623	4.7945	5.3433	4.9838	4.9231	5.7804	4.9648	4.3661	4.5106	4.8418	5.4847	5.1421	4.9387	4.4373	4.8925	5.0657	4.7019	4.9629	4.972	4.9246	5.0817	4.9861	4.2281	4.8671	4.7064	5.2706	4.9528	4.83	4.6242	4.8952	4.8393	4.6474	5.1486	4.4678	4.656	5.0235	4.9669	4.7358	4.9876	4.8364	5.0661	4.7073	4.924	4.6879	4.7064	4.9915	4.64	5.0056	5.2165	4.5404	5.255	5.0004	4.4478	4.8193	4.7936	4.7663	4.8576	4.3494	5.2496	4.9804	5.0276	4.7381	4.999	5.0373	5.2821	5.4348	5.1288	4.7756	4.274	4.7559	4.7947	4.7347	4.813	4.8381	4.9812	4.845	4.7723	4.6126	4.6425	5.1303	4.5976	4.9257	4.7919	4.9707	4.9798	5.0418	4.7154	4.9761	4.8485	4.776	4.7514	4.5944	5.1807	4.8731	4.9548	4.7708	4.8015	5.233	5.2572	4.88	4.88	4.7222	4.6811	4.6021	5.0204	4.6557	4.9313	4.572	4.858
"DLEU1"	6.2507	6.034	5.9154	6.3961	5.6245	6.0919	5.4521	5.9748	6.2623	5.9394	5.944	6.049	6.1632	5.765	6.084	6.0427	6.1777	5.9463	6.0068	6.0016	5.9062	5.9062	6.3832	6.5063	5.9626	5.8736	6.428	5.9627	5.2764	5.7268	5.6228	6.088	6.2504	5.9879	5.7838	5.9524	6.2521	5.7777	5.8145	6.5068	6.126	6.2688	6.4034	5.938	6.2198	6.2099	6.1165	6.0003	5.8667	6.6486	6.362	5.6725	6.1904	6.4121	6.0114	6.1145	6.0386	6.2822	5.7988	6.0875	5.8279	6.332	5.6261	5.7828	5.9499	6.0051	6.0433	5.5016	5.8309	5.8483	6.1465	6.1432	6.1719	5.7239	6.3383	5.7947	6.0712	6.2785	5.3487	5.7929	6.1961	6.2607	5.6309	6.428	6.1466	5.9416	5.9354	5.8871	6.5252	6.0736	6.3614	6.4896	6.4279	6.1229	5.8914	6.103	5.8735	6.1885	6.5166	6.7527	6.1496	5.681	6.6522	6.0891	6.126	6.195	6.5538	6.3391	6.456	6.3791	6.1233	6.1909	6.405	6.5376	5.9645	5.8818	6.5869	6.1506	6.2907	6.3646	6.1665	6.2814	6.0799	5.7721
"DLEU2"	6.2113	6.1912	5.1231	6.1295	6.3357	5.8968	5.42	6.1198	6.5242	5.6276	5.9014	5.8377	5.9706	5.7183	5.7585	6.1117	5.6674	6.1556	5.8052	5.8008	5.8361	5.6517	6.3913	6.6474	6.2819	6.4658	6.1955	6.424	5.5563	5.8657	6.0924	6.4968	6.1981	6.5373	6.3189	6.5993	6.654	6.2967	6.4108	6.4039	6.0571	6.5743	6.3139	6.3292	6.6181	6.7031	6.2932	6.767	6.4384	6.9886	6.2421	6.1872	6.5102	6.5903	6.3039	6.5517	6.0078	6.1912	6.144	6.3921	5.9065	6.1834	5.9829	6.2013	6.5059	6.4544	6.2422	5.7373	6.1876	6.0482	6.3815	6.8984	6.2649	6.6346	6.5685	6.0375	6.348	6.524	5.766	5.9394	6.2029	6.3992	6.3059	6.5686	6.1289	6.4903	5.9681	6.1569	6.1628	6.6732	6.7208	7.0647	6.6063	6.2563	5.947	6.5646	6.4396	6.9649	6.8453	6.6794	5.8416	6.2409	7.1225	6.7108	6.4958	6.1952	6.3595	6.6792	6.9578	6.654	6.8287	6.6587	7.0446	6.9043	6.4333	6.1916	5.6185	6.5601	6.2569	6.3171	6.5441	6.6382	5.9485	6.4979
"DLEU2///DLEU2L///MIR15A"	4.6518	5.6793	4.0215	5.447	5.7625	5.3155	4.2699	5.2868	5.7677	4.3911	4.6939	5.0295	4.9171	4.9505	4.7428	4.902	4.813	5.1139	4.8959	5.0591	4.843	4.7727	5.7614	5.9531	5.2934	5.7086	5.6661	5.6837	4.5723	4.9988	4.7407	5.6736	5.723	5.948	5.7906	6.1773	5.8137	5.952	5.6848	5.5603	5.1556	5.9052	5.5127	5.9567	5.7556	6.3274	5.2303	6.0084	5.7839	6.5598	5.1807	4.8221	5.9601	6.0451	6.2138	6.4574	5.6021	5.2268	4.6624	5.5839	5.2973	5.7261	5.4706	5.2111	6.0377	5.6129	5.4706	5.0417	5.5952	5.1005	5.5298	6.2205	5.8116	5.6888	5.4017	4.6743	6.1455	5.9914	4.7312	4.8867	5.9053	5.971	5.9372	6.1753	5.1508	6.191	5.1913	5.5455	5.4176	6.3101	5.8432	5.8689	6.4584	5.6995	5.0705	6.034	6.0446	6.6994	6.1139	6.1371	5.5315	5.6127	6.753	6.2903	5.7658	6.4453	5.5748	6.0736	6.9877	5.9742	6.3753	6.209	6.5612	6.1966	5.9436	5.8791	4.8962	6.0623	5.7077	5.6922	5.9178	6.2981	5.6663	5.8601
