"ID" "GSM712478"	"GSM712479"	"GSM712480"	"GSM712481"	"GSM712482"	"GSM712483"	"GSM712484"	"GSM712485"	"GSM712486"	"GSM712487"	"GSM712488"	"GSM712489"	"GSM712490"	"GSM712491"	"GSM712492"	"GSM712493"	"GSM712494"	"GSM712495"	"GSM712496"	"GSM712497"	"GSM712498"	"GSM712499"	"GSM712500"	"GSM712501"	"GSM712502"	"GSM712503"	"GSM712504"	"GSM712505"	"GSM712506"	"GSM712507"
"GLIS3-AS1"	4.3095	4.5041	4.1368	4.0102	4.2579	4.224	4.4477	4.0676	3.6112	3.9342	4.1944	3.8526	4.1304	4.1653	4.1687	4.1793	3.7806	4.5171	4.2821	3.9644	4.3154	3.8475	3.7544	3.8475	3.8762	3.6097	4.3884	4.5604	3.9904	3.743
"GLYCTK-AS1"	5.6603	6.0321	5.6415	5.7305	5.4301	5.5702	6.1207	5.5946	5.4683	5.4892	5.3535	5.3503	5.5702	5.5298	5.4914	5.3949	5.0943	5.6588	5.797	5.3026	5.7135	5.0539	5.3026	5.5525	5.7725	5.5913	5.5962	6.0293	5.4579	5.8639
"GMDS-AS1///RP1-80B9.2"	3.7955	3.8113	3.7417	3.6232	3.6512	4.0608	3.6953	3.6318	4.4645	3.7154	3.6146	3.6012	3.6664	3.5347	3.5862	3.7509	3.7713	3.5302	3.4878	3.5709	3.8993	3.7357	3.6606	3.3767	3.1643	3.5516	3.5407	3.8832	3.5706	3.6963
"GNA14-AS1"	3.7493	3.4112	3.2622	3.7743	3.2556	3.343	3.6561	3.5268	3.45	3.4873	3.3867	3.5465	3.343	3.3954	3.5262	3.2854	3.3434	3.3595	3.447	3.4367	3.6729	2.9185	3.2964	3.4329	3.4758	3.5786	3.7653	3.7897	3.5568	3.7924
"GNAS-AS1"	2.8666	2.807	2.6612	2.8938	2.8539	3.0152	2.9653	2.635	2.6641	2.8239	3.0844	2.894	2.9789	2.7927	3.1647	2.8765	2.8625	2.8885	2.7805	2.7312	2.8186	2.6966	2.9845	2.9295	2.8666	2.8153	3.082	2.9265	3.0021	2.8764
"GP1BB///SEPT5///SEPT5-GP1BB"	6.3193	5.9804	7.89	8.0401	6.5288	7.2468	8.352	6.8453	6.0538	6.8126	6.4504	6.5586	6.1531	5.7202	6.6511	6.6107	6.5863	6.4662	6.5525	6.1965	6.3737	6	6.3092	6.3708	5.8966	6.4789	6.5862	6.4235	6.4161	6.1829
"GPR1-AS"	3.2346	3.5527	3.1912	3.0545	3.1485	3.5367	3.595	3.1841	2.984	3.0652	3.1574	3.1413	3.0524	2.907	2.7501	3.2682	2.7876	3.1799	2.9899	3.0658	3.1048	2.939	2.8799	2.8292	2.8847	3.0613	2.8038	3.2984	3.1153	2.8377
"GRAPL"	3.9375	3.5749	4.2292	4.3221	4.9246	4.9869	4.5355	4.336	4.0169	4.6418	5.2162	5.7576	5.0669	5.5723	5.1558	4.8412	4.9498	5.0688	4.6927	5.1693	5.2574	5.7413	5.4605	5.1164	5.5572	5.3918	4.4988	4.951	5.0434	5.796
"GRID1-AS1"	2.931	2.7854	3.2602	2.9004	2.9622	3.142	2.9653	2.9242	2.7468	3.19	3.0245	2.705	2.9956	2.9644	3.0741	2.6637	2.7682	3.0585	2.6297	2.9686	2.9242	3.182	2.7821	3.1305	3.1764	2.8621	3.0986	3.0381	2.8195	3.0694
"GRIK1-AS1"	3.9553	3.8803	3.7062	3.9507	3.9759	3.8441	4.3336	4.2022	3.4173	3.6765	3.7463	4.0143	3.8569	4.0921	3.9553	3.801	3.9039	4.0003	4.1515	3.7816	3.8843	3.5487	3.8193	3.8134	3.9294	4.1792	4.3206	4.0714	4.3698	4.0368
"GRTP1-AS1"	2.5194	2.233	2.2845	2.5832	2.2305	2.1965	2.43	2.3587	2.5456	2.3219	2.3889	2.1545	2.4924	2.2052	2.2886	2.1069	2.1906	2.3823	2.3054	2.3152	2.3152	2.2565	2.3749	2.2038	2.3356	2.4485	2.486	2.4174	2.2849	2.4206
"GRTP1-AS1///LOC101930007///LOC101930262"	4.6839	4.5706	4.8122	4.9411	4.7569	4.7391	4.7574	4.7637	4.5691	4.4894	4.9112	4.6964	4.4692	4.7062	4.7995	4.8964	4.5346	4.6998	4.8955	4.9782	4.9079	4.3025	4.6261	4.6331	4.7707	4.7391	4.9855	5.6176	5.0708	4.7452
"GS1-166A23.2"	3.6488	3.6908	3.4663	3.4916	3.7135	3.6872	3.5113	3.6114	3.3775	3.4175	3.6826	3.329	3.45	3.4895	3.3987	3.3543	3.3676	3.4804	3.3644	3.311	3.6969	3.3873	3.5602	3.4804	3.237	3.3437	3.2677	3.5664	3.7214	3.4334
"GS1-24F4.2"	2.6887	2.777	2.8144	2.4317	2.6668	2.6147	2.6554	2.711	2.6984	2.6894	2.6014	2.691	2.8863	2.6499	2.6056	2.6645	2.6473	2.4591	2.5042	2.8472	2.6217	2.5044	2.6446	2.7424	2.8262	2.5647	2.6069	2.7649	2.5623	3.2123
"GS1-600G8.3"	3.2397	2.9509	2.7287	3.157	2.8247	2.7174	2.8868	2.925	3.1161	2.8457	2.8118	2.9866	2.8178	2.888	3.0609	2.6552	2.6611	2.888	2.8842	3.118	3.2136	2.7682	2.7059	2.888	2.9904	3.0289	2.7095	3.0995	2.9573	2.832
"GSN-AS1"	3.9691	3.7595	3.8586	3.9143	3.4617	3.8804	3.9061	3.6617	3.5498	3.7889	3.8738	3.5445	3.7707	3.4953	3.7074	3.3228	3.3807	3.7855	3.818	3.8783	3.7961	3.3441	3.3788	3.5326	3.6329	3.7231	3.8467	4.0194	4.0583	3.6648
"GTF2H2///GTF2H2B"	4.7863	5.5642	5.3689	5.1325	5.6236	5.0612	4.6774	5.2672	5.9102	6.0296	6.1136	5.6626	6.1328	5.7828	5.529	6.0502	5.8373	5.3084	5.6347	5.0143	5.6843	6.846	6.3612	5.2323	5.6967	6.0661	4.9759	5.3601	5.02	4.7608
"GTF3C2-AS1"	4.643	4.4093	4.4777	4.6052	4.0562	4.4982	4.4453	4.52	4.0221	4.3084	4.3545	4.1608	4.1106	4.2047	4.3999	4.1739	4.1779	4.2003	4.3284	4.5228	4.3951	3.9024	3.9985	4.4414	4.2446	4.4073	4.4009	4.7464	4.4529	4.2254
"GTPBP10///LOC101927446"	2.8601	2.8444	2.4957	2.6196	2.7622	2.5394	2.8865	2.9624	2.5671	2.8899	2.8084	2.7637	2.6881	2.5807	2.633	3.1424	2.5436	2.8232	2.5625	3.1369	2.6503	2.8449	2.8375	2.5901	2.8386	2.8153	2.7387	2.8143	3.2041	3.1324
"GTSE1-AS1"	4.2054	4.4478	4.7322	4.5169	4.3851	4.3407	4.3296	4.3267	4.2673	4.4474	4.3647	4.7162	4.219	4.2743	4.3851	4.1154	4.0637	4.3989	4.5247	4.2447	4.5474	4.0898	4.1913	4.6439	4.176	4.4213	4.491	4.462	4.4159	4.4168
"GUCY1A3"	3.395	3.4	4.7135	4.3172	3.3336	3.6346	4.5422	3.8231	3.6834	3.7033	3.4174	3.4875	3.4441	3.4195	3.5315	3.6421	3.417	3.6533	3.1637	3.7142	3.8307	3.5868	3.2341	3.6266	3.431	3.7024	3.7867	3.6693	3.7305	3.309
"GUSBP11"	6.3523	6.5992	6.8524	7.4692	6.6474	6.3491	6.5179	6.7188	7.1715	7.6085	6.9243	6.8973	6.8398	6.8975	6.7217	6.8609	6.9181	6.856	6.6704	7.0291	6.7929	7.0992	6.9715	6.8184	6.7315	6.6368	6.7236	6.8854	7.061	6.7793
"H19///MIR675"	5.3528	5.2	4.7126	5.239	5.4666	4.9855	5.173	5.0903	4.3267	4.8052	4.9365	5.0088	4.9561	4.9932	5.1377	4.9169	4.8339	5.0415	5.1308	5.0529	4.935	4.6621	4.7523	5.0672	4.8184	5.1296	5.1927	5.151	5.2863	4.7343
"H1FX-AS1///H1FX-AS1"	4.1196	4.3313	4.6043	4.351	4.4844	4.2947	4.7802	4.3313	4.3996	4.3842	4.4474	4.2848	4.3111	4.1547	4.4351	4.0812	4.0646	4.2735	4.3118	4.3753	4.3427	3.9078	4.1389	4.2723	4.2937	4.3429	4.312	4.5396	4.3811	4.4844
"HAGLR"	3.6633	3.8306	3.2165	3.4658	3.437	3.5117	3.8753	3.676	3.116	3.082	3.2415	3.0914	3.136	3.1902	3.0823	2.9867	3.0204	3.3233	3.3095	3.1531	3.4341	3.0164	3.0847	3.0523	3.2229	3.2451	3.7047	3.6636	3.3362	3.2319
"HAGLROS"	4.9376	4.8157	4.5658	4.9343	4.1933	4.5667	5.017	4.6037	4.5443	4.5667	4.7197	4.2773	4.3079	4.2584	4.6476	4.9145	4.093	4.5735	4.5687	4.6518	4.8845	4.2401	4.1656	4.5471	4.5118	4.7041	4.9904	5.3063	4.4997	4.5347
"HAND2-AS1"	2.83	2.7884	2.6132	2.7481	2.8348	2.8258	2.8714	2.8957	2.8039	2.7677	2.7499	2.6	2.8589	2.7726	2.6869	2.6896	2.6238	2.7298	2.7995	2.9435	2.7059	2.7996	2.5883	2.8861	2.7617	2.9162	2.8477	3.0372	2.9516	2.8142
"HAR1A"	6.1158	5.7541	4.9786	5.3903	4.6311	5.2068	5.1453	5.5748	4.7528	5.2624	5.9832	5.7332	5.5949	5.4386	5.4347	5.8153	5.1594	5.4646	6.0931	5.6377	5.8389	5.4168	5.4886	6.0304	5.4435	6.2725	5.6848	5.8844	5.652	5.2754
"HCCAT5"	4.8266	4.6198	4.9276	4.9715	4.8689	4.8326	4.9817	4.4405	4.4307	4.7966	4.8008	4.5282	4.3908	4.5196	4.5526	4.5005	4.314	4.6713	4.8407	4.5119	4.522	4.0267	4.551	5.0387	4.3627	4.6371	4.6469	4.8365	4.8393	4.4987
"HCG11"	3.5208	3.6816	3.2637	2.9276	4.5028	3.8272	3.0279	3.1824	4.3839	3.4293	3.8484	3.764	3.7908	4.3233	3.5059	3.3595	3.6554	3.3391	3.3248	3.3504	2.7673	3.7716	3.8143	4.2897	3.9757	3.8525	3.6524	2.9942	3.5342	3.3974
"HCG18"	5.8251	5.9091	5.3149	5.1213	5.3448	5.2001	5.4233	5.5121	5.4037	5.5213	5.9216	5.8634	6.1318	6.1871	5.9392	6.2999	6.2621	5.8407	6.1026	5.9993	5.3894	5.9114	6.2751	5.9845	5.7605	6.5393	5.858	5.5259	6.0215	5.8525
"HCG22"	6.7542	6.4322	5.9322	5.9417	5.8249	6.1573	6.3432	5.9243	5.1475	5.7602	6.1153	5.9531	5.7639	5.9119	5.9556	5.8808	5.7377	6.3265	6.3038	6.0618	5.9224	5.3982	5.5	5.836	5.5883	6.3679	6.616	6.3673	5.9913	6.0463
"HCG26"	7.1126	7.2202	6.6081	6.5605	6.6357	7.0234	6.8082	6.9644	6.6383	6.6721	7.2229	7.4546	7.1024	6.8216	7.39	7.5259	7.365	7.1574	7.4397	6.5524	7.0308	7.1545	6.9413	7.0769	7.257	7.1717	7.4299	7.3893	7.0769	6.6345
"HCG27"	6.5088	7.2701	7.7632	7.4053	8.7779	8.0925	6.5165	8.7074	7.7823	7.6808	8.0198	8.645	8.2054	8.5572	8.7318	8.8122	8.6506	8.4546	8.5017	8.1251	7.2698	8.6292	7.7359	8.2888	7.7102	8.0844	7.3953	7.8843	7.5646	7.899
"HCG4"	3.3621	3.2496	3.2915	3.1256	3.183	3.0578	3.0291	3.1559	2.9886	3.0463	3.0578	3.1026	3.0761	3.1308	2.9993	3.1079	2.9287	2.8455	2.8684	3.0578	3.0578	3.1141	3.2216	3.0171	3.0365	3.1395	3.0506	2.9285	3.281	3.1928
"HCG4B"	3.7213	3.6435	3.5322	3.8056	3.3631	3.8717	3.6977	3.5594	3.3516	3.4354	3.0613	3.3532	3.471	3.6408	3.4383	3.2344	3.4009	3.4824	3.693	3.5073	3.4999	3.2482	3.416	3.3785	3.5689	3.3115	4.0436	3.5155	3.3639	3.3609
"HCG9"	4.6075	4.6736	4.4602	4.7698	4.4519	4.4111	4.6332	4.4487	4.1752	4.2611	4.3588	4.2035	4.3059	4.1866	4.1425	4.413	4.0729	4.5239	4.3126	4.5338	4.8256	4.009	4.259	4.0753	4.3833	4.3423	4.3806	4.4711	4.7732	4.5298
"HCP5"	7.7079	8.0746	6.8187	7.0115	7.7858	8.399	6.4443	8.2426	7.4946	7.9243	8.9129	8.5506	8.6813	8.333	8.415	8.6022	8.5179	8.3139	8.561	8.1853	8.619	8.7492	8.4526	8.5831	8.5771	8.5891	8.2031	8.4595	8.3113	8.0315
"HECW1-IT1"	2.5604	2.6137	2.5511	2.3976	2.3983	2.4206	2.384	2.4642	2.2036	2.367	2.4582	2.4168	2.5044	2.2472	2.5702	2.3681	2.4168	2.478	2.3782	2.3344	2.6225	2.5028	2.3898	2.4284	2.4707	2.2469	2.4245	2.5581	2.4284	2.4888
"HEIH"	8.6973	8.7293	8.5081	8.3375	8.674	8.7483	8.5252	8.3983	8.4694	8.5285	9.0641	9.0364	8.8054	8.8392	8.6194	8.9294	8.779	8.7874	8.8259	8.8061	8.7152	8.767	8.8149	8.8975	9.0454	8.8274	8.9023	8.7778	8.7915	8.6367
"HEXA"	4.1278	3.7422	3.6445	3.8619	3.5624	4.0299	4.4025	4.1192	3.5139	3.5796	3.4972	3.7023	3.8226	3.6448	3.721	3.5535	3.365	3.6157	3.5362	3.7726	4.0488	3.1119	3.3759	3.4824	3.6005	4.107	4.3267	4.1579	3.3639	3.6185
"HEXA-AS1"	3.4004	3.3508	3.2938	3.4083	3.1353	3.5508	3.5087	3.4184	3.458	3.4641	3.1912	3.2619	3.2938	3.1758	3.1352	3.2938	3.0048	3.1328	3.3455	3.4894	3.4975	3.2099	3.0074	3.6321	3.5162	3.3535	3.703	3.7801	3.4112	3.2531
"HGC6.3"	4.9964	4.8956	4.5735	4.8364	4.3032	4.7495	5.1486	4.8599	4.6199	4.9185	4.6875	4.4276	4.6807	4.6904	4.6445	4.8602	4.7698	4.9147	4.7371	4.6298	5.0021	4.3605	4.5183	4.5513	4.7371	4.7418	5.271	5.3484	4.7791	5.0933
"HHIP-AS1"	5.4758	5.5991	5.2442	5.5444	5.388	5.4676	5.7503	5.3287	4.9417	5.2415	5.1521	5.1066	5.0269	5.5504	5.2075	5.3141	5.1471	5.4499	5.5676	5.3137	5.5424	4.8666	5.3975	5.1888	5.3795	5.5429	5.6513	5.2522	5.8087	5.7598
"HIPK1-AS1"	3.0369	2.7603	2.7462	2.6457	2.7579	2.7275	2.8582	2.7385	3.0353	2.8075	2.8479	2.862	2.7893	2.8342	2.8734	2.8266	2.6933	2.695	2.8595	2.7615	2.6199	2.6407	2.8099	2.6453	2.7767	2.8249	2.8802	3.0016	2.8907	2.7797
"HK2///RP11-259N19.1"	3.9531	4.4123	3.7271	4.0084	3.7726	4.1079	4.2078	4.0694	3.4703	3.8235	4.0769	4.0611	3.9739	3.9965	4.0342	4.0274	4.1999	4.2325	4.1398	3.9035	4.1763	3.9458	4.1688	3.9983	4.0772	4.0699	4.0151	4.161	4.1336	4.0007
"HLA-F-AS1"	4.8011	5.139	4.5454	4.4657	4.605	3.921	4.2976	5.1806	5.0257	5.1034	6.1402	6.0866	5.514	5.7759	5.3939	5.7845	5.3838	5.2547	5.1882	5.6418	5.659	5.9123	5.3075	5.5641	4.9291	5.2841	5.5852	5.6961	6.0547	5.7006
"HMGA1P4///HMGA1P4"	6.6579	6.0322	6.1654	6.0025	6.018	6.2976	6.3352	6.2345	5.6198	6.1768	6.3478	6.5019	6.2235	6.1526	6.1701	6.4255	6.0003	6.5686	6.582	6.3277	6.6743	5.6545	6.202	6.1853	6.5265	6.2924	6.8516	6.7005	6.627	6.3698
"HMGN3-AS1"	2.7748	2.9264	2.8843	2.726	2.7319	2.9482	2.6715	2.9255	2.904	2.826	2.7077	2.7742	2.8343	2.941	2.7945	2.7837	2.7271	2.7998	2.7115	2.8648	2.8565	2.7602	2.7642	2.8884	2.7852	3.0165	2.9552	2.7756	2.9252	2.8235
"HMMR-AS1"	3.5438	3.3171	3.7504	3.8181	3.4845	3.9707	3.3503	3.4544	3.1276	3.0048	3.1091	3.5985	3.143	3.1503	3.4683	3.4387	3.3503	3.3187	3.3246	3.3503	3.7093	3.1719	3.1483	3.1326	3.1612	3.3991	3.7156	3.2033	3.3403	3.4195
"HNF4A-AS1"	2.8262	2.7449	2.9385	2.943	2.772	2.7927	2.8129	2.8727	2.7104	2.8233	2.9136	2.8262	2.9181	2.8295	3.0575	2.753	2.6755	2.8145	2.8072	2.8171	3.2119	2.5758	2.7177	2.9615	2.6821	2.6999	3.1163	2.9036	2.9961	2.8226
"HNRNPU-AS1"	5.5131	7.2468	7.606	6.7011	7.5259	6.7879	6.1921	7.8592	7.9655	7.5497	7.2112	7.7037	7.5329	7.6432	7.3747	7.7384	8.0524	7.3295	7.4017	6.3472	7.2228	8.1379	7.846	7.6164	7.3421	7.4459	6.7245	6.6402	7.0835	5.9997
"HNRNPUL2///HNRNPUL2-BSCL2"	5.6348	4.9237	5.0543	5.2046	5.7014	5.4088	5.2319	5.1117	4.1864	4.9079	5.3043	5.6303	5.6591	5.1549	5.8743	5.1083	5.4057	5.3886	5.5588	4.853	5.3398	5.3479	5.6973	5.2595	5.2248	4.989	4.9277	5.3008	5.3824	4.9748
"HOTAIR"	2.5682	2.5122	2.57	2.6165	2.5892	2.7326	2.4965	2.4404	2.7258	2.3939	2.6061	2.526	2.5607	2.5173	2.3803	2.4528	2.5176	2.3241	2.5112	2.4329	2.3457	2.5136	2.3973	2.3815	2.3998	2.4975	2.583	2.5136	2.564	2.5637
"HOTAIRM1"	7.0972	6.7073	6.895	6.7647	7.7973	7.1258	7.1687	6.8837	7.1117	7.9976	7.0555	7.8357	6.6666	7.5776	6.6066	6.2804	6.7762	7.1838	6.942	7.467	5.98	6.6236	7.5633	7.3627	8.378	6.9442	6.7313	7.2736	7.219	6.5729
"HOTTIP"	3.4059	3.459	3.1089	3.2247	2.8987	3.4451	3.5589	3.0259	2.9455	2.9554	3.2351	3.1207	3.2244	3.3228	3.2195	3.3621	2.9498	3.2741	3.2244	3.1697	3.3804	3.2853	3.22	3.0466	3.2244	3.1566	3.343	3.2244	3.2244	3.2959
"HOXA-AS2"	4.5173	4.3931	4.0861	4.5477	3.9485	3.8056	4.2061	4.1057	3.7407	4.1576	3.9804	4.0564	4.0576	3.9183	3.9223	3.8362	4.1066	4.324	4.2566	3.9946	4.2183	3.9731	3.8933	3.9624	4.1967	4.3441	4.4765	4.4117	3.9362	4.1343
"HOXA-AS3"	4.1107	3.9312	4.0638	3.9598	3.9422	4.1148	4.394	4.0098	3.5555	3.6354	4.0167	3.757	3.9312	3.8164	3.8151	3.809	3.839	4.0695	4.2275	4.063	4.1678	3.4764	3.6391	3.8762	3.7466	4.0342	4.2104	4.0705	4.1276	4.0853
"HOXA10-AS///MIR196B"	3.9284	3.7978	3.7307	3.5421	3.3724	3.6629	4.2184	3.5195	3.6728	3.6593	3.5793	3.6591	3.6591	3.4522	3.6017	3.5935	3.3313	3.8538	3.6698	3.5378	3.7899	3.5434	3.4885	3.4728	3.6457	3.8953	4.2337	3.7911	3.5283	3.6593
"HOXA10-HOXA9///HOXA9///MIR196B"	3.6412	3.8013	4.6836	3.594	4.088	3.5265	4.1516	4.1861	4.6396	4.072	3.5223	3.4958	3.4852	3.433	3.4742	3.62	3.5217	3.5834	3.4595	3.3124	3.7915	3.5079	3.3614	3.3838	3.5995	3.6033	3.5442	3.8346	3.3169	3.2556
"HOXA11-AS"	3.7017	3.6686	3.3846	3.6281	3.2662	3.5459	3.7771	3.7149	3.3349	3.489	3.4418	3.4355	3.3494	3.4563	3.6015	3.4496	3.3029	3.4671	3.5398	3.4992	3.5403	3.2744	3.3057	3.537	3.5101	3.5127	3.6199	3.6597	3.6693	3.4365
"HOXB-AS1"	4.9347	4.797	4.4518	4.1994	4.2504	4.3909	4.7355	4.6068	4.1508	4.6549	5.522	5.4529	4.9916	5.1718	5.3779	5.1353	5.3289	4.8264	5.0233	5.0809	5.4912	5.0085	5.0605	4.7952	4.5145	4.8644	4.9751	4.9825	5.2652	4.9427
"HOXB-AS3"	4.2523	4.0515	3.9402	3.8237	3.8552	4.1756	4.3482	4.3631	3.6985	3.9291	3.7622	3.8945	3.9467	3.9018	3.9657	4.0517	3.5649	4.1246	4.1775	3.9812	4.4609	3.4298	3.9798	3.8023	4.1167	3.7669	4.5206	4.3313	3.9678	4.1062
"HOXC-AS3"	4.0359	4.0465	3.9737	4.2974	3.7123	3.8731	4.3355	4.3693	3.8263	3.8687	4.0291	3.9057	3.9315	3.7794	4.1619	3.8448	3.8678	3.7988	4.5334	4.0555	4.1565	3.6609	3.6956	4.0125	4.1645	4.401	4.5416	4.3683	4.0197	3.8394
"HOXD-AS2"	5.0461	4.9004	5.0631	5.0098	4.892	5.1258	5.2279	4.9922	4.753	4.9379	4.6804	4.7686	4.7002	4.5818	4.7717	4.6983	4.6577	4.8881	4.8404	5.2376	4.901	4.5667	4.6577	4.6281	4.7891	4.7409	4.9431	5.2176	4.681	4.7091
"HP08942"	4.9899	4.8108	4.8847	4.9711	4.3393	4.8383	5.12	5.2588	4.1148	4.6877	4.6807	4.6532	4.6043	4.7486	4.9173	4.8846	4.6077	4.987	4.9988	4.8567	5.0619	4.2701	4.6751	4.8084	4.7924	4.8383	5.4359	5.2376	4.8868	4.7363
"HP09025"	5.3437	5.352	4.8829	5.1683	4.5977	4.928	5.312	4.909	4.3409	4.5602	4.7776	4.6826	4.8567	4.5689	4.9534	4.8347	4.3868	5.2942	5.1155	4.8614	5.215	4.2851	4.2905	4.6271	4.5712	5.093	5.6104	4.9501	4.8573	4.9074
"HPYR1"	3.816	3.876	4.2489	3.9957	4.2402	4.0052	3.8666	3.6363	3.6423	4.1737	3.8792	3.4571	3.692	3.7723	4.1507	3.6922	3.8533	3.9137	3.7814	4.1246	3.9132	3.6378	3.5813	3.7803	3.7188	3.9132	3.9461	4.3251	3.9178	3.8788
"hsa-let-7a-3///hsa-let-7b///hsa-mir-4763///MIRLET7BHG///RP4-695O20__B.10"	6.4754	6.1932	5.8311	6.376	5.8405	5.6931	6.1107	6.0709	5.4585	5.8137	5.7977	5.7963	5.6461	5.4999	5.8772	5.8352	5.4352	5.8772	5.8796	5.7448	6.0145	5.6944	5.5815	5.9058	5.7442	5.7578	6.2573	6.0249	6.1127	5.8445
"hsa-let-7a-3///hsa-let-7b///hsa-mir-4763///RP4-695O20__B.10"	5.5162	5.4468	4.9842	4.8612	5.3414	5.4305	5.3497	4.8163	4.4205	4.9378	5.5761	4.9554	5.3316	5.6541	5.1255	5.192	5.528	5.2129	5.7269	5.0677	5.0325	5.1762	5.3735	5.3195	5.4747	5.2036	5.266	5.3818	4.7103	4.5366
"HSD17B1"	6.1538	6.337	6.981	7.3535	6.9125	7.0406	6.4206	7.0019	6.182	6.7293	7.2219	7.3301	6.8728	6.8829	6.9451	6.8219	6.9004	6.3719	6.9124	6.9179	7.2858	7.0005	6.7574	6.8274	7.0391	6.3993	6.6852	7.1167	6.9808	6.7801
"HYI-AS1///HYI-AS1"	2.4727	2.6011	2.3101	2.4875	2.4987	2.6147	2.7864	2.6097	2.663	2.4296	2.4564	2.6493	2.5362	2.4814	2.4189	2.5914	2.4355	2.3728	2.6388	2.4727	2.3614	2.5103	2.2481	2.5583	2.6526	2.4727	2.9147	2.6124	2.7596	2.386
"HYMAI"	5.9854	5.1001	4.9252	5.3576	5.4175	5.7217	5.0723	5.808	6.6083	5.4023	5.0279	5.1584	5.1338	4.4671	5.6463	4.4019	5.2713	5.565	5.4038	5.7145	5.3075	5.9803	5.1338	5.2772	5.5336	3.5244	4.4839	5.6504	5.5852	5.5668
"HYPK///MIR1282///SERF2///SERF2-C15ORF63"	6.6153	7.0209	6.6945	6.8691	6.3693	6.0675	6.9963	6.9581	6.5319	7.0737	7.0847	7.2396	6.9569	6.8645	6.8177	7.0603	6.9813	6.7389	6.7847	6.9788	7.1917	7.191	6.8738	6.9661	6.7765	6.6996	6.8234	7.2007	7.0594	6.8269
"IBA57-AS1"	3.4349	3.8506	3.4196	3.7091	3.4555	3.4352	3.5367	4.0619	3.5115	3.4067	3.4802	3.7186	3.4192	3.2795	3.4298	3.4964	3.1374	3.4376	3.5422	3.6099	3.7297	3.4618	3.4691	3.4817	3.3884	3.5627	3.4079	4.1627	3.5745	3.453
"IDH1-AS1"	3.4828	3.426	3.0651	3.4904	3.5283	3.7565	3.9913	3.8176	3.7532	3.968	3.5014	3.4067	3.5561	3.4323	3.3197	3.6036	3.3148	3.3769	3.751	3.806	4.0325	3.0547	3.3353	3.5014	3.6005	3.5014	3.3009	4.1298	3.7946	3.4199
"IDI2-AS1"	3.2819	3.2595	3.6885	3.65	3.4092	3.8669	3.6939	3.9231	4.6261	3.8132	3.6321	3.3844	3.6069	3.6488	3.3301	3.2	3.4826	3.6069	3.3491	3.3467	3.9487	3.3236	3.1921	3.5439	3.4953	3.4395	3.6014	3.5759	3.3106	3.9627
"IGF2-AS"	6.0565	6.265	5.4207	5.8511	5.6283	5.8751	6.2963	5.9521	5.7692	5.682	5.7581	5.7931	5.6265	5.5597	5.792	5.806	5.3666	6.0903	6.0777	5.7448	6.0808	5.2743	5.5082	5.4608	5.8134	5.7842	6.3122	5.7931	5.8857	5.9495
"IGFBP7-AS1"	2.7756	2.753	2.6407	2.8373	2.7708	2.8373	2.7982	2.7484	2.6533	2.6632	2.661	2.7276	2.7108	2.7267	2.759	2.6559	2.6024	2.6981	2.6618	2.7367	2.81	2.5882	2.8013	2.7492	2.8073	2.9528	2.4893	2.8823	2.8413	3.1463
"IGSF11-AS1"	2.1607	2.4408	2.1761	2.4808	2.3147	2.498	2.481	2.3675	2.2122	2.3186	2.4161	2.3955	2.3625	2.2418	2.6678	2.27	2.5107	2.3384	2.3081	2.3903	2.4614	2.2829	2.3667	2.414	2.3097	2.4059	2.3676	2.2303	2.3729	2.4071
"IL10RB-AS1"	5.707	5.7879	7.8953	7.4437	7.3348	7.2034	6.6568	6.393	7.937	6.3945	4.834	5.6475	5.05	4.6453	4.8615	4.7447	5.0185	5.3329	4.7142	4.987	5.218	4.8174	4.8778	5.1219	4.7815	4.3513	4.5182	5.0492	5.2661	5.0747
"IL12A-AS1"	4.2447	3.7252	3.6112	3.9871	3.9406	3.8986	3.7218	3.9338	3.5498	3.7147	3.7964	3.8309	3.6634	3.6462	3.8362	3.3552	3.8362	3.9685	3.5754	3.8362	4.0501	3.6563	3.5528	4.0478	4.1914	3.5906	3.814	4.0275	4.028	3.566
"IL21R-AS1"	6.0991	5.9231	5.7201	5.9445	5.5489	5.7447	6.0845	6.1746	5.5657	5.6571	5.8624	5.8557	5.6124	5.6201	6.0305	5.7599	5.4711	5.7152	5.7915	5.7063	6.0138	5.4739	5.4673	5.6688	5.8313	5.6681	5.8418	6.0733	6.0305	5.2562
"ILF3-AS1"	5.6193	5.5004	5.076	5.2413	5.482	4.8389	5.1397	5.0414	5.2108	5.0161	6.2607	6.2105	5.8247	5.8195	5.9791	5.9021	6.0421	5.7308	5.6151	5.9021	5.2537	6.4469	5.8269	6.02	5.4141	5.6946	5.8317	5.32	5.8375	5.7656
"INE1"	6.7879	6.6198	6.3997	6.563	6.315	6.5845	6.8261	6.5526	5.8824	6.256	6.2519	6.2017	6.0547	6.2741	6.1801	6.198	6.0289	6.4586	6.3773	6.4325	6.3208	6.0361	6.0606	6.1538	5.8302	6.1351	6.4106	6.2801	6.2746	5.9852
"INHBA-AS1"	3.6451	3.7108	3.6349	3.7158	3.6435	3.4689	3.6244	3.7193	3.5997	3.6337	3.4742	3.5146	3.5634	3.5634	3.5933	3.5722	3.386	3.6278	3.5277	3.6639	3.5256	3.5292	3.4816	3.5523	3.4994	3.6356	3.6332	3.4971	3.7041	3.6262
