"ID" "GSM712478"	"GSM712479"	"GSM712480"	"GSM712481"	"GSM712482"	"GSM712483"	"GSM712484"	"GSM712485"	"GSM712486"	"GSM712487"	"GSM712488"	"GSM712489"	"GSM712490"	"GSM712491"	"GSM712492"	"GSM712493"	"GSM712494"	"GSM712495"	"GSM712496"	"GSM712497"	"GSM712498"	"GSM712499"	"GSM712500"	"GSM712501"	"GSM712502"	"GSM712503"	"GSM712504"	"GSM712505"	"GSM712506"	"GSM712507"
"AC005306.3"	6.0105	6.2115	6.0441	5.9466	5.8066	5.8547	6.2455	6.355	5.5882	6.1244	6.3456	6.3449	6.3641	5.8591	6.4638	6.0545	5.7587	6.3932	6.5286	6.2438	6.5265	6.061	6.0611	6.1872	6.2907	6.4465	6.521	6.4925	6.6226	6.9358
"AC005498.3"	4.2875	3.802	4.02	3.9117	3.8924	3.9722	4.2966	4.0492	3.5888	4.0686	3.757	3.9375	3.7783	3.9947	4.0593	3.7604	3.6823	3.8911	3.8579	4.0264	3.7555	3.7442	3.5255	3.7249	3.9441	4.0792	4.0948	3.7261	3.9556	4.0049
"AC005523.2"	5.1128	4.4545	5.0802	4.5228	4.8476	4.9686	5.1034	4.6098	4.8096	5.0026	4.7928	4.9054	4.649	4.8386	4.8155	4.8961	4.844	4.5534	4.7123	5.5298	4.5923	4.8718	4.7937	4.8033	5.1067	5.1043	4.28	4.5825	4.5156	4.227
"AC005523.3"	5.5708	5.9534	5.5018	5.6261	5.5736	5.5796	6.1195	6.0522	5.2449	5.6701	5.4047	5.5418	5.6269	5.5693	5.6484	5.6681	5.4688	5.7429	5.9662	5.5727	5.7682	5.3528	5.2165	5.475	5.7829	5.9327	6.1985	5.9926	5.6434	5.8606
"AC005537.2"	3.1987	3.1351	3.0453	3.2147	2.8588	3.0204	3.2048	2.9283	2.6696	2.8431	2.744	2.8762	3.043	3.2822	2.98	2.8245	2.9906	3.0056	2.9041	2.9093	3.0191	3.043	2.7858	2.9818	2.9303	3.0763	3.0162	3.1397	3.3733	3.3719
"AC005592.3"	3.4918	3.3799	3.2783	3.0972	3.0121	3.0401	3.1131	3.17	3.0468	2.9917	3.1172	2.7646	3.0736	3.0243	3.0193	2.936	2.8636	2.967	2.9624	3.0891	3.1172	2.9938	2.7698	2.8485	2.9033	3.1754	3.0941	3.002	3.4231	3.1587
"AC005606.14"	3.1964	3.2157	3.0678	3.4228	2.978	2.9835	3.653	3.3934	2.9212	3.1874	2.7802	3.3035	2.9045	3.0973	3.3069	3.0026	2.7285	2.9069	3.1297	3.1964	3.1832	2.6834	2.9412	3.0525	2.8957	3.2555	3.5102	3.3305	2.8718	3.1773
"AC005754.7///BC016751"	3.6422	3.4962	3.3318	3.5053	3.2979	3.0463	3.4229	3.3792	3.3671	3.2096	3.3291	3.3342	3.1413	3.0578	3.1647	3.1302	3.0578	3.3944	3.1373	3.153	3.7239	2.9576	3.0546	3.255	3.0763	3.3574	3.5797	3.7538	3.4869	3.1163
"AC005785.2"	5.0391	5.0264	4.65	4.9659	4.8076	4.85	5.0208	5.0237	4.5094	4.7451	4.4403	4.3919	4.484	4.6763	4.7488	4.7574	4.4236	4.9434	4.7532	4.599	5.0165	4.4317	4.5746	4.6096	4.6118	4.8656	5.0175	4.9778	4.8904	4.48
"AC006026.13"	3.833	3.4445	3.5541	3.6141	3.7944	3.5874	4.0016	4.0422	3.8484	3.6167	4.4388	4.5688	3.7533	4.4805	3.7193	3.6675	3.8606	3.5903	3.5903	4.1049	4.4777	3.7604	3.7979	4.0337	3.3729	4.0809	3.5114	3.9385	4.336	3.7069
"AC006129.2"	3.7682	3.7682	3.4488	3.4033	3.5409	3.6272	3.6222	3.3557	3.4789	3.8356	3.7682	3.6221	4.0601	4.3905	3.9658	4.9235	4.2226	3.9415	3.7236	4.2447	3.3666	4.1055	4.0371	3.3412	3.9127	4.1951	3.9249	3.5733	3.5989	3.3132
"AC006538.1"	3.6099	3.712	3.4284	3.4746	2.8227	3.3144	3.3644	3.3117	2.8962	2.9313	3.0136	3.1918	2.9021	2.7775	3.0264	3.416	2.8778	3.3031	3.302	3.2048	2.9713	2.7931	2.8801	3.0969	3.2687	3.2132	3.2338	3.2421	3.0688	3.0986
"AC007228.11///BX647249"	6.1477	5.6198	5.8577	5.9632	5.5003	5.6198	5.8467	5.5448	5.6198	5.6541	5.7547	5.7042	5.6967	5.5536	5.6198	5.5618	5.2433	5.5426	5.8695	5.5667	5.8886	5.5442	5.4441	5.6711	5.4039	5.6798	5.3351	5.7833	5.7624	5.6882
"AC007255.8///BC038570"	4.3981	3.8163	3.2294	4.0838	3.7816	3.533	4.0312	3.9128	3.6369	3.8104	3.7972	3.6272	3.4695	3.743	3.6722	3.6977	3.5017	3.4943	3.6906	3.6899	3.307	3.6432	3.6223	3.7075	3.6387	3.6997	3.5446	3.6651	3.6855	3.4291
"AC007292.3"	6.2628	6.3186	6.2266	6.5541	5.9746	5.9151	6.0878	6.0155	6.0899	6.0542	6.2636	6.1525	6.3628	6.1279	6.4608	6.3034	5.7645	6.2779	6.028	6.4358	5.6884	5.9435	6.0683	6.2639	6.4803	6.1343	6.2573	6.1406	6.2504	5.7352
"AC007349.5"	3.0473	2.7317	2.7054	3.0284	2.9226	2.8293	3.1119	2.8682	2.7996	2.8796	2.5601	2.9322	2.6033	2.8738	2.6786	2.586	2.7059	2.7041	2.7423	2.971	2.6838	2.5967	2.4257	2.7936	2.7724	2.7358	2.8482	2.6011	2.8755	2.7685
"AC007362.3"	3.8685	3.7695	3.6708	4.0972	3.676	3.6559	3.9282	3.8153	3.7536	3.8294	3.4899	3.6224	3.6691	3.5667	3.7022	3.8044	3.5508	3.9037	3.8401	3.6792	4.0518	3.5988	3.7493	3.837	3.616	3.5519	4.064	3.9201	4.0942	3.6178
"AC007364.1///FLJ32955"	2.9377	2.8994	2.8544	2.8312	3.0841	2.9317	2.9533	3.0079	3.3192	2.9585	2.8082	3.0193	2.8137	2.9419	2.9112	2.886	2.573	2.7936	2.9377	2.9377	3.0841	2.9151	2.7484	2.9377	3.1072	2.6552	2.7093	2.8686	2.9112	3.387
"AC007365.3"	5.1569	5.3517	4.9966	5.0849	4.9145	5.0738	5.3845	5.5492	5.3099	4.8971	5.2848	5.0562	5.041	5.0884	5.1	5.1875	4.785	4.8602	5.0066	5.1946	5.32	4.6113	5.0552	5.055	5.0216	5.4281	5.6582	5.4963	5.3672	5.1891
"AC007389.3"	5.9454	5.2033	5.2482	5.3656	5.3185	5.4877	5.5543	4.8705	4.8457	5.0599	5.6353	5.2116	5.1117	5.2635	5.5243	5.2737	4.9267	5.395	5.2854	5.2073	5.7243	4.9619	5.3017	5.0801	5.333	5.2884	5.7475	5.6455	5.3939	5.1611
"AC007557.2///BC031974"	4.2262	3.7392	3.6169	3.1933	3.6312	3.5052	3.8649	3.5226	3.6995	3.6262	3.3563	3.4147	3.5904	3.4225	3.4612	2.9505	3.5252	3.5226	3.6331	3.5395	3.3791	3.0849	3.3719	3.2906	3.4874	3.5549	3.7802	3.4682	3.5935	3.4413
"AC007787.2"	3.9867	4.1966	4.1507	4.6218	4.2952	4.2384	4.2917	4.239	4.1066	4.128	4.0415	4.3476	4.0346	4.0137	4.0989	3.7829	4.0049	3.8935	3.9152	4.128	4.305	3.9823	3.8634	3.9069	3.8847	4.3167	4.1041	4.1108	4.1009	3.96
"AC008088.4"	3.4929	3.2244	3.3168	3.4632	3.4844	3.5522	3.5663	3.6189	3.4273	3.6139	3.3784	3.4013	3.2881	3.334	3.6851	3.333	3.2428	3.205	3.1561	3.6096	3.7934	3.0874	3.0352	3.3796	2.9254	3.4222	2.953	3.5024	3.192	3.4929
"AC008746.12"	3.9181	4.2961	3.8906	4.3924	4.2617	3.9254	4.194	3.8243	3.9117	3.7974	3.9218	4.2641	3.8837	4.2286	4.1405	3.964	4.198	4.5604	4.333	4.1092	3.8004	4.2673	4.1021	3.8888	4.0646	4.1264	4.1315	4.3186	4.2335	3.7869
"AC008753.4"	5.4644	5.3492	5.1645	5.0987	5.0954	5.2402	5.2057	5.2104	5.0356	5.0823	4.881	4.9923	5.3479	5.0513	5.0338	5.038	4.8494	5.127	5.079	5.0838	5.0344	4.8336	4.5875	4.8287	5.0987	5.2413	5.7391	5.4265	5.2533	4.9433
"AC009120.6"	5.651	5.2589	5.436	5.5597	5.8957	5.4914	4.9959	5.7931	5.6918	5.5701	5.3213	5.4525	5.7494	5.8264	5.6326	5.7913	6.0499	5.6813	5.5754	5.7296	5.4748	5.9817	6.0267	6.1092	5.9619	5.4385	5.3507	5.101	5.5701	5.0984
