"ID" "GSM1373914"	"GSM1373915"	"GSM1373916"	"GSM1373917"	"GSM1373918"	"GSM1373919"	"GSM1373920"	"GSM1373921"	"GSM1373922"	"GSM1373923"	"GSM1373924"	"GSM1373925"	"GSM1373926"	"GSM1373927"	"GSM1373928"	"GSM1373929"	"GSM1373930"	"GSM1373931"	"GSM1373932"	"GSM1373933"	"GSM1373934"	"GSM1373935"	"GSM1373936"	"GSM1373937"	"GSM1373938"	"GSM1373939"	"GSM1373940"	"GSM1373941"	"GSM1373942"	"GSM1373943"	"GSM1373944"	"GSM1373945"	"GSM1373946"	"GSM1373947"	"GSM1373948"	"GSM1373949"	"GSM1373950"	"GSM1373951"	"GSM1373952"	"GSM1373953"	"GSM1373954"	"GSM1373955"	"GSM1373956"	"GSM1373957"	"GSM1373958"	"GSM1373959"	"GSM1373960"	"GSM1373961"	"GSM1373962"	"GSM1373963"	"GSM1373964"	"GSM1373965"	"GSM1373966"	"GSM1373967"	"GSM1373968"	"GSM1373969"	"GSM1373970"	"GSM1373971"	"GSM1373972"	"GSM1373973"	"GSM1373974"	"GSM1373975"	"GSM1373976"	"GSM1373977"	"GSM1373978"	"GSM1373979"	"GSM1373980"	"GSM1373981"	"GSM1373982"	"GSM1373983"	"GSM1373984"	"GSM1373985"	"GSM1373986"	"GSM1373987"	"GSM1373988"	"GSM1373989"	"GSM1373990"	"GSM1373991"	"GSM1373992"	"GSM1373993"	"GSM1373994"	"GSM1373995"	"GSM1373996"	"GSM1373997"	"GSM1373998"	"GSM1373999"	"GSM1374000"	"GSM1374001"	"GSM1374002"	"GSM1374003"	"GSM1374004"	"GSM1374005"	"GSM1374006"	"GSM1374007"	"GSM1374008"	"GSM1374009"	"GSM1374010"	"GSM1374011"	"GSM1374012"	"GSM1374013"	"GSM1374014"	"GSM1374015"	"GSM1374016"	"GSM1374017"	"GSM1374018"	"GSM1374019"	"GSM1374020"
"AC003973.4"	2.4461	2.4292	2.3305	2.1838	1.8605	2.1683	2.2753	2.2854	2.0137	2.0625	2.0781	2.4372	2.4314	2.385	2.3446	2.1922	2.6345	2.4743	2.1314	2.6035	2.0433	2.3136	2.4504	2.2453	2.415	2.3647	2.8232	2.255	2.2963	2.1257	2.3089	2.5728	1.9717	2.0662	2.4155	2.5623	2.4995	2.2365	2.3951	2.2845	2.4163	2.5084	2.3636	2.0512	2.1793	2.635	2.3452	2.4124	2.4341	2.6829	2.3744	2.5047	2.3896	2.4319	2.6073	2.2349	2.6387	2.2935	2.4058	2.3977	2.2792	2.3638	2.4975	2.6165	2.1655	2.564	2.4171	2.3371	2.1345	2.6321	2.5682	2.2321	2.5639	2.2302	2.1317	2.7741	2.5472	2.7935	2.2285	2.8421	2.2462	2.2786	2.1483	2.2903	1.975	1.996	2.0814	2.2257	2.2527	2.4024	2.7873	2.5573	2.5318	2.6043	2.2966	2.1328	2.3562	2.3742	2.0334	2.1252	2.0269	2.1015	2.1133	1.9421	1.8691	1.9609	2.2516
"AC003986.5///BC043576"	4.8085	5.3683	4.9312	4.8154	4.8634	4.5821	4.9653	5.2377	5.4219	4.9515	5.1108	5.0462	5.6817	5.1203	5.2871	5.2876	5.4028	4.9832	5.1434	5.2198	5.1228	4.9017	4.8743	5.0775	5.0558	5.1158	5.1532	5.1196	4.874	4.7825	4.5327	4.703	5.3523	4.5845	4.762	4.6553	5.1594	5.195	5.3071	5.0075	5.3718	4.967	5.126	4.7436	5.1724	4.8478	5.3688	5.0167	4.9003	4.8638	4.7113	5.0193	5.571	5.0367	5.66	5.1198	5.1847	4.9851	4.7381	5.184	4.921	4.7256	5.2705	4.8978	5.0614	5.2012	4.7817	5.1769	4.971	4.9387	4.777	5.1866	5.4579	4.7454	4.9831	4.9599	5.3148	5.2765	5.0597	5.2366	4.9713	5.0104	5.2863	4.5667	4.9158	4.3873	4.9208	5.1085	4.9735	5.2625	5.4523	4.4843	4.9074	5.0724	4.9759	4.6781	4.8106	4.7763	4.636	4.6881	4.9646	4.7817	4.7378	4.2574	4.4322	5.0561	4.771
"AC004158.3///AK055364"	2.2306	2.5816	2.402	2.4786	2.6647	1.9233	2.2464	1.9842	2.1943	2.2853	2.3039	2.3927	2.3565	2.3354	2.4407	1.9569	2.1484	2.573	2.6337	2.2041	2.274	2.5589	1.9998	2.3486	2.692	2.3467	2.4412	2.59	2.3449	2.5172	2.2501	2.0817	2.2348	2.4011	2.3392	2.2553	2.4302	2.3275	2.5667	2.1601	2.3757	2.0552	2.1079	2.2981	2.4522	2.3172	2.3653	2.5012	2.2747	2.8137	2.3354	2.6175	2.2532	2.5642	2.239	1.9173	2.51	2.3207	2.3272	2.6992	2.2571	2.3733	2.3607	2.2735	2.4952	2.551	2.2913	2.1888	2.2059	2.4183	2.7401	2.242	2.4506	2.4109	1.996	2.5749	2.2395	2.5982	2.3904	2.3963	2.6944	2.4088	2.151	2.44	2.3985	2.2578	2.1827	2.6939	2.2998	2.3879	2.2423	2.3736	2.3724	2.8844	2.5189	2.5688	2.236	2.0985	2.3027	2.2428	1.9737	2.1017	2.0575	2.4599	2.1047	2.402	2.2827
"AC004490.1///AX746733"	3.2178	2.5131	2.7832	2.7729	2.9335	2.6582	2.7755	2.5564	2.6094	2.6282	2.6301	2.9512	2.7027	2.5115	2.8842	2.7691	3.199	2.9898	3.1002	3.0442	2.6885	3.1212	2.9981	2.8994	2.7962	2.6596	3.0088	2.7434	2.7287	3.0542	2.6121	2.6072	3.1242	2.5934	2.5688	3.0636	2.6748	2.5761	2.9714	3.0219	2.7602	2.4943	2.8343	2.5267	2.5179	2.6292	2.8407	2.8067	2.8927	2.8177	2.6708	2.448	2.9903	2.9201	2.8772	2.3516	2.4472	2.7405	2.6473	2.966	3.2576	2.7171	2.6234	2.8367	2.5791	2.797	3.1934	2.8	3.0103	3.0677	2.6392	3.1595	3.0097	2.7219	2.5844	3.162	2.5603	3.0015	2.7473	2.9899	2.5508	2.4259	2.5856	2.5291	2.8484	2.4962	2.5614	2.6358	2.5558	2.6186	2.4147	2.2535	2.8098	2.7354	2.8106	2.7806	2.6953	2.6718	2.5643	2.5952	2.6492	2.8535	2.6357	2.6858	2.5326	2.988	2.7998
"AC004538.3///BC040327"	2.5969	2.4443	2.6578	2.7221	2.4985	2.3226	2.7057	2.5714	2.8361	2.4303	2.3026	2.5317	2.5623	2.627	2.5829	2.941	2.6706	2.5521	2.5302	2.8645	2.5399	2.7091	2.225	2.8237	2.4926	2.5306	2.65	2.5265	2.6284	2.5477	2.5679	2.6021	2.6515	2.1835	2.727	2.3074	2.4425	2.7586	2.6317	2.3366	2.3677	2.3738	2.7369	2.4865	2.6176	2.4213	2.4959	2.4768	2.6955	2.4198	2.3809	2.5432	2.6677	2.625	3.2384	2.3403	2.8134	2.9728	2.4406	2.2346	2.5751	2.4807	2.5446	2.4135	2.4979	2.8326	2.4477	2.2005	2.2677	2.9955	2.5716	2.5432	2.6692	2.9166	2.6305	2.7421	2.6556	2.4889	2.7197	2.7784	2.5568	2.4411	2.3711	2.4344	2.0063	2.2917	2.562	2.3674	2.5722	2.4344	3.1495	2.5185	2.7518	2.8642	2.8483	2.3825	2.3103	2.4332	2.3656	2.3749	2.6869	2.4874	2.3929	2.2816	2.4466	2.5978	2.4246
"AC004951.6///AX747182"	6.9173	7.3145	6.1217	7.5383	7.4539	7.4004	7.1216	7.2614	7.409	6.515	6.9011	6.7865	6.9683	7.0225	7.1215	6.6234	6.8492	7.0267	6.8491	6.4145	7.4356	7.0653	7.2807	7.5548	6.5162	7.0832	6.6306	6.6326	6.3998	6.7847	7.3165	6.873	7.2752	7.1425	7.467	7.1282	7.7722	7.786	7.6442	7.0596	7.469	7.5432	6.785	6.976	7.1071	6.6998	6.8237	7.2386	6.3568	7.0076	7.3146	6.0358	7.358	7.0243	7.0032	6.7908	6.7461	6.8742	6.9378	6.7686	7.3433	7.4195	6.937	7.6842	8.2525	6.7006	7.3489	7.014	6.7443	6.3822	5.5607	6.3863	6.4654	7.2466	7.1207	7.6665	6.7856	6.9566	7.1407	7.3947	6.8259	6.7994	6.9903	7.0844	7.7592	7.6316	6.7278	7.2387	6.5188	7.2919	6.3492	7.4882	7.2744	7.1842	6.7422	7.4552	7.0876	6.9191	7.2715	7.1481	6.9192	7.313	7.3591	6.7468	6.7655	7.2013	6.9866
"AC005162.4"	4.5743	4.0038	4.6806	4.3618	4.3147	3.7824	4.2607	4.2041	4.4377	4.0928	3.9979	3.9386	4.0865	4.2963	4.3879	4.42	4.4117	4.0615	4.1969	4.4942	3.9386	4.0417	4.0475	4.356	3.9507	4.1068	4.0222	4.1571	3.5921	3.7582	3.8873	3.6934	3.8823	3.647	3.9849	3.9177	3.9045	4.3909	4.0974	3.6399	4.2861	3.8993	3.7188	3.9024	4.1969	3.8226	3.9933	3.7452	3.9522	4.0938	3.9408	3.9224	3.9685	4.4013	4.5045	3.8387	3.9393	3.9646	3.9514	4.2391	4.1673	3.8464	4.0196	4.1078	3.8089	3.6756	4.0315	3.7966	3.9189	3.8406	4.0693	3.8516	3.9694	4.268	4.5269	4.3171	3.9862	4.2937	3.6792	4.4154	3.8337	4.08	3.8767	4.1829	3.7836	3.7821	3.9501	4.241	3.663	4.0475	4.1528	4.425	3.6453	4.3054	4.6247	3.6218	3.9957	3.962	3.8486	3.8857	3.6209	4.3655	3.634	3.863	3.8913	4.0835	4.0118
"AC005256.1"	5.4019	5.715	5.3739	5.0518	5.4945	5.3757	5.429	5.0169	4.7318	4.8937	4.9343	4.6516	5.4373	5.1784	5.0904	5.7205	5.2255	4.756	5.4999	5.6627	4.9523	5.2249	4.5785	5.3302	4.8807	4.7618	4.5237	4.9517	4.7019	4.662	4.4408	5.1414	5.031	4.3989	4.5338	4.0733	4.8604	5.1	5.4673	4.6994	5.0045	4.5435	5.0632	4.9052	4.6161	4.7953	4.6174	4.9765	4.8528	4.6863	4.9204	5.4336	5.1551	5.0606	5.0649	3.7864	5.4952	5.008	5.1875	4.8338	5.2106	4.7132	5.0055	4.4764	5.014	5.0247	4.6242	5.0907	4.7046	5.3401	5.0031	5.0098	4.8249	4.9309	5.048	4.9151	4.8128	5.5606	4.9902	5.2615	4.478	4.6354	5.1435	5.1074	4.7835	4.6017	5.1848	4.6605	4.6455	4.6233	5.1693	4.3835	4.5844	5.1861	5.5859	5.0861	5.0832	5.4781	5.2637	4.9959	5.3661	5.4211	5.3102	4.9979	5.2007	5.8569	5.8466
"AC005306.3"	5.6285	5.4515	5.4667	5.6784	5.3318	5.669	5.1787	5.2386	5.4914	5.2087	5.2369	5.089	5.267	5.4065	5.3684	5.2185	5.2967	5.4218	5.0851	6.2723	5.3343	5.1449	5.0441	5.1851	4.9786	4.9906	5.2326	5.1631	4.9834	5.0193	5.231	5.4928	5.5945	5.126	5.0074	5.0523	5.521	5.9132	5.6414	5.1007	4.9447	5.0491	5.4541	5.202	4.9773	5.2162	5.0177	5.2366	4.8422	5.5413	5.4096	5.6944	5.123	5.4821	5.5792	5.1766	5.7861	5.5092	5.6517	4.9155	5.0935	5.3272	5.5401	5.5539	5.8402	5.063	5.3777	5.1803	5.279	5.6253	4.7745	4.822	5.2655	5.9534	5.0283	5.2015	4.9326	5.586	5.51	5.3824	4.8525	4.7849	5.7999	5.747	5.3908	5.5545	5.4694	5.0027	4.9702	5.3454	5.2919	4.6764	5.4407	5.1851	5.3145	5.5772	5.6452	5.4764	6.0062	5.782	5.7855	6.078	5.8121	5.348	5.2919	5.8036	5.6666
"AC005498.3"	3.22	2.9335	3.437	3.2497	2.7683	2.8106	3.578	3.1914	3.433	3.8702	3.2252	3.053	3.6806	3.6636	3.7693	3.1852	3.0009	3.6876	3.0696	3.5761	2.8929	3.2725	3.2811	3.7545	3.4053	3.6469	3.3117	3.5779	3.6291	3.5786	3.3723	3.1679	2.9377	3.8548	3.7824	3.2028	3.427	3.4595	3.5008	3.4038	3.381	3.418	3.8108	3.2922	3.4603	3.6247	3.6892	3.6431	3.608	3.9529	3.5377	3.2874	4.1613	3.4082	3.2774	3.5929	3.8294	3.5031	3.7224	3.0351	3.2481	3.2666	4.0448	3.778	3.7349	3.7862	3.3245	4.0112	3.4736	3.4212	3.5644	3.6538	3.3639	3.2974	3.2593	3.2493	4.0116	3.6376	3.9787	3.9401	3.687	3.648	3.5188	3.2966	3.2982	2.9578	3.4638	3.4868	3.6554	3.4833	3.7122	3.1902	3.7948	4.0847	3.6346	3.8334	3.598	3.5911	3.6448	3.3326	3.6576	3.7175	3.6423	3.3098	3.4139	3.4113	3.524
