"ID" "GSM1373914"	"GSM1373915"	"GSM1373916"	"GSM1373917"	"GSM1373918"	"GSM1373919"	"GSM1373920"	"GSM1373921"	"GSM1373922"	"GSM1373923"	"GSM1373924"	"GSM1373925"	"GSM1373926"	"GSM1373927"	"GSM1373928"	"GSM1373929"	"GSM1373930"	"GSM1373931"	"GSM1373932"	"GSM1373933"	"GSM1373934"	"GSM1373935"	"GSM1373936"	"GSM1373937"	"GSM1373938"	"GSM1373939"	"GSM1373940"	"GSM1373941"	"GSM1373942"	"GSM1373943"	"GSM1373944"	"GSM1373945"	"GSM1373946"	"GSM1373947"	"GSM1373948"	"GSM1373949"	"GSM1373950"	"GSM1373951"	"GSM1373952"	"GSM1373953"	"GSM1373954"	"GSM1373955"	"GSM1373956"	"GSM1373957"	"GSM1373958"	"GSM1373959"	"GSM1373960"	"GSM1373961"	"GSM1373962"	"GSM1373963"	"GSM1373964"	"GSM1373965"	"GSM1373966"	"GSM1373967"	"GSM1373968"	"GSM1373969"	"GSM1373970"	"GSM1373971"	"GSM1373972"	"GSM1373973"	"GSM1373974"	"GSM1373975"	"GSM1373976"	"GSM1373977"	"GSM1373978"	"GSM1373979"	"GSM1373980"	"GSM1373981"	"GSM1373982"	"GSM1373983"	"GSM1373984"	"GSM1373985"	"GSM1373986"	"GSM1373987"	"GSM1373988"	"GSM1373989"	"GSM1373990"	"GSM1373991"	"GSM1373992"	"GSM1373993"	"GSM1373994"	"GSM1373995"	"GSM1373996"	"GSM1373997"	"GSM1373998"	"GSM1373999"	"GSM1374000"	"GSM1374001"	"GSM1374002"	"GSM1374003"	"GSM1374004"	"GSM1374005"	"GSM1374006"	"GSM1374007"	"GSM1374008"	"GSM1374009"	"GSM1374010"	"GSM1374011"	"GSM1374012"	"GSM1374013"	"GSM1374014"	"GSM1374015"	"GSM1374016"	"GSM1374017"	"GSM1374018"	"GSM1374019"	"GSM1374020"
"ITGA9-AS1"	3.0567	2.5164	2.6912	2.7594	2.9005	2.5237	2.5729	2.3309	2.9214	2.4568	2.7206	2.4022	2.4297	2.963	2.141	2.3291	2.8572	2.9705	2.7604	2.6945	2.3167	2.223	2.2011	2.5781	2.84	2.9508	2.8089	2.4004	2.5376	2.5352	2.4177	2.2866	2.8196	2.3129	2.5333	2.1793	2.5898	2.3041	2.6942	2.571	2.4742	2.2799	3.0987	2.4289	2.3816	2.8068	2.4129	2.4632	2.898	2.5145	2.3837	3.0276	3.499	2.8338	2.7931	2.2938	2.4652	2.8871	2.4642	2.3865	2.7624	2.5015	2.7619	2.3642	2.7208	2.4416	2.4077	2.5409	2.467	2.532	2.7734	2.6104	2.4068	2.5836	2.3416	2.5491	2.5147	2.901	2.713	2.6542	2.3445	2.6506	2.6158	2.5999	2.3846	2.4104	2.3373	2.5466	2.3598	2.4872	2.507	2.6765	2.873	2.5444	2.7052	2.2206	2.541	2.7296	2.6098	2.5357	2.7543	2.5371	2.6641	2.4369	2.4439	2.9582	2.4616
"ITGB2-AS1"	7.3033	7.4288	7.8931	7.117	7.4859	7.5025	7.8728	7.8633	8.0472	7.4607	7.4561	7.4995	8.3515	8.088	8.0796	8.4834	8.697	8.8476	7.7086	7.5852	8.2334	8.0556	8.0075	8.1785	7.2766	7.6067	7.9542	6.5577	7.179	7.8835	6.913	7.4659	6.4569	8.439	8.2455	8.4149	7.9139	7.7776	7.7375	7.314	7.718	8.0451	7.1235	7.758	8.01	7.3087	7.0551	8.5912	7.7854	8.6885	8.7379	7.2927	6.7053	7.2879	7.2145	7.9039	7.8933	8.1714	8.9834	8.4566	8.5025	8.5393	8.1295	8.921	8.4113	8.8313	8.5426	8.0515	8.4279	8.6692	6.5151	6.8642	7.6114	8.2656	7.7657	7.5745	7.5313	7.9732	8.0356	6.7927	7.0013	7.0201	8.103	7.5607	8.1878	8.2074	7.9441	8.1212	7.2067	7.0493	7.1043	7.9507	7.2717	7.4596	7.4294	7.8477	7.7762	7.0265	7.443	7.7234	7.105	7.9167	8.3469	8.03	7.3742	7.6021	7.892
"ITGB6///LOC100505984"	2.7445	2.946	2.5463	2.2754	2.5459	2.7329	2.8428	2.609	2.5418	3.0564	2.6153	2.2573	2.6492	2.6301	2.842	3.0926	2.3508	2.1536	2.7141	2.9205	2.9442	2.2302	2.614	2.8174	2.4191	2.3636	2.7358	2.048	2.8569	2.9741	2.4578	2.3535	2.5159	2.4876	2.2802	2.2012	2.796	2.6583	2.866	2.2875	2.234	2.5683	2.3495	2.6721	2.2368	2.5458	2.552	2.6538	3.308	2.7344	2.4421	2.9416	3.0477	2.8027	2.7711	2.6545	2.9367	2.6091	3.0273	3.2424	2.8211	2.7501	2.2426	2.5394	2.3346	2.5274	2.5028	2.6507	2.8451	2.47	2.683	2.4198	2.4086	2.5836	2.8531	2.8531	2.2108	3.1189	2.7683	2.5988	2.7831	2.8639	2.2015	2.59	2.268	2.2094	2.3823	2.3689	2.8713	2.1895	2.3544	2.9932	2.303	2.2104	2.6397	2.3062	2.4813	2.4542	2.7835	2.4899	2.6521	2.5202	2.3102	2.4301	2.6444	2.775	2.8195
"ITPK1-AS1"	2.4998	2.9701	2.5236	2.6427	2.735	2.6789	3.2892	3.4887	3.4906	2.7004	3.9337	3.121	2.5362	3.5153	3.9023	4.127	3.9105	3.9284	3.5074	3.5344	4.344	2.8542	3.5227	4.5364	3.5419	3.7771	4.6988	2.75	3.0013	3.3345	2.4746	2.7618	2.5956	3.4326	3.3667	3.011	3.0454	2.7325	2.9946	2.6683	3.0876	3.7447	2.3868	2.8837	3.665	3.1978	2.3823	3.0556	3.8493	3.7765	3.2925	3.0535	3.0522	3.1362	5.1501	3.1082	3.6482	3.0151	3.4006	3.4783	3.5603	3.3314	2.944	3.4566	3.4022	2.9968	2.8123	3.2007	3.4136	3.0749	2.5561	3.2247	3.1949	3.4954	2.8546	2.2693	3.2967	6.4521	2.8605	2.4295	2.8792	2.7292	3.119	3.8318	3.1804	3.9696	3.4563	3.646	3.91	3.6792	4.8005	3.8076	3.4397	4.6335	4.2292	3.1378	4.6637	3.0092	2.9092	3.3649	3.9121	3.1752	2.8535	2.9343	2.5444	3.37	2.9205
"ITPKB-IT1"	5.1966	5.1364	4.7652	4.6026	5.3397	4.4003	4.5503	4.7437	4.3927	4.784	4.5981	4.6514	4.855	4.9998	5.0295	4.7323	4.7359	4.4339	4.8461	5.2931	4.4086	4.5318	4.3406	4.8647	4.7874	4.6495	4.315	4.5888	4.6635	4.1803	3.9834	4.6894	4.3462	4.4072	4.6444	4.5724	4.9732	5.2908	5.1415	4.6033	4.5889	4.5943	4.5869	4.5627	4.7585	4.7975	4.5365	4.6698	4.7853	4.5994	4.5592	5.018	4.9463	5.0234	4.8141	4.3603	4.9032	4.7563	4.9171	4.4282	4.3705	4.628	5.0215	4.6102	4.8621	4.2449	4.76	4.5654	4.4825	4.8964	5.0704	4.6539	4.6343	4.8252	4.5506	4.9155	4.8503	5.2648	4.5212	5.1595	4.7149	4.2229	5.3222	4.9832	4.4537	4.2529	4.8446	4.6207	4.8783	4.2044	4.6253	4.6124	4.9521	5.2137	4.7011	4.7265	4.698	4.8174	4.5709	4.8352	4.9294	5.1548	5.1498	4.6192	4.7091	5.0053	5.1255
"ITPR1-AS1"	3.3403	3.6222	3.4183	3.9047	3.9056	3.8181	3.3055	3.9939	4.264	3.8715	3.8855	4.3305	3.8508	4.1411	3.5357	3.2856	2.4169	3.7866	3.4413	3.3649	3.6856	3.6265	4.2114	3.8492	3.3136	3.1391	3.2916	3.7698	4.1594	4.7336	4.0994	3.8678	3.3992	4.3334	3.867	4.4017	3.499	3.053	3.6528	3.4114	3.9863	3.3793	3.5337	3.6988	3.3026	3.9947	4.0766	4.2465	3.5446	3.8793	3.7644	3.6618	3.9821	4.0419	3.6717	4.6167	4.7903	4.5655	5.3593	2.9607	3.1742	3.3117	3.373	4.3245	4.0133	4.2929	3.5811	3.1682	3.6785	3.9502	3.6289	3.2035	3.6607	3.299	3.6881	4.3618	3.7828	3.1682	4.0719	4.1168	4.4021	4.1447	3.5965	3.6833	3.6058	4.2732	3.8423	4.1642	3.6833	3.2506	4.271	3.9692	3.391	3.4495	3.5035	3.215	3.7437	3.3124	3.0667	3.3536	3.5532	3.4411	3.868	3.7927	3.7343	3.1919	2.9929
"JAKMIP2-AS1"	3.1599	3.2198	3.149	2.8397	3.0523	3.1276	3.6854	3.4912	3.3899	3.0678	2.8777	3.1661	3.0675	2.9834	3.3088	3.1603	3.1308	3.0512	2.9306	3.2908	3.3523	3.5733	2.9888	3.2772	3.0549	3.0244	3.4764	3.5627	3.2113	3.2177	2.9702	2.3624	3.227	3.119	3.0711	3.0829	3.2841	3.3154	3.2178	3.3763	3.0658	3.3909	3.626	3.2763	3.5395	3.5961	3.3807	3.2205	3.1843	3.4439	3.1203	2.8795	3.3184	3.0483	3.7545	3.2264	3.3836	3.2853	3.0274	2.6572	3.0223	3.0507	3.03	3.4424	2.8952	3.3643	2.8097	3.6276	3.3407	3.2829	3.2662	3.4802	2.9048	3.3203	3.0828	3.4591	3.3551	3.8181	3.2981	3.2188	2.6494	3.1284	3.1648	3.2384	2.8513	2.4952	2.9838	3.0032	3.0288	3.6077	3.4894	3.5235	3.1491	3.2296	2.9783	2.8551	3.0131	2.9231	2.9651	3.095	2.8394	2.9373	2.8289	2.7922	2.9525	2.9021	2.9494
"JARID2-AS1"	3.4089	2.8064	3.3188	2.6727	2.9726	3.0077	3.6623	3.3426	3.2582	3.7048	3.5778	3.6484	3.3465	3.7097	3.5688	3.3867	3.3688	3.6994	3.4462	3.642	3.4782	3.5808	3.3143	3.8627	3.5866	3.9925	3.5848	3.406	3.575	3.7343	3.859	3.4262	3.8436	3.6033	3.3018	3.3823	3.2973	3.4892	3.8657	3.1551	3.4556	3.4825	3.4203	3.1111	3.5048	3.6958	3.3862	3.2324	3.6399	3.3825	3.7375	3.9247	3.9302	3.9704	3.7498	3.4178	3.6812	3.3982	3.9221	3.3727	3.6268	3.2972	3.8491	3.9763	3.1582	3.4965	3.617	3.4664	3.646	4.0582	3.3584	3.3265	3.1922	3.1002	2.9998	3.293	3.7016	3.6406	3.755	3.9984	3.3395	3.6804	3.7157	3.3757	3.2487	3.1965	3.3864	3.3481	3.2661	3.4697	3.1377	3.0617	3.3944	3.9739	3.8313	2.9965	3.0179	3.5461	3.2796	3.0775	3.3793	3.099	3.2308	2.923	3.1426	3.1497	3.1223
"JAZF1-AS1"	2.1306	2.1834	2.3156	2.1438	2.1794	2.3226	2.1724	2.1398	2.2689	2.2313	2.4365	2.1891	2.3553	2.2515	2.4286	1.8828	3.5313	2.3304	2.2341	1.9607	2.4322	2.3277	2.2188	2.5773	1.9877	1.875	2.5439	2.1199	2.242	2.4098	2.8884	2.4181	2.0765	2.1298	2.4572	2.1768	2.2071	2.2069	1.9162	2.1358	2.355	2.1728	2.1444	2.5485	2.1681	2.0756	2.1122	2.2385	2.054	1.9517	2.2943	2.6581	2.3749	1.9614	2.4439	2.6824	2.7293	2.3314	2.2697	1.8433	2.2473	2.6487	1.9232	2.6404	2.6405	2.2966	2.4686	2.3769	2.362	2.2639	2.1308	2.4641	2.1643	2.3245	2.0816	2.3318	2.1165	2.2832	1.8406	2.0209	2.3673	2.2994	2.0274	2.3091	2.2016	1.9959	1.9664	1.8044	2.2492	2.0355	2.3149	2.5957	1.9809	2.4074	2.3463	2.0916	1.8512	2.1208	2.0596	2.0479	2.3954	2.3884	1.9437	2.2521	2.3995	2.4694	2.0285
"JHDM1D-AS1"	6.8648	6.4968	6.3374	5.5625	5.3637	5.1319	5.5782	6.0571	5.691	6.2736	5.8941	5.3561	6.5148	6.2891	6.2148	5.7678	4.9355	6.0328	7.4383	7.0686	6.141	6.3891	6.0597	6.4628	6.4152	6.7273	7.0166	6.9426	6.5357	6.7359	6.1157	6.5564	7.5562	6.0773	6.2713	6.7286	6.7465	7.3906	8.1468	6.3073	5.8422	6.3039	8.0176	6.4641	7.036	7.9718	7.0186	7.1177	5.6501	5.7344	4.965	8.8529	7.1017	7.1059	5.929	6.2325	6.506	5.7603	6.005	5.8044	5.1559	5.4768	6.837	6.3339	6.7284	5.7972	5.547	6.4172	6.232	6.6188	7.2651	6.9172	6.6667	6.1286	5.8551	5.8104	7.1548	5.9803	7.4464	7.5407	6.7588	6.6262	6.389	6.5723	6.7632	5.1263	6.0053	6.1075	5.9477	6.6379	6.3929	5.8449	7.0253	7.3692	6.6494	5.8027	6.0179	6.0259	5.6251	5.4656	6.2752	6.051	5.7848	5.9547	5.614	6.3871	5.7218
"JMJD1C-AS1"	3.8366	3.2681	3.5632	3.4569	3.2755	3.0179	3.4515	3.3756	3.1618	4.1297	3.2427	3.372	3.5109	3.1793	3.6585	2.9567	3.6106	3.2193	3.484	3.7691	3.0946	3.6251	3.1356	3.2071	3.3432	3.5187	3.3077	3.5331	3.4066	3.4047	3.2559	3.5346	3.54	3.2303	3.6752	3.1127	3.3687	3.3076	3.6561	3.6978	3.4432	3.5376	3.6493	3.1721	3.5201	3.3534	3.3785	3.463	3.8758	3.423	3.4466	3.5479	3.9198	3.7831	4.3136	3.1967	3.7229	3.4124	3.6973	3.2526	3.2214	3.4437	3.8317	3.4626	3.3914	3.4592	3.7487	3.6011	3.3407	3.4041	3.5389	3.1296	3.2103	3.5435	3.8283	3.3207	3.6937	3.7029	3.7838	3.5709	3.2603	3.3965	3.3908	3.3183	3.2591	2.8448	3.2507	3.4898	3.4901	3.2397	3.4962	3.043	3.803	3.4882	3.2631	3.3211	3.0215	3.218	3.1358	3.1892	3.5845	3.0208	3.2167	3.0948	2.943	3.5771	3.1889
"JPX"	3.7841	3.7714	3.9381	4.8337	5.488	5.4729	3.746	4.9417	5.2851	3.8027	4.8644	4.1635	3.5461	4.0938	4.1308	4.0283	3.8875	4.7037	4.1671	3.4676	4.9477	4.0891	5.6361	4.611	4.7089	4.2301	5.0751	3.7759	4.1379	4.7553	4.1193	5.015	4.0323	5.3025	5.322	5.7997	4.6372	4.1496	4.4365	3.3804	3.9545	4.7812	3.1215	4.3147	4.2024	3.4519	3.6785	4.0397	4.5963	4.376	5.479	2.47	3.647	3.5999	4.3131	5.6057	5.1562	3.2097	4.0494	3.6287	4.945	3.5153	3.702	4.9604	4.4653	4.4807	5.3624	4.1155	3.946	3.528	3.8755	4.449	4.0734	3.7902	3.9759	4.3756	3.5202	4.4452	3.8516	3.0848	4.6026	4.0991	4.4418	4.6024	4.3408	5.9353	5.0348	4.4838	4.8697	4.5607	4.8464	4.028	4.9639	4.7131	4.5881	5.8831	5.1529	4.1693	4.6974	5.3807	4.8418	5.0235	4.7595	5.6045	4.4309	5.0642	4.6437
"KANK1"	5.0594	4.4194	4.8375	4.786	4.196	4.915	4.6092	5.1923	4.8381	5.2269	4.6985	5.0404	4.5456	4.8465	5.0901	4.5396	5.1141	4.7793	5.3048	5.0448	4.2074	4.8354	4.698	5.1702	5.0021	5.1084	4.9065	5.2158	5.1904	4.8662	4.8991	4.5999	5.2387	4.7284	4.6174	4.8078	4.7564	5.1095	5.1531	4.6955	5.0351	4.8264	5.0489	5.1397	4.9604	4.9749	4.6075	4.8153	4.8414	5.0076	4.592	5.3349	5.5685	5.1758	5.3233	4.5353	5.3472	5.3191	4.6032	4.6055	4.3711	4.5937	4.7938	4.9909	4.8734	4.3581	4.8383	4.9307	4.8716	4.9891	4.9195	4.8437	4.5466	4.798	4.7953	5.0987	5.0897	5.1167	4.9469	5.4402	4.6933	4.9393	5.095	5.4333	4.7312	4.3234	4.9121	4.9195	4.8912	4.7007	5.2092	4.844	5.2705	5.4238	5.4254	4.8719	4.7431	4.6973	4.4843	4.8526	4.8031	4.5042	4.9314	4.7329	4.4111	5.0048	4.9197
"KANSL1-AS1"	7.7509	7.5481	8.1283	7.8601	7.976	7.5396	7.045	6.954	6.992	6.1091	5.9361	6.0251	7.4359	7.5739	7.7008	5.4611	5.961	6.3728	8.2909	8.49	8.5398	5.4398	5.538	5.7405	4.4723	5.5288	5.2788	5.2252	5.6445	5.6634	5.7256	5.9771	5.5346	7.4694	7.5227	7.6155	5.9226	6.3021	5.724	7.6889	7.7815	8.4836	7.6062	7.6313	7.9336	7.1147	7.5311	7.9974	4.7782	5.2542	5.5025	5.6045	5.0375	5.7473	5.703	6.2062	7.5941	7.8167	8.3828	4.7774	5.3781	4.4818	7.5089	7.5601	8.3079	7.322	7.9079	5.0235	6.0993	5.7444	5.3378	5.4018	5.7488	6.1852	5.6661	5.7626	7.6109	7.5606	7.8179	8.2924	8.5293	8.122	6.6344	7.4863	7.7243	6.3213	6.6053	5.7054	5.2077	5.1581	5.277	7.0971	6.8499	5.6601	7.2669	5.3733	6.146	6.3827	7.584	7.6325	5.2903	5.5376	5.568	8.1031	6.3566	5.4764	6.3705
"KB-1000E4.2"	2.9176	2.5066	2.2585	2.407	2.1994	2.1079	2.6173	2.3245	2.338	2.2366	2.2324	2.165	2.1574	1.8832	2.0271	2.2017	2.3379	2.278	2.4344	2.7111	2.1191	2.3354	2.2363	1.9431	2.3109	2.2923	2.0727	2.5608	2.4624	2.2066	2.259	2.5826	2.1624	2.58	2.3321	1.9092	2.255	2.5486	2.6008	2.1601	2.2095	2.0072	2.5713	2.2124	2.0673	2.258	2.5018	2.177	2.1029	1.9892	2.2089	2.538	2.2305	2.4601	2.4582	2.251	2.2425	2.5142	2.1226	2.6638	2.0362	2.5508	2.4444	2.2184	2.0922	2.0001	2.2046	2.1549	1.9994	2.2541	2.3756	2.3508	2.3184	2.1853	2.3302	2.8516	2.2019	2.3535	2.4848	2.1174	2.1852	2.2561	2.1318	2.3369	2.0713	1.9614	2.1068	2.0623	2.4859	2.1764	2.1213	2.4581	2.0512	2.1977	2.6393	2.2624	2.0679	2.3663	2.0498	2.159	2.5973	2.5193	2.3244	2.1787	2.0151	2.1797	2.2068
"KB-1410C5.2"	2.3345	2.8219	2.4678	2.2971	2.4713	2.2471	2.6781	2.3787	2.7898	2.4972	2.5955	2.4164	2.735	2.2807	3.2405	2.3671	3.0271	2.338	2.8764	3.6841	2.5154	2.8212	2.3202	2.8786	2.5985	2.7083	2.1833	2.7734	2.289	2.6887	2.0001	2.4693	2.2366	2.3854	2.4871	2.5977	2.3462	2.9819	2.7422	2.2958	3.0856	2.4261	2.7628	2.6482	2.7158	2.8811	2.639	2.568	2.1261	2.7669	2.1718	3.0768	2.8489	3.0072	2.4081	2.0545	2.6376	2.9179	2.3778	2.5038	2.1435	2.1298	2.5728	2.4206	2.3411	2.3811	2.9659	2.9	2.6807	2.8004	2.4061	2.309	2.4506	2.2655	2.5511	2.6529	2.7711	2.4343	2.8726	2.6555	2.7006	2.4498	2.6553	2.5043	2.4141	2.1692	2.1507	2.381	2.4954	2.6253	3.0227	2.7698	2.9453	3.2611	3.4244	2.3824	2.2893	2.6566	2.2646	2.4682	2.4182	2.2221	2.3583	2.4966	2.3648	2.304	2.5683
"KB-1568E2.1"	2.1343	2.5868	2.9964	1.9692	2.4409	2.0011	2.0354	2.1435	2.2563	1.911	2.0192	1.848	2.1309	2.1336	2.1148	2.0851	1.9098	1.9796	2.1323	1.7806	2.1196	2.1777	2.0851	2.5721	2.0641	1.9841	2.1707	2.0114	1.858	1.9988	2.1321	2.4434	2.364	1.7686	2.2121	1.7848	1.9368	1.9636	2.0702	1.8174	2.6244	2.14	2.1405	2.0608	2.214	2.1036	2.0222	2.2014	2.0277	1.9144	2.0506	2.6202	2.5734	1.9196	2.1284	1.882	2.1289	2.1606	1.9863	2.0535	2.2786	2.1343	2.2426	2.1986	2.0096	2.2743	1.9657	2.3935	2.0614	1.9704	2.3756	2.2638	2.5898	2.0761	2.0926	2.4395	2.0868	1.9027	1.9155	1.8695	1.9655	2.0282	2.4202	2.0131	1.9023	1.7493	2.0101	1.9402	2.0902	1.9047	2.2456	2.3127	2.1134	2.3598	2.1582	1.9926	1.9113	2.1568	1.9671	1.863	2.1849	2.0147	1.9519	1.9977	1.8968	2.1773	1.9464
"KB-1836B5.1"	3.5224	3.3532	3.8089	3.5773	3.0101	3.3368	3.6112	3.579	3.8068	3.3151	3.1781	3.6635	3.7181	3.3358	3.4988	3.8186	3.5066	3.7669	3.6902	3.3356	3.592	3.9166	3.4409	4.1178	3.4986	3.592	3.7574	3.7449	3.5684	3.4289	3.4615	3.5355	3.9715	3.1759	3.451	3.1447	3.372	3.5878	3.6776	3.5134	3.7966	3.7646	3.3146	3.2714	3.2711	3.5023	3.39	3.5132	3.2465	3.7872	3.6745	3.9725	3.5562	3.4763	4.0657	3.5296	3.6124	3.565	3.2848	3.3872	3.3786	3.1534	3.5263	3.624	3.9024	3.3621	3.3063	3.3667	3.3312	3.8856	3.3672	3.2155	3.357	3.2409	3.6801	3.6811	3.8036	4.2023	3.6919	3.7852	3.5867	3.221	3.0156	3.3302	3.622	3.0684	3.3271	3.6809	3.27	4.0308	3.4494	3.559	3.2725	3.783	3.3452	3.529	3.2425	3.4542	3.4901	3.3578	3.467	3.6762	3.3872	3.4609	3.1705	3.4924	3.6135
"KB-431C1.4"	6.5492	6.6251	5.6295	7.2445	7.7634	7.3305	7.5435	8.1978	8.5246	6.9863	7.7958	7.4446	7.5884	7.6719	7.7738	6.9817	7.2433	7.9767	7.2021	7.0267	8.6103	7.1966	7.6637	7.6857	7.2741	6.9452	8.2188	5.7004	7.0616	7.5788	6.665	7.9986	6.6683	7.6227	7.1993	7.6893	7.268	6.8828	7.0816	7.1866	6.8879	7.2307	5.7669	6.6246	7.5117	6.3647	5.9859	6.8282	6.6185	7.9057	8.0119	5.8289	5.4336	6.203	7.3468	8.2285	7.2114	7.4572	7.8698	7.581	7.8545	7.2562	6.5113	6.879	6.1155	7.6048	7.4119	7.059	7.4636	7.3105	6.142	6.4618	6.5012	6.1889	5.3283	5.169	6.7955	6.9048	7.7926	4.5646	6.4311	6.0471	6.6416	6.8084	7.0608	7.5808	7.0636	7.0694	6.9776	6.2678	7.2804	7.0615	6.6641	6.7698	6.6402	6.8661	7.017	6.4453	6.4085	6.9412	7.6306	6.3369	6.6802	7.5164	7.0891	6.8049	6.849
"KB-431C1.5"	4.0988	4.5522	3.852	4.8707	5.0405	4.4718	4.9144	6.0474	5.6829	4.5339	5.4389	5.085	4.9005	5.3848	5.6528	4.9083	4.6389	5.1068	4.8369	5.1336	6.0185	4.7443	6.1979	5.7787	5.5159	5.2842	5.7458	3.9387	4.609	5.2382	5.2745	5.9154	4.4268	5.1673	5.3186	5.4397	4.4918	4.1864	4.2462	4.4028	4.9455	4.8599	3.1905	4.8755	4.7627	4.1749	3.9156	4.5414	4.8017	5.804	5.5249	4.6452	4.0885	4.7715	4.4578	5.4117	6.4374	5.808	5.5379	5.2518	5.2993	5.0622	5.0312	5.3684	4.5676	5.0677	5.1312	4.7253	5.0053	5.029	4.0679	3.4656	4.7556	4.6032	5.3479	5.405	4.6117	4.4601	4.6162	3.1305	3.671	3.8467	3.8019	4.367	4.5299	4.3656	4.2133	4.0662	4.3474	3.6315	4.9027	4.5039	4.1562	4.2295	4.2994	4.0424	4.6768	3.9478	4.3916	4.3467	4.9637	4.6488	4.6035	4.6215	4.104	4.3234	4.2332
"KCNIP2-AS1"	5.9281	5.7613	6.0873	6.0469	5.9768	5.9932	6.1432	5.8886	5.775	6.0315	5.7576	5.7035	5.7562	5.8778	5.8483	5.9215	5.7699	5.3569	6.1497	6.4814	6.0778	5.5272	5.691	5.8335	5.8997	5.9059	5.5573	5.4981	5.4542	5.4206	5.7991	5.7893	6.1049	5.41	5.4304	5.9316	5.9407	6.4702	6.214	5.6834	5.7837	5.5488	6.4351	5.7302	5.6329	5.7284	5.7584	5.5513	5.6631	5.4032	5.1972	5.6857	5.6764	5.6715	5.9862	5.4527	6.1928	6.0494	5.7083	5.3542	5.2362	5.1055	5.6886	5.6348	5.7498	5.5296	5.4594	5.9038	5.8177	5.9513	5.7889	5.613	5.543	5.8357	6.2251	5.6806	5.8174	5.9572	5.6888	6.1397	5.5439	5.7968	6.2263	5.8733	5.7535	4.9983	5.7991	6.0757	5.6509	6.1453	5.9389	5.8338	6.2999	6.0348	6.337	5.7171	5.8198	6.6321	5.9678	5.763	6.6076	6.1501	6.2031	5.8464	5.7241	6.8266	6.2366
"KCNJ2-AS1"	3.1474	3.3867	2.9343	2.5555	3.0823	3.1352	3.7063	3.6193	3.8085	3.9546	4.096	3.7511	4.3728	4.8837	4.4195	3.9035	4.6576	5.516	2.9982	2.5877	4.6614	4.3413	5.6077	4.8848	5.6622	4.9422	6.2486	2.7689	4.0792	4.5549	4.6751	6.4289	4.326	5.3737	4.7744	4.3575	2.4995	3.4497	3.4846	3.494	3.7571	4.7985	2.3645	3.9298	4.0972	3.1715	3.4527	4.431	4.4607	5.6877	6.056	3.6544	3.6618	2.997	3.9664	5.0053	3.7877	3.8309	4.4156	5.3794	4.5961	4.8463	3.6459	3.4988	3.2315	4.4395	4.4141	4.5409	4.4302	6.0393	2.7456	3.6865	3.6925	4.9725	4.0838	3.471	4.6866	4.1079	4.3483	2.4953	3.1871	3.1396	2.084	2.6664	2.8009	3.178	2.5447	2.6495	2.5538	2.4191	2.7694	2.4472	2.7037	2.1868	2.6046	2.7807	2.2831	2.3078	2.7806	2.6079	3.1084	2.5193	3.0203	3.9423	2.8935	3.2656	2.64
"KCNQ1-AS1"	2.9317	2.9383	2.681	2.8411	2.7947	2.5503	2.6375	2.9677	3.1057	2.9232	2.9613	2.6674	2.9504	2.5421	2.7627	2.6998	3.0032	2.482	3.1625	3.0665	2.6103	3.0683	2.7068	3.4131	2.7368	2.7661	2.5346	3.0394	2.7066	2.6433	2.5031	2.578	3.002	2.4034	2.7254	2.5392	2.6838	2.8787	3.0649	2.5598	2.8253	2.5448	2.7681	2.6371	2.9048	2.7507	3.1027	2.4721	2.2958	2.6547	2.6922	3.1069	2.6907	2.8893	2.881	2.7269	2.8431	2.8393	2.7901	2.6858	2.6103	2.5466	2.9236	2.8407	2.6858	2.3384	2.3864	2.931	2.7152	3.0879	3.3487	2.6806	2.7381	2.3015	3.0617	3.1289	2.4564	2.5636	2.5743	2.9185	2.876	2.2457	2.6768	2.6216	2.4534	2.6151	2.7055	2.7184	3.0697	3.0338	2.7873	2.8695	2.5982	2.7556	2.6732	2.4765	2.4988	2.7785	2.4799	2.6181	2.7639	2.6594	2.4775	2.433	2.6192	2.5742	2.6113
"KCNQ1DN"	4.9484	5.2821	5.2788	5.3888	4.6899	4.9092	4.4051	4.4932	4.4734	5.0434	4.5423	4.5756	4.8099	4.7461	4.814	4.8351	4.3827	4.4674	5.2701	5.3241	4.305	4.3475	3.7931	4.9066	4.7247	4.566	4.6429	4.8331	4.5534	4.2949	4.2692	4.798	4.9753	4.1395	4.514	4.2994	4.7338	5.3856	5.1746	4.437	4.5253	4.4562	5.0541	4.3896	4.5256	4.7355	4.3298	4.5033	4.1464	3.9149	4.0501	4.7836	5.0031	4.755	4.7171	4.1153	4.6936	4.6279	4.4776	4.7955	4.6848	4.67	5.0045	4.4984	4.855	4.8523	4.7069	4.7502	4.217	4.7979	4.765	4.8307	4.4632	4.8837	4.7248	4.5427	4.6641	4.7279	4.5601	4.9186	4.86	4.2423	4.5846	4.7089	4.0202	4.2934	4.827	4.588	4.7183	4.6568	4.3317	4.4202	4.9262	4.9169	5.2486	4.6771	4.5808	5.0049	4.4619	4.6857	4.7049	4.8828	4.7418	4.5386	4.8035	5.5918	5.6205
