"GSM648590"	"GSM648591"	"GSM648592"	"GSM648593"	"GSM648594"	"GSM648595"	"GSM648596"	"GSM648597"	"GSM648598"	"GSM648599"	"GSM648600"	"GSM648601"	"GSM648602"	"GSM648603"	"GSM648604"	"GSM648605"	"GSM648606"	"GSM648607"	"GSM648608"	"GSM648609"	"GSM648610"	"GSM648611"	"GSM648612"	"GSM648613"	"GSM648614"	"GSM648615"	"GSM648616"	"GSM648617"	"GSM648618"	"GSM648619"	"GSM648620"	"GSM648621"	"GSM648622"	"GSM648623"	"GSM648624"	"GSM648625"	"GSM648626"	"GSM648627"	"GSM648628"	"GSM648629"	"GSM648630"	"GSM648631"	"GSM648632"	"GSM648633"	"GSM648634"	"GSM648635"	"GSM648636"	"GSM648637"	"GSM648638"	"GSM648639"	"GSM648640"	"GSM648641"	"GSM648642"	"GSM648643"	"GSM648644"	"GSM648645"	"GSM648646"	"GSM648647"	"GSM648648"	"GSM648649"	"GSM648650"	"GSM648651"	"GSM648652"	"GSM648653"	"GSM648654"	"GSM648655"	"GSM648656"	"GSM648657"	"GSM648658"	"GSM648659"	"GSM648660"	"GSM648661"	"GSM648662"	"GSM648663"	"GSM648664"	"GSM648665"	"GSM648666"	"GSM648667"	"GSM648668"	"GSM648669"	"GSM648670"	"GSM648671"	"GSM648672"	"GSM648673"	"GSM648674"	"GSM648675"	"GSM648676"	"GSM648677"	"GSM648678"	"GSM648679"	"GSM648680"	"GSM648681"	"GSM648682"	"GSM648683"	"GSM648684"	"GSM648685"	"GSM648686"	"GSM648687"	"GSM648688"	"GSM648689"	"GSM648690"	"GSM648691"	"GSM648692"	"GSM648693"	"GSM648694"	"GSM648695"	"GSM648696"	"GSM648697"	"GSM648698"	"GSM648699"	"GSM648700"	"GSM648701"	"GSM648702"	"GSM648703"	"GSM648704"	"GSM648705"	"GSM648706"	"GSM648707"	"GSM648708"	"GSM648709"	"GSM648710"	"GSM648711"	"GSM648712"	"GSM648713"	"GSM648714"	"GSM648715"	"GSM648716"	"GSM648717"	"GSM648718"	"GSM648719"
"CTC-523E23.1"	4.2824	4.4037	4.8556	4.3315	5.214	4.224	4.3284	5.2362	5.0305	3.8167	3.845	4.0291	4.2784	3.7086	3.8195	3.7837	4.4638	3.7584	4.0902	3.6625	4.3323	4.2584	3.9749	4.4251	3.7533	4.5795	5.0394	4.2826	4.3784	4.2149	4.3451	5.0894	3.9026	4.3582	3.9958	3.9788	4.0019	3.6594	5.1049	3.9783	5.0691	5.2681	5.2195	3.8214	4.794	4.6377	3.6592	5.0493	4.6749	5.0127	4.6726	4.309	4.2388	3.5243	4.0256	4.1548	4.0139	3.3397	4.2122	4.2575	3.9203	4.3741	3.6732	3.8092	3.9911	3.9671	3.6043	4.0098	3.9071	3.9684	5.4785	4.9416	4.6138	4.6195	4.2343	4.3162	4.6814	3.5927	4.4317	5.2969	4.5584	4.7102	4.1458	5.1058	4.9384	4.4701	5.1435	4.2374	4.8272	5.2426	4.2565	5.6871	4.1074	4.6337	4.1746	5.4488	5.4198	4.5547	4.7784	4.7198	4.7136	5.2477	5.401	4.9198	5.275	4.4163	4.4225	4.8138	4.2432	4.9699	4.8568	4.7972	3.6858	5.1898	4.2126	3.6936	3.9057	6.0222	4.2709	4.7147	4.1605	4.6735	4.0065	3.7699	3.662	3.6573	4.004	4.1486	3.8561	3.9403
"CTC-527H23.4"	6.2397	5.187	5.8173	5.9203	5.3932	5.9065	6.0837	5.9283	5.9372	6.0774	6.2503	5.7262	5.7793	5.8187	5.935	6.8415	5.8881	5.8581	5.9296	5.9645	6.2076	5.6604	5.9051	6.1837	6.6835	6.5548	5.9176	6.0157	5.8997	5.7593	6.2056	5.8796	5.8539	5.5997	5.6935	6.3392	6.1214	5.7375	5.676	5.4518	5.9617	5.2702	5.6578	5.7593	5.9608	5.9746	5.7067	5.9395	5.3238	5.7368	5.4462	5.6971	5.9915	7.3566	5.5986	6.6756	5.9628	6.0753	5.7865	6.1762	5.8575	5.6242	5.7493	5.8315	5.7956	5.7023	6.9778	5.4612	5.736	6.0629	5.6668	5.5972	5.8712	5.7946	5.4411	5.6926	5.2639	6.2108	5.8532	5.5458	5.9993	5.8909	5.6804	5.7047	5.7993	5.8172	5.6455	6.2176	6.1027	5.8657	5.8054	5.7994	7.4199	6.3677	6.2649	5.8349	5.7902	5.756	5.0673	5.6515	5.1267	5.5362	6.0333	5.8598	5.7799	6.6472	6.7013	5.7263	6.8741	5.6639	5.6221	6.2041	5.9063	5.9004	6.8273	5.7035	7.526	5.6743	6.3606	6.5447	5.8459	5.7575	5.9226	5.9344	6.6222	5.8311	5.3114	6.4654	6.2833	5.5352
"CTC-550B14.7"	5.78	5.0159	5.0378	5.2163	4.766	4.9962	4.9162	5.0978	5.1985	4.7523	4.8012	4.676	4.7975	4.7769	4.6407	5.0879	4.8845	4.647	4.7677	4.9377	4.583	5.1153	4.8521	4.8794	4.991	5.1516	5.2146	5.3312	4.3721	5.3082	4.6487	5.0581	4.7186	4.3335	4.6407	4.917	4.9363	4.7494	4.5692	4.4418	4.9058	4.7447	4.5984	4.7937	4.8611	5.171	5.2048	5.2599	4.8714	4.9512	4.794	4.9171	5.0435	5.3322	5.089	5.2277	5.0029	4.9109	4.7762	4.7007	4.7483	5.0165	5.1454	5.0523	5.0293	5.194	5.0995	5.1851	5.1277	4.7364	4.9644	4.9675	5.1225	4.9433	5.2435	5.3082	4.6454	4.4139	5.4222	4.839	5.2167	5.2246	5.3937	5.1149	4.4465	5.1308	5.0644	5.6063	5.0474	5.5275	5.0155	4.9701	6.0782	5.4618	4.8503	5.1249	5.059	4.9585	4.5042	4.9292	4.669	4.9008	4.8785	4.7747	4.9508	5.5138	4.9454	5.637	4.8028	5.0009	5.2937	5.0335	5.2197	4.8914	5.1353	5.0052	5.2487	5.0258	4.9753	4.5795	4.8353	4.4036	4.7513	4.6862	4.7841	5.8814	4.7827	4.9843	5.5249	4.7697
"CTD-2002J20.1"	3.5097	3.5625	3.3319	3.3714	3.4151	3.3367	3.3934	3.517	3.3981	3.4036	3.317	3.614	3.7349	3.5175	3.5503	3.2598	3.2612	3.5664	3.5276	3.7131	3.6317	3.5724	3.5459	3.2263	3.4578	3.6095	3.5768	3.6125	3.3636	3.6252	3.2131	3.4714	3.5395	3.2627	3.5668	3.4704	3.3509	3.3482	3.3486	3.3113	3.7214	3.6254	3.7392	3.3137	3.314	3.1705	3.4757	3.4882	3.7354	3.3361	3.4731	3.5581	3.2272	3.6611	3.2676	3.9525	2.8773	3.4976	3.4711	3.688	3.2869	3.6733	3.2848	3.3604	3.5804	3.3572	3.5558	3.3325	3.3096	3.4311	3.398	3.292	3.7742	3.8661	3.6247	3.3577	3.6196	3.2754	3.3756	3.5545	3.4234	3.4662	3.464	3.4186	3.7059	3.4887	3.1077	3.5139	3.3593	3.2491	3.4308	3.6013	3.348	3.8687	3.6461	3.5091	3.8499	3.3533	3.4695	3.7676	3.8716	3.7508	3.7974	3.8783	3.6896	3.2612	3.5341	3.4748	3.4018	3.3487	3.0797	3.4208	3.3776	3.4285	3.4396	3.2199	4.0238	3.4299	3.5964	3.5217	3.394	3.3575	3.413	3.604	3.4716	3.4099	3.4456	3.6147	3.8424	3.2894
"CTD-2008P7.1"	6.7121	6.207	6.6532	6.8077	6.4476	6.6494	6.9641	6.5888	6.7579	6.826	7.0909	6.7637	6.6674	6.6954	6.6676	7.2413	7.1	6.6537	6.6706	6.692	7.1328	6.706	6.7404	7.0031	7.0111	7.0815	7.0348	7.0865	6.4204	6.4446	6.75	6.5199	6.636	6.5764	6.7576	6.8503	6.69	6.5312	6.3649	6.5134	6.5387	6.6289	6.4976	6.4806	6.7727	6.3723	6.461	6.9169	6.3344	6.6608	6.4734	6.911	6.746	7.1447	6.3544	6.824	6.8412	6.3944	6.0232	6.5731	6.5404	6.4739	6.4666	6.5266	6.5602	6.5688	7.006	6.3725	6.3556	6.5	6.5145	6.5842	6.6964	6.6803	6.6057	6.7597	6.3921	6.5943	6.3732	6.157	6.7211	6.3756	6.3969	6.2829	6.5888	6.7146	6.612	6.6117	6.7434	6.1842	6.4804	6.7701	7.4344	6.8851	6.9719	7.2112	6.6572	6.5423	6.7631	6.3281	6.5735	6.4055	6.7284	6.5439	6.6688	7.0265	7.1986	6.7924	6.8178	6.3473	6.4331	6.4017	6.5312	6.6844	7.148	6.542	7.2273	6.5052	6.768	7.025	6.5842	6.4642	6.5934	6.6586	7.0739	6.5624	6.3555	6.849	6.9165	6.2062
"CTD-2012K14.6"	5.0095	4.3951	4.837	5.2263	5.1199	5.1699	5.3734	4.9552	5.2244	4.8774	5.146	5.0437	4.5341	4.8216	4.6528	4.9177	4.7776	4.9442	4.7969	4.6412	4.9407	4.8056	5.175	4.7613	5.0384	5.3285	5.1835	4.8137	4.3282	4.3614	4.8781	4.5187	4.427	4.8009	5.0784	4.9988	5.2156	4.3476	4.3479	4.3912	4.5007	4.7549	4.4371	4.7293	5.2595	5.234	4.7265	5.4602	4.3698	4.8983	4.4847	4.5817	5.2284	5.9989	4.7632	5.2083	4.7557	5.1653	4.6562	4.8225	4.9694	4.6426	4.6067	5.055	4.7934	4.495	5.7973	4.8517	4.3698	4.5857	4.6306	4.7681	4.7084	4.8034	4.5413	4.6078	4.3535	5.3056	4.3186	4.3319	5.2741	4.4906	4.9415	4.3321	5.0676	4.8173	5.0424	4.791	5.3129	4.7356	4.8987	5.0553	5.4966	4.3913	4.7499	4.962	4.2359	4.5409	4.6885	4.6469	4.7293	4.4393	4.4651	4.6457	4.4036	5.2477	4.7129	4.6994	5.1954	4.7675	4.7814	4.8996	4.665	4.5581	5.8316	4.9084	5.2756	4.3659	5.0836	4.9001	4.3486	4.1501	4.387	4.589	5.186	5.1335	4.5543	4.6644	5.0192	4.6452
"CTD-2021H9.3"	4.4641	3.3171	3.4981	3.6769	3.4216	3.6968	4.1463	3.5643	3.5457	3.4055	3.657	3.3366	3.4287	3.1909	3.3391	3.4114	3.4067	3.1025	3.1456	3.344	3.4544	3.2853	3.2966	3.3733	3.6282	3.3087	3.3671	3.4306	2.988	3.6243	3.0907	3.273	3.1787	3.2258	3.2187	3.4155	3.2432	3.2364	2.9315	3.4287	3.3131	3.1031	3.2678	3.6567	3.506	3.5755	3.557	3.3451	3.5745	2.9619	3.4103	3.017	4.2819	4.4138	3.7746	3.6119	3.3943	3.9364	3.4729	3.8001	3.5473	3.4016	3.5279	3.5089	3.2654	3.8804	3.9232	3.5694	3.56	3.907	3.3366	3.0696	3.1395	3.6513	3.3817	3.4512	2.8073	3.9962	3.7847	3.3944	4.4669	3.3325	3.8312	3.3758	3.5589	3.5836	3.8603	3.7644	3.7905	3.8732	3.4666	3.7506	4.1088	3.5721	3.3909	3.4096	3.2456	3.3625	3.6752	3.5344	3.0343	3.2463	3.1645	2.9419	3.3275	3.6471	3.5068	3.2015	3.2761	3.2369	3.757	3.9083	3.9163	3.6312	4.3102	3.4932	3.9164	3.0521	3.3127	3.186	3.0902	3.3415	3.4997	3.4145	3.4373	3.9304	3.2325	3.5786	3.5698	3.9068
"CTD-2033C11.1"	4.9372	5.2787	4.0388	5.2074	4.5925	4.1782	4.8635	4.6798	4.975	4.8743	4.7443	4.787	4.7564	5.0266	4.5843	4.5752	4.7354	5.4263	4.9205	5.073	5.0251	4.5042	4.6468	4.2422	4.6714	4.8245	4.0552	4.4541	4.6454	4.6925	4.9475	4.9499	4.6067	4.421	4.7682	4.8275	4.3759	4.5418	4.4256	4.8103	4.7312	4.5954	4.1098	4.3712	4.8444	4.8922	4.7106	4.7926	4.6574	4.4585	4.3397	4.4484	4.4807	4.7629	4.404	4.8471	5.0166	4.605	4.386	4.3333	3.9044	5.1465	4.5642	5.5284	4.4494	5.0376	4.6646	4.6426	5.3746	4.7872	4.6354	3.965	4.5384	4.233	4.7032	5.1499	5.1687	4.8318	4.4046	4.5223	4.926	4.276	4.5221	4.337	4.3367	4.4279	4.7313	5.237	4.834	4.1324	4.9945	4.0839	5.2207	4.5588	4.7963	4.4876	4.0766	4.3537	4.4655	4.0882	5.1479	4.3845	4.8108	4.3499	4.1396	4.8242	4.7379	4.8246	4.2418	4.8098	4.5985	4.6487	5.1032	4.7228	4.5047	4.8881	5.237	4.6706	4.6107	4.6532	4.6492	5.3948	5.1562	4.7781	4.5745	4.3426	4.648	4.2555	4.5205	5.1145
"CTD-2035E11.5"	3.1643	4.5873	2.9438	3.0866	3.3335	3.3828	3.1767	2.8012	3.236	3.6269	3.2923	3.0876	3.1148	3.5724	3.4994	3.4283	3.1256	4.5717	4.0139	3.5741	3.6685	3.3423	3.4592	3.5053	3.0039	2.8733	3.3075	2.8171	3.1091	3.1868	3.4906	4.2305	3.8927	2.9338	4.1335	2.9854	2.8538	3.2428	3.4285	3.9359	3.8272	3.8793	3.8308	3.346	3.1807	3.5099	3.5395	3.5941	4.0093	3.659	3.7439	3.5246	2.9815	3.0058	3.2201	3.0801	3.2034	2.8825	3.1872	3.0175	2.5977	3.0109	3.1729	3.6356	3.1109	3.2081	2.9666	2.7516	3.6333	2.9775	3.0082	3.4367	3.2266	3.5976	4.705	4.3904	3.3987	2.8951	3.1661	3.4231	3.2891	3.4964	3.214	3.3757	3.2341	3.2009	3.0154	3.0457	3.1631	3.3181	3.2862	3.5506	3.0887	3.2371	3.33	3.3622	3.6748	3.5986	3.1139	3.7096	3.9661	3.8449	3.7979	3.6123	3.648	2.8272	2.7993	3.4324	2.8233	3.2938	3.1986	2.8964	4.0973	3.32	3.1607	3.1248	3.14	2.8988	3.3085	2.8021	3.3304	3.3687	3.5004	3.5224	3.2619	2.6135	3.3169	3.1332	2.8412	3.3784
"CTD-2076M15.1"	3.0356	2.8677	4.1034	3.7252	3.1389	2.9589	3.5866	3.206	3.2485	2.8139	2.8346	2.6864	2.7583	2.6434	2.784	2.9096	2.8008	2.6228	2.7687	2.5741	3.3068	2.8749	2.9323	3.1071	2.7723	2.8746	3.4974	3.5495	2.4964	2.4761	2.7343	2.9479	3.0021	3.032	2.8045	2.6708	2.7078	2.578	2.5127	2.6083	2.8095	2.6454	2.741	2.7038	3.3393	2.9007	2.8946	3.0629	2.7096	2.7951	3.0507	2.9135	3.3407	3.294	2.7321	3.3353	2.859	3.1933	3.0355	2.9289	2.9027	3.2422	2.662	2.495	2.9893	2.958	2.8807	3.0067	2.7043	2.9785	3.1062	3.0242	3.3104	3.3795	3.132	3.0897	3.1087	2.6339	2.7045	2.9272	2.8196	2.9499	2.8794	3.0002	3.1887	2.8199	3.1847	2.7863	2.8204	2.8529	2.9746	2.9562	3.4689	4.1678	3.2908	3.7015	3.0005	2.8008	3.8649	2.6553	2.7682	2.5363	2.6554	2.6083	2.6953	2.8065	3.1121	3.0026	2.7383	3.0345	3.2484	3.1733	3.0228	3.2954	2.8617	3.0052	2.9893	2.9068	3.0968	3.5751	2.7793	2.8059	2.6173	2.6365	2.8134	2.691	2.7192	2.7442	2.9352	2.9421
"CTD-2083E4.4"	4.0333	3.5335	3.877	3.902	3.7367	3.5616	3.6113	3.6932	3.5403	3.4681	3.7415	3.6231	3.4337	3.5572	3.6932	3.7838	3.5954	3.2548	3.4029	3.7125	3.3404	3.5211	3.6567	3.3402	3.6901	3.6497	3.5829	3.5293	3.3337	3.3579	3.3164	3.3518	3.4349	3.9157	3.5372	3.5671	3.5714	3.6251	3.8075	3.5071	3.4947	3.7382	3.5155	3.5545	3.6313	4.2182	3.6182	3.5368	3.6844	3.6489	4.1825	3.4899	3.9403	3.8796	3.9742	4.1002	4.0384	4.5484	3.853	3.7374	3.7502	3.3807	3.683	3.6273	3.8971	3.9177	3.7657	3.7581	3.7367	3.912	3.8587	3.6179	4.0092	3.389	3.938	4.191	3.5771	4.0406	4.2312	3.5147	3.4508	3.4621	3.5959	3.6096	3.8215	3.6323	3.6384	3.4862	3.3484	3.6853	3.4933	3.729	3.94	3.5864	3.752	3.7807	3.3837	3.3485	3.6134	3.6989	3.2266	3.479	3.5038	3.5917	3.5678	3.6444	3.4003	3.4043	3.487	3.9051	3.7671	3.5477	3.7951	3.7186	3.755	3.6553	4.1201	3.4163	4.0629	3.5516	3.7451	3.4519	3.5712	3.4623	3.5532	4.0214	3.4781	3.4555	3.7289	3.6034
"CTD-2083E4.7"	5.4997	4.8773	5.2394	5.2049	5.0579	5.3687	5.8049	4.7701	4.7912	4.4647	4.7902	4.8392	4.7261	4.7181	4.5433	5.3356	4.5643	4.7331	4.2985	4.7068	4.6609	4.5534	4.8313	4.6684	4.7919	4.9615	4.6028	4.6482	4.3927	4.7525	4.9878	4.6532	4.6082	4.791	4.6248	4.8765	4.8743	4.5931	4.5315	4.5673	4.6442	4.2791	4.2579	4.9673	4.9188	5.3945	4.9487	5.3452	4.9512	4.5733	4.7084	4.6818	5.5684	6.3519	4.9247	6.0361	4.6117	5.3365	4.8768	5.4047	5.5644	4.1007	4.7233	4.697	4.6444	4.846	6.2406	4.903	4.644	5.115	4.8801	4.3125	4.5109	4.7374	4.8942	4.1855	4.1966	5.6385	5.4465	4.9279	5.3783	5.198	5.3984	4.8595	4.994	4.6444	5.6137	5.9628	6.0718	5.6395	5.2632	5.3154	5.2844	4.3852	4.4269	4.6258	4.7165	4.4973	5.2672	4.8518	4.42	4.6205	4.6843	4.1911	4.1516	5.8158	4.7534	4.141	4.9544	5.4297	5.0476	5.4641	5.1326	5.3899	6.0411	5.3808	5.4872	4.5385	5.0196	4.7902	4.8138	4.6289	4.938	4.6788	5.0275	5.7848	4.612	4.7689	5.8406	4.6159
"CTD-2118P12.1"	3.2065	3.3889	3.0798	3.4365	3.2847	3.3338	3.5806	3.1984	3.3763	3.5266	3.223	3.2557	3.513	3.3278	3.1466	3.746	3.3333	3.2946	3.41	3.2824	3.4408	3.061	3.3398	3.4052	3.6666	3.6165	3.2096	3.3281	3.3808	3.3019	3.6501	3.3229	3.3409	3.2417	3.3198	3.2432	3.481	3.3377	3.2172	3.3598	3.333	3.0768	3.0393	3.132	3.4928	3.1096	3.4643	3.2855	3.4659	3.1812	3.1166	3.0048	3.3892	3.5853	3.1808	3.7266	3.3163	3.7103	3.3449	3.5288	3.3335	3.3045	3.346	3.5603	3.2761	3.2389	3.3002	3.0398	3.6086	3.0786	3.1441	3.2687	3.3669	3.3689	3.161	3.1805	3.1419	3.4573	3.445	3.3295	2.9619	3.1821	3.306	3.0383	3.4014	3.2606	3.1535	3.33	3.4763	3.1812	3.5266	3.3294	3.4153	3.1752	3.2728	3.3995	3.2298	3.2181	3.3639	3.3001	3.361	3.148	3.0409	2.9348	3.1909	3.7583	3.805	3.2287	3.5288	3.3625	3.183	3.2925	3.27	3.3537	3.8082	3.6172	3.7513	3.6722	3.5365	3.6541	3.4574	3.2963	3.3352	3.2432	3.3979	3.7475	3.1241	3.1739	3.9281	3.4779
"CTD-2130O13.1"	5.3514	4.9111	5.2269	5.525	5.3807	5.3878	5.5949	5.3946	5.2101	5.1119	5.3951	5.3042	5.0114	4.9785	5.0537	5.3554	4.9451	4.9787	5.1052	5.1035	5.4057	5.2809	5.1292	5.088	5.4015	5.1647	5.3214	5.1299	5.1235	5.205	5.3523	5.1248	5.5316	5.1913	5.1491	5.1845	5.0015	5.1266	4.7994	4.9492	5.303	5.0364	5.412	5.1276	5.7406	5.211	5.637	5.5041	5.0961	5.2439	5.2747	5.1424	5.162	5.9146	5.0155	5.7119	5.2372	5.5326	5.3534	5.2072	5.1396	5.1781	5.2771	5.2064	5.1683	5.2565	5.0651	5.5062	5.4767	5.5286	5.2684	5.0445	5.2768	5.3744	4.8323	5.3273	5.0343	5.2295	5.2817	5.0836	5.2288	5.3595	5.0482	4.8427	5.1197	5.2429	5.2003	5.8543	5.673	5.1447	5.3688	5.0993	5.1512	4.9702	5.2983	5.0451	4.7955	5.4152	5.0153	5.4812	5.2374	5.0065	4.9357	5.1358	5.0337	5.103	5.4809	4.9464	5.4305	4.9778	5.9095	5.2319	5.4936	5.2576	5.2576	5.1362	5.4404	5.2449	5.4661	5.2598	5.1209	5.0827	4.9175	5.201	5.2934	5.0434	5.1777	5.4411	5.1885	5.2651
"CTD-2194D22.4"	4.3211	2.8771	3.3935	2.8758	2.7575	2.9805	3.1936	2.9725	3.2312	3.089	3.0364	3.0652	3.0925	2.7201	3.2584	3.2119	3.1272	2.9032	2.7776	2.9788	3.7775	3.0062	3.0374	3.1284	3.3814	2.8086	3.6175	3.5826	2.868	3.0234	3.0615	2.9492	2.9131	2.934	2.8282	2.927	3.0014	2.8023	2.8451	2.8698	2.859	2.9613	2.9535	3.0338	3.2895	3.0554	2.9927	3.1205	2.8467	3.2851	3.018	2.7017	3.245	3.1287	2.8297	3.7262	2.9768	3.1416	2.7749	2.9669	2.9935	2.9571	2.6873	2.7834	2.5742	2.9906	2.9505	2.9701	2.9346	2.8962	3.0467	2.8753	3.2237	3.3656	3.132	2.924	2.8154	3.0229	3.1626	2.7095	3.3405	2.9788	2.9508	3.0346	3.0872	2.9254	3.1205	3.0269	2.9032	3.0046	2.9413	3.0741	3.2258	3.2088	3.1623	3.3724	2.7643	3.1659	3.0568	2.7709	3.0547	2.6234	3.0665	2.8192	2.9905	3.1165	3.2478	3.1548	3.0211	2.8408	2.7509	2.7646	2.9934	2.8641	3.0798	2.8728	2.9447	2.7805	3.0038	3.2337	2.8113	2.6207	2.9503	3.0013	3.2795	3.0012	2.7429	2.9821	3.4288	3.0009
"CTD-2196E14.6"	3.0443	2.6516	2.8202	2.67	2.6519	2.9353	2.8332	2.6935	2.6725	2.5473	2.4279	2.5882	2.6234	2.6442	2.7445	2.9568	2.7223	2.5878	2.615	2.8365	2.8578	2.7456	2.6691	2.7315	2.7171	2.9149	2.7671	2.9053	2.6093	2.8014	2.6826	2.7687	2.6376	2.5656	2.7044	2.7914	2.7253	2.414	2.7331	2.7274	2.8437	2.6257	2.7502	2.8255	2.7691	2.9389	2.6713	2.6454	2.9741	2.6373	3.0101	3.1141	2.7694	2.9698	2.735	2.9049	2.6783	2.9212	2.8238	2.9617	3.0538	2.6913	2.658	2.7807	2.6728	2.7162	2.791	2.6075	2.8442	2.9064	2.8592	2.8935	3.0225	3.183	2.7932	2.9267	2.7602	2.698	2.8301	2.5364	2.8315	2.7666	2.9829	2.9017	2.9175	2.7395	3.2056	2.6241	2.7437	2.5667	3.1321	2.8597	2.6919	2.7807	2.6479	2.8047	2.6267	3.014	3.0353	2.8418	2.6785	2.71	2.8608	2.9223	2.964	2.6848	2.9783	2.6251	2.69	2.5161	2.5794	2.7412	2.764	2.9838	3.5148	2.9152	3.3176	2.3481	2.6825	2.82	2.5872	2.5806	2.7093	2.6343	2.7534	2.8416	2.5292	2.9005	2.5408	2.7998
"CTD-2199O4.3///CTD-2199O4.7"	5.1057	4.2294	4.5727	5.0168	4.5979	4.674	4.6251	4.6157	4.5453	4.4825	4.8459	4.2206	4.2795	4.3348	4.6428	4.7792	4.9197	4.2237	4.6227	4.3342	4.783	4.6734	4.6552	4.2989	4.8459	4.6986	4.7973	4.705	4.1587	4.2234	4.6018	4.3814	4.4294	4.3107	4.6331	4.3944	4.5218	4.5224	4.428	4.2609	4.7022	4.5842	4.3609	4.607	4.507	4.8677	4.59	4.6957	4.5066	4.7524	4.9395	4.4013	4.8041	4.8306	4.6317	4.882	4.5517	4.4782	4.4854	4.7285	4.5765	4.2211	4.6637	4.8472	4.2966	4.6596	4.5676	4.6915	4.5876	4.3646	4.5447	4.1915	4.4699	4.4874	4.2773	4.5299	4.1768	4.967	4.6239	4.562	4.5501	4.6098	4.8045	4.6079	4.584	5.0859	4.7307	4.8985	5.0457	4.2675	4.626	4.5443	5.2268	4.5731	4.7933	4.7693	4.4985	4.0771	4.4397	4.7608	4.5201	4.3382	4.5129	4.5466	4.3278	4.5502	4.6429	4.549	4.815	4.5365	4.5123	4.7419	4.7678	4.9134	4.6568	4.6581	4.7875	4.8442	4.4838	4.6583	4.2743	4.5171	4.7852	4.1832	4.5538	4.5791	4.4154	4.5164	5.1024	4.1626
"CTD-2251F13.1"	4.6216	3.6737	3.9771	4.2464	4.2432	3.8773	3.7802	4.044	4.1832	3.7789	4.086	3.7057	3.6901	3.8805	3.5574	3.5179	3.7794	3.6576	3.6447	3.3397	4.0341	3.4205	3.7308	3.5066	3.3064	3.9253	3.7352	4.3743	3.6088	3.6139	3.672	4.0052	3.9724	3.8102	3.8695	3.4064	3.7284	3.5883	3.7794	3.7769	3.2461	3.2261	3.5912	3.7204	3.7798	4.6844	3.606	3.764	3.825	3.8772	4.0575	3.7118	3.7863	3.7154	4.0451	3.9133	3.1592	4.0311	3.7882	3.9861	3.855	4.0428	3.8858	3.6309	3.751	3.9302	4.1901	4.2567	3.9863	4.1734	4.1464	3.7181	3.8194	3.4787	3.4453	3.8798	3.8167	3.9041	3.9044	3.5847	4.3065	4.116	3.6707	3.3196	3.8746	3.5534	3.777	4.6188	3.4493	3.851	4.1464	3.9687	4.0992	4.3363	4.1557	4.1934	3.7028	3.8721	4.4429	3.7994	3.6451	3.3555	3.077	3.3973	3.3735	3.8144	3.8424	3.9911	3.4151	3.7173	3.8233	3.9701	4.1333	4.1492	3.8318	4.2189	3.7656	3.7357	3.5017	3.9415	3.5659	3.7396	3.8019	3.7105	3.6371	3.8141	3.7388	3.6081	3.919	3.8392
"CTD-2256P15.2"	5.1727	5.3934	5.3493	5.8371	5.5648	5.5955	5.2292	5.5702	5.7242	5.4029	5.8087	5.4126	5.4376	4.9637	5.4753	5.7003	5.2601	5.289	5.4134	5.3752	5.1457	5.2911	5.3027	5.3218	5.0968	5.827	5.5354	5.2197	5.36	5.3722	5.533	5.6507	5.5923	5.3598	5.5403	5.4493	5.3611	5.2648	5.4508	5.6204	5.1189	4.9258	4.7378	5.5504	5.7362	5.5189	5.6793	5.9216	5.1483	5.3733	4.908	5.4485	5.5557	6.3102	5.4853	5.8518	5.8959	5.5349	5.3554	5.8443	5.4391	5.2429	5.6243	5.6887	5.4219	5.4999	6.2745	5.4172	5.7328	5.7254	5.1508	4.848	5.6841	5.1368	5.3118	5.2864	5.2427	5.7665	5.3286	5.0033	6.1288	5.0539	5.087	5.282	4.7992	5.6031	5.5366	5.6553	5.8614	5.453	5.7135	5.252	6.037	5.3745	5.4183	5.3757	5.1203	5.2499	5.4485	5.1667	5.4077	5.0211	4.983	5.2616	4.7766	5.9686	5.7335	5.2305	5.7	5.5027	5.3405	5.7921	5.4712	5.8551	6.3222	5.915	6.1827	5.1355	5.7341	5.3262	5.1861	5.1581	5.2472	5.257	5.7286	5.9294	5.0318	5.33	5.298	5.1574
