"ID" "GSM244467"	"GSM244468"	"GSM244469"	"GSM244470"	"GSM244471"	"GSM244472"	"GSM244473"	"GSM244474"	"GSM244475"	"GSM244476"	"GSM244477"	"GSM244478"	"GSM244479"	"GSM244480"	"GSM244481"	"GSM244482"	"GSM244483"	"GSM244484"	"GSM244485"	"GSM244486"	"GSM244487"	"GSM244488"	"GSM244489"	"GSM244490"	"GSM244491"	"GSM244492"	"GSM244493"	"GSM244494"	"GSM244495"	"GSM244496"	"GSM244497"	"GSM244498"	"GSM244499"	"GSM244500"	"GSM244501"	"GSM244502"	"GSM244503"	"GSM244504"	"GSM244505"	"GSM244506"	"GSM244507"	"GSM244508"	"GSM244509"	"GSM244510"	"GSM244511"
"CTB-78F1.1"	1.1649	1.0226	1.1182	1.0054	0.8789	1.0028	1.2123	0.9618	0.8886	1.149	1.2552	1.5824	1.4406	1.5107	1.1542	1.2669	1.18	1.071	1.68	1.1737	1.1002	0.921	0.8735	0.7628	0.8266	1.1426	0.831	0.7457	1.4354	1.1816	1.0482	0.9138	0.9877	1.1499	1.0188	1.1778	1.0741	0.8301	1.3482	0.9533	1.3001	1.5671	1.1153	1	1.0508
"CTB-92J24.2"	1.0006	0.922	0.7842	1.002	0.7552	0.9322	0.9532	1.0166	1.3069	0.9128	1.8632	0.8069	0.8385	0.9618	0.7822	0.7648	1.2055	1.0908	1.1351	0.9764	0.8887	0.8305	1	0.9714	0.6978	0.87	1.3654	0.9318	0.9325	1.018	1.2118	1.2802	1.0232	0.9442	0.8579	0.9228	1.6786	0.9803	1.011	0.8966	1.0375	0.8775	1.1715	1.0546	1.0743
"CTBP1-AS2"	1.2679	1.1936	0.8825	1.1054	1.2277	1.1833	0.9631	0.9437	1.2553	1.0032	1.8988	0.8834	1.0575	1.0431	0.9941	0.9437	1.2309	0.9088	1.0383	0.9173	1.1484	1.1644	0.9934	0.8852	1.0176	0.8657	1.2393	0.9507	1.2339	1.2954	1.4734	1.2155	2.3382	0.9377	1.4413	1.3196	1.1607	1.2457	1.0033	1.2583	0.9644	1.2173	1.0702	1.1511	1.367
"CTC-203F4.2///H2AFY"	1.0359	1.2816	1.0543	1.0093	1.281	1.0891	1.016	1.0496	1.0093	1.2242	1.1909	1.4246	1.4452	1.0177	0.9827	1.3868	1.3104	1.3396	1.2136	1.0145	1.0807	1.0441	0.9206	0.9699	0.9667	0.8771	1.0394	0.9632	1.1407	1.1881	0.8685	1.0367	2.5392	1.123	1.079	1.3373	1.1571	1.1874	1.082	0.9526	1	0.9967	1.0089	1.3243	0.8073
"CTC-338M12.4"	0.8285	0.6736	0.7586	1.0086	0.9621	1.0625	1.5205	1.0836	1.081	0.7736	1.5229	0.9009	0.7242	0.9416	0.8969	0.7409	1.0085	0.9262	1.2836	1.5874	1.1967	0.7724	1.1425	1.0751	0.7533	1	0.9531	1.0842	0.667	0.7973	0.9517	0.9347	0.7751	1.2694	0.8573	0.7572	1.483	0.7948	0.9704	0.9699	1.1642	1.2167	1.2424	1.0709	0.8479
"CTC-384G19.1"	0.8735	0.9642	1.1105	1.0615	0.9704	0.9535	1.0975	1.0055	0.8937	0.9939	1.0511	0.9166	0.9746	1.052	0.9596	1.0763	1.076	1.0033	1.1502	0.9854	1.0452	1.1279	0.997	1.0761	1.1556	1.0375	0.913	0.9525	0.8627	0.9869	1	0.9723	0.8028	1.1392	1.0164	0.8982	1.0182	0.8201	1.0867	0.914	1.1254	1.0875	1.0965	0.9814	0.9182
"CTC-425F1.4"	0.5075	0.9084	0.8149	1.9228	1.2231	0.8084	0.7978	1.0544	0.6445	0.8879	0.5571	0.8646	0.9824	0.8252	0.8705	0.9369	1.1915	1.0245	1.738	0.6718	1.0839	1.2636	1.2405	1.055	0.7945	0.8792	1.3417	0.9486	0.6724	0.6266	1.0679	0.747	0.9556	1.7508	0.6366	0.6139	1.0092	0.7441	0.9506	0.9607	1.1822	2.0205	1.2535	0.9951	0.4612
"CTC-428G20.6"	1.1916	1.2669	1.184	1.3731	1.0886	1.0313	1.2214	1.0821	1.2574	1.0701	1.012	1.5324	1.068	1.0662	0.9743	1.2208	0.9064	1.165	1.022	1.3155	1.2915	0.7945	1.13	0.897	1	1.1648	0.9766	0.9507	1.0488	1.0368	0.8252	1.1127	2.6779	1.386	0.8361	1.4738	1.2239	1.1302	1.0378	1.0244	0.9096	0.979	1.0735	1.0657	1.071
"CTC-429P9.3"	0.559	0.728	0.6296	0.7176	0.6571	0.9321	0.8191	0.6945	0.8624	0.7853	0.7585	0.5904	0.8389	0.65	0.7061	0.627	0.6602	0.9465	0.847	0.9882	0.6884	1	1.0219	1.2326	0.8384	1.0916	0.6011	0.9501	1.0308	0.7395	0.7716	0.8398	0.6895	1.0328	0.8489	0.6724	0.7973	0.6228	0.9352	0.7003	1.0594	0.8265	1.101	1.0443	0.6235
"CTC-436K13.5"	1.3916	0.8861	0.7956	0.858	0.9248	0.8288	0.9892	0.9398	1.0343	0.9983	0.8963	1.1158	0.8852	0.993	0.9882	0.9095	0.979	0.7698	1.0673	0.9014	0.951	1.0459	0.7865	1.0013	0.9774	1.068	1.0364	0.8873	1.1411	1.4356	1.0234	0.9943	0.8587	0.7995	1.1814	1.0249	1.0752	0.8934	0.9431	0.8597	0.8948	0.8798	0.7878	1	1.0443
"CTC-444N24.11"	0.9496	0.7299	3.4482	2.242	0.6922	0.8832	1.2553	1.3449	0.8622	1.7845	1.0104	1.0664	0.7163	0.8748	0.9109	1.4865	0.7544	1.258	1.0512	1.2202	0.7612	0.7041	1.1932	1.3237	0.7568	1.215	1.0588	0.9902	0.6322	0.9378	1.0164	1.0048	1.1303	9.7123	0.6946	0.6947	0.9876	0.9554	2.418	1.0218	1.2795	1.41	0.8342	0.7853	0.7724
"CTC-459F4.3"	0.7239	0.7507	1.3251	0.833	1.1583	1.2029	0.875	1.0044	1.1333	1.1817	1.3253	0.8982	0.8688	0.8414	0.8236	1.0328	0.9926	1.1821	0.9382	0.8986	0.9769	0.8524	1.0867	1.0328	0.9536	1.0364	0.883	0.9746	0.7991	0.9441	1.0167	1	0.6369	1.2228	0.7238	0.7357	1.1638	0.7248	1.1417	0.6298	1.2598	0.9416	1.1165	1.0545	0.6075
"CTC-471C19.1"	1.0149	1.3862	1.3811	0.7898	0.9478	0.878	1.0895	0.9075	0.9633	1.0064	1.4335	1.091	0.9764	1.1241	1.0367	0.9456	1.4655	1.1066	1.1744	1.0007	1.1785	0.7391	0.9467	1.0411	0.9194	0.9705	1.143	1.1997	1.3634	1.0117	0.7534	1.0536	1.3664	0.8915	1.2537	1.3727	1.1749	0.9427	1.0824	0.9103	0.8528	0.9402	1	1.0782	1.276
"CTC-471J1.2"	0.965	1.0968	1.1841	1.1554	0.9085	1.031	1.0244	1.6009	1.0849	1.273	1.0585	1.2979	0.9201	1.1166	1.1802	1.1914	1.0157	1.2706	1.1007	1.2351	1.0981	0.9501	0.9197	1.0381	1.0143	1.1134	1	1.3612	0.8557	0.9165	0.8697	0.9338	0.977	2.2018	0.8065	1.0526	1.1298	0.9984	1.143	0.9719	1.2708	1.2235	0.9213	1.3128	1.0213
"CTC-510F12.4"	1.0121	2.5962	6.5559	1.5454	0.5276	2.0693	2.5621	3.0721	2.2582	2.1868	5.2329	3.3588	1.4715	3.785	3.295	3.2569	1.1517	3.8432	1.4638	9.512	1.2749	0.8576	0.5188	0.8443	1.2335	1.2048	1.0529	0.6711	2.9278	0.6174	1.2486	0.9224	1.0066	2.1217	1.3261	1.9117	3.0569	0.4904	1.3209	0.8864	1.1768	0.8293	1.4814	1	1.8312
"CTC-523E23.1"	0.6857	0.5849	0.3451	0.6365	0.5838	1.0356	0.5083	0.6246	0.4588	0.4985	1.0441	0.434	0.4321	0.5152	0.5957	0.4228	0.8263	0.6457	0.4444	0.8297	0.554	0.6591	1.1774	0.8173	0.5646	1.0729	0.8746	1.1655	0.5587	0.7673	1.081	1.5052	0.4369	0.5964	0.6171	0.6133	0.9153	0.5669	1.7049	0.5458	1.0241	1	0.8829	1.0952	0.8061
"CTC-527H23.4"	1.5322	1.1982	1.005	1.1238	1.2069	1.0391	1.0548	0.9452	1.4715	1.1732	1.1674	1.1774	1.4192	1.0032	1.0519	1.0244	1.1176	0.987	1.0517	0.7849	1.514	1.0502	0.9125	1.2039	0.9394	1	0.9699	0.8862	1.2081	1.0843	1.0668	1.0462	2.6806	1.1919	1.7644	1.8182	1.0758	1.9544	1.0194	1.5255	0.976	0.8785	1.2776	0.9711	1.6369
"CTC-550B14.7"	0.9677	1.087	0.8895	0.5758	0.7444	0.8904	0.7758	0.6054	0.8113	0.9013	1.0338	0.7733	0.7981	0.6819	0.802	0.792	0.8227	0.9463	0.8899	0.8026	0.846	1.0816	0.8263	1.0713	1.0952	0.9661	0.6049	1	1.3305	0.912	1.1669	0.8221	1.7151	1.047	1.2148	0.8405	1.363	0.7284	0.9156	0.8246	1.0579	1.1071	0.8923	0.7916	0.6569
"CTD-2002J20.1"	0.9789	1.0301	1.1182	0.9813	0.8369	0.9666	1.1554	0.9626	0.974	0.9026	1.0421	1.002	0.931	1.1166	1.2127	1.1259	0.953	1.2588	0.9622	1.1452	1.1809	0.8839	1.1457	1.0244	0.9646	1.0188	1.2192	0.7851	1.0085	0.8902	0.8832	1.0809	0.8595	0.9683	0.8514	0.9314	1.1477	0.9169	1.013	1.0685	1.018	0.8544	0.9518	1	1.0643
"CTD-2008P7.1"	1.4692	1.3595	1.3116	0.9748	1.1406	1.0452	1.1494	1.0529	1.2086	1.0987	1.2495	1.2992	1.476	1.178	1.1676	1.1867	1.3024	1.0845	1.1168	1.0096	1.2496	0.8978	0.7783	0.9821	0.88	0.9214	1.049	1.1169	1.0106	1.0922	0.7789	1.2249	1.8652	1.1227	1.3953	1.4918	1.3474	1.1462	1.063	1.1715	0.9837	1.0264	0.9551	1.0905	1.4361
"CTD-2012K14.6"	1.3119	1.0069	1.1733	0.7492	0.9728	0.8731	0.9039	1.0152	1.1289	1.2532	1.3205	1.0905	1.2741	1.2655	0.888	1.0782	1.3317	0.9497	1.268	0.7981	0.9699	0.8704	0.7025	0.7945	1.0805	0.7033	1.1552	1.1987	0.946	1.3085	0.9525	1.2333	1.3573	0.8492	1.4702	0.8476	0.9691	1.2159	0.893	1.1037	1.0546	1.0751	1	0.8497	0.991
"CTD-2021H9.3"	0.7371	0.8685	0.9499	0.6355	0.6566	0.7359	0.6859	0.7465	0.8367	0.7168	0.8974	0.8427	0.9398	0.7132	0.7977	0.7314	0.8993	0.9068	0.871	0.6236	0.7663	1.0127	0.8549	0.8242	1.0152	0.8709	0.9441	1.0522	1.1336	0.9206	1.0275	0.9351	1.0563	0.6857	0.874	0.8339	0.7541	0.6871	0.61	0.7684	0.7924	1.0657	1.1735	1	0.6596
"CTD-2033C11.1"	1.0359	0.9642	1.6314	1.1444	1.2292	1.3551	1.1386	0.9814	1.1226	0.8796	1.4427	1.2494	1.0761	1.1838	1.1744	1.4059	1.3107	1.5826	2.144	1.5602	0.9728	0.8793	1	0.9182	0.9688	0.9636	0.9321	1.1756	1.5476	1.1181	0.8246	0.768	1.4591	1.5282	1.1465	1.0632	1.3144	0.819	1.1331	0.998	1.18	1.144	1.1351	1.0793	1.0743
"CTD-2035E11.5"	0.7258	0.7754	1.2429	0.8924	1.1511	1.8556	1.7291	0.83	0.7752	0.6828	1.0166	1.2448	1.0133	0.9132	0.9253	1.3459	0.9956	0.9404	1.289	1.096	0.9083	0.8596	1.1696	1.2543	0.9759	1.173	1.0234	0.9362	0.8708	0.8398	1.078	1.2477	0.7881	4.537	0.7286	0.7162	1.129	0.7315	0.7713	1.0286	1.1267	1	0.8266	0.9817	0.7307
"CTD-2076M15.1"	0.8383	1.3711	1.0001	0.6943	0.7537	0.89	1.0052	1.0364	0.7385	0.768	1.1883	0.874	0.8773	0.7833	0.8226	0.7171	1.2441	1.2125	0.7158	1.0534	0.9423	0.7556	0.9612	1.0203	0.8621	1	1.1465	1.071	0.8009	0.7778	0.8838	0.976	1.1213	0.858	0.8221	0.9168	1.0453	0.7472	0.9668	0.92	1.0774	1.2023	1.1325	1.093	1.3704
"CTD-2083E4.4"	0.8927	0.9202	0.9946	0.9415	0.8436	0.8609	0.8645	1.2898	0.9522	0.9286	0.883	0.8198	1.0079	1.0262	0.8328	0.958	1.0192	0.9829	0.9694	0.8934	0.9076	1.3854	1.0048	0.9459	0.9022	1.0311	1.2492	0.9861	0.8305	0.8402	0.9861	1.1241	1.0897	1.0007	0.9128	0.8145	0.9854	0.8454	0.9317	1.2728	1.2347	1.0929	0.8676	1	0.9816
"CTD-2083E4.7"	0.7065	0.6542	0.6674	0.51	0.769	0.6126	0.6341	0.71	0.7331	0.7432	0.6826	0.5983	0.6554	0.6754	0.657	0.6904	0.8601	0.4811	0.7415	0.4888	0.6426	1.0677	0.7998	0.9544	0.9687	0.7742	0.8002	1.3385	1.6236	1.3375	1.2294	0.8584	0.7935	0.5281	1.2576	0.6937	0.4955	0.7102	0.6232	0.8344	1.093	0.7791	1.1464	1	0.6563
"CTD-2118P12.1"	1.1576	1.0035	0.9919	1.0838	1.2445	1.0146	1.0733	0.9746	0.9528	1.1704	1.0857	1.223	0.924	1.0114	1.0857	1.0494	1.1335	1.0997	1.2378	0.9541	1.3094	1.0763	1.0311	0.9797	0.9374	0.9463	1.0592	0.9374	0.916	1.0785	0.9596	1	0.9597	0.887	1.2627	1.2385	1.0375	1.1961	1.3797	1.2067	1.116	1.0235	0.9249	1.0359	1.2937
"CTD-2130O13.1"	0.9434	0.857	1.0174	0.8908	1.1119	0.9465	1.1266	1.0376	0.9334	0.8107	0.9777	0.9474	1.1684	1.0543	0.8891	0.9291	1.3338	1.0429	1.0038	1.007	0.9298	1.0237	0.9949	1.0569	0.8148	0.8565	1	0.9336	1.8414	1.3612	0.8974	0.9222	1.0031	0.9853	0.9099	1.096	0.9259	1.2138	0.9938	1.2427	0.8904	1.5657	1.0264	1.1256	1.0406
"CTD-2194D22.4"	0.8604	1.4713	0.9833	1.0609	1.1124	0.9925	1.1045	1.0229	0.9603	1.0207	1.2079	1.0984	1.1346	1.0542	1.0805	0.9205	1.3664	1.1427	0.9836	1.0188	1.2948	1.0732	0.8461	1.0464	1.0271	1.1215	1.0821	1.1254	0.9786	0.9396	0.9861	1.1208	1.093	1.1348	1.0511	1.1469	1.2242	0.9991	1.0096	1.0096	0.9555	1	0.9067	0.9311	1.1841
"CTD-2196E14.6"	1.0033	0.9555	1.0465	0.9681	0.9226	0.973	0.9978	0.9075	0.9926	0.9688	1.0216	0.8833	0.7581	0.8844	0.9321	0.95	0.9971	1.0459	1.082	1.034	0.9755	1	0.8552	1.0314	1.1205	1.1838	1.1072	1.3874	0.8559	0.9088	0.8514	1.0631	0.8509	1.4585	0.9284	1.096	0.943	0.9008	0.8216	0.8999	0.9056	0.921	0.9326	1.1694	1.0757
"CTD-2199O4.3///CTD-2199O4.7"	0.9684	0.9544	0.6842	0.6965	0.8441	0.7748	0.7913	0.7613	0.743	0.8455	0.89	0.854	1.0582	0.6716	0.7127	0.7551	0.8726	0.7171	1.1368	0.7225	0.7915	0.8919	0.9329	1	1.0071	0.9636	1.0256	1.0044	1.0127	1.1531	0.7095	0.898	1.1169	0.844	0.7395	0.7992	0.9806	0.9801	1.0066	0.742	0.9136	0.8629	1.039	1.0674	0.9583
"CTD-2251F13.1"	0.9941	1.5847	1.3033	0.8283	0.9194	0.9811	1.1902	1.0381	0.7133	0.8624	1.3709	1.0104	1.2079	0.805	0.8875	1.1047	0.9681	1.2173	0.9357	1.0857	1.0691	0.9962	0.8114	1.2788	0.8821	0.7383	1.047	0.9968	1.6431	0.7562	0.9844	1.0815	1.0954	1.0615	0.9479	0.9624	1.2762	0.6488	0.9382	0.8045	1.0406	1.0879	1.1499	1	1.0476
"CTD-2256P15.2"	1.3282	0.9951	0.9949	1.0092	1.2065	1.1652	1.1978	0.9229	0.9671	0.9275	1.2416	1.115	1.2265	0.949	1.0868	0.8504	1.3555	0.984	1.2472	0.9113	0.9809	0.9596	0.7932	0.8637	0.8006	1	0.7048	1.1865	1.1715	1.3282	1.0007	0.9344	1.5173	1.185	1.5173	1.2873	0.9249	1.0105	0.8474	1.1623	1.1921	0.8909	1.3039	1.2799	0.9326
"CTD-2269F5.1"	0.9337	0.8194	0.8924	0.7345	1.1687	0.9022	0.8098	0.7052	0.8605	0.8474	0.7944	0.8979	1.1293	0.9353	0.9419	0.6754	1.0807	0.9116	0.9344	0.6958	0.9647	1.0646	0.8355	0.7709	1.2758	0.8798	0.8329	0.9867	1.1611	1.3381	1.0605	1.0055	1.1029	0.7033	1.2074	0.7734	0.9896	0.9593	0.7175	0.921	1.0228	0.9028	0.7116	1	0.7754
"CTD-2286N8.2"	1.0219	0.7902	0.9635	0.9559	0.9005	0.8718	0.9512	0.9512	0.8874	0.9481	1.0023	0.8909	0.9896	0.875	0.9218	0.8815	1.1859	1.1437	1.1432	1.1601	1.1199	0.9843	0.9378	1.0559	1.043	1.0067	0.9426	1.1821	0.9035	0.792	1.0853	1.1058	1.1773	1.1007	1.0917	0.9784	1.4396	0.8567	0.9607	0.725	1	0.9206	1.0204	0.993	1.111
"CTD-2287O16.5"	0.7606	0.8649	0.9462	0.8857	0.7745	0.74	0.6714	0.7169	0.7504	0.7478	0.7131	0.9457	0.9387	0.7949	0.8105	0.7819	0.7751	0.9263	0.7785	0.8487	0.9167	0.9189	0.9528	0.9497	1.1284	1.0115	0.9616	0.8923	1.5277	1.2835	1.0183	0.8837	1.0317	0.7888	0.7591	0.9988	0.6381	1.008	0.8338	0.8271	1.11	1.1518	0.9316	0.9494	0.9035
"CTD-2292M16.8"	0.6152	0.8908	0.4537	0.9342	0.6988	1.5496	1.0741	1.0606	0.8389	0.76	0.7005	0.555	0.3904	0.5996	0.5946	0.4776	0.403	1.7216	0.5848	1.8017	0.4612	0.7772	0.9598	1.1627	0.8528	2.2285	0.8695	1.0602	1	1.0017	0.9452	1.1396	0.3846	0.8213	0.3596	0.4029	0.7555	0.6682	2.0442	0.4855	1.0944	1.0659	0.9718	0.8847	0.9166
"CTD-2293H3.1"	1.5716	1.4431	1.3506	1.1862	1.1608	1.1949	1.0908	1.1343	1.3163	1.4647	1.2669	1.5371	1.1507	1.4406	1.5096	1.444	1.2499	1.1573	1.1916	1.1368	1.1699	0.9598	1.2565	0.98	1.2127	1.1766	1.1568	0.9814	1	0.866	0.9204	1.2708	1.7389	1.933	1.5313	1.4383	0.9935	1.1122	1.1994	1.1888	0.9336	1.0367	1.3995	0.8524	2.3798
"CTD-2297D10.2"	0.8797	1.1272	1.1323	0.7254	0.7221	0.8966	0.8647	0.8023	0.797	0.9009	0.9267	1.0271	0.8076	0.9334	0.6982	0.8362	0.973	1.0182	1.0319	0.8165	0.7958	1.1489	1	0.8521	1.0663	1.2168	0.8869	0.9083	1.0801	0.9712	0.8793	1.0708	0.492	0.6113	0.8241	0.9243	0.8539	0.7663	0.8934	0.7937	0.7451	1.096	0.9097	1.3735	0.7457
"CTD-2302E22.4"	0.8975	0.8853	1.2214	1.1716	0.7805	1.0051	1.2355	1.2903	0.89	1.171	1.6999	1.0158	0.9541	1.3367	0.9933	1.2267	0.9519	1.2207	0.9712	1.0517	1.0671	0.867	0.8751	1.1363	0.8582	1	0.9943	1.025	1.0884	1.0114	1.2664	0.9977	0.895	1.4909	0.8546	1.0334	1.0864	0.7448	1.0035	0.7953	1.0821	1.0785	0.9529	0.8124	1.1047
"CTD-2310F14.1"	0.9593	1.1031	1.253	1.0102	0.9279	0.9747	1.2125	1.09	0.9804	0.8641	1.1679	1.0849	1.3136	1.2765	1.1002	1.1407	1.0238	1.1119	1.109	1.1751	0.8922	0.8528	0.9919	1.1024	1.0715	1	0.9936	1.0935	0.9348	0.8707	0.997	1.0356	1.045	0.9585	0.8367	0.9747	1.1504	0.9314	1.1199	0.968	0.9894	1.3018	1.0794	1.1205	0.9038
"CTD-2313J17.5"	0.9526	1.2265	1.4679	0.9492	0.9294	1.3858	1.0197	0.9229	1.329	0.7907	0.9883	1.0777	1.5451	0.9271	0.9329	1.0586	0.9334	1.1802	1.198	0.946	0.9428	1.2127	0.7559	0.9315	1	0.9426	0.8984	1.1987	1.3856	1.1997	1.0905	0.853	0.7687	1.0831	1.4868	1.1192	0.7175	0.945	0.6572	0.966	0.8995	1.5709	0.8774	1.1406	0.9372
"CTD-2325A15.5"	1.2297	1.2808	1.0388	0.8132	0.9694	0.9507	0.8305	0.8529	1.2004	0.9586	1.189	0.96	0.967	1.016	0.8834	1.0287	1.0667	1.0991	0.9005	0.9428	1.0991	1.249	1.2143	1.1155	1.1499	0.8787	1	0.9382	0.7551	0.9711	1.7321	0.9128	1.1252	0.858	1.3791	0.8738	0.9417	0.8165	1.178	0.9341	1.3644	0.9841	0.9647	1.0013	1.1745
"CTD-2350J17.1"	1.1218	1.1725	1.1689	0.9485	0.965	0.9381	0.8966	0.9866	1.016	1.0838	1.1591	1.0222	1.2916	1.1368	0.9955	1.021	1.1531	1.0082	0.9843	1.0612	1.1165	0.9492	1.1063	1.0995	0.9874	0.967	0.929	1.0499	1.1002	1.1485	0.9766	1.0805	1.2739	1.2414	1.0033	1.2069	1.1243	1.1586	1.0151	1.0121	1.1292	1	0.9923	0.9735	1.0107
"CTD-2366F13.2"	1.0006	0.8771	0.6325	0.6091	0.6933	0.6671	0.7409	0.7497	0.8398	0.827	0.8807	0.8144	0.5719	0.6656	0.6692	0.6447	0.7395	0.797	0.8707	0.7817	0.8931	1	0.9704	0.8547	0.9247	1.0611	1.0588	1.0031	0.8927	1.2041	1.0194	1.2598	0.9353	0.7331	0.8584	0.8105	0.74	0.7991	0.7707	0.7907	0.9356	0.9551	0.8909	1.0471	0.8751
"CTD-2373J6.1"	0.9334	0.9047	1.1241	0.9174	0.8689	0.9389	0.9962	1.0452	0.8756	0.8718	0.8971	0.969	0.9389	0.9553	0.9494	0.9464	0.9628	0.986	0.9278	0.9994	1	0.8857	0.9445	0.9849	1.007	0.9941	0.8947	1.0033	1.0063	1	1.071	0.9437	0.9452	1.0292	0.8888	0.9747	0.8949	0.8973	0.9543	0.8865	1.2448	1.1226	0.9267	1.2581	1.0074
"CTD-2377D24.6"	0.9929	0.9532	0.9764	1.2577	0.9483	0.9866	1.1499	1.0247	0.9562	0.983	1.4805	1.0575	1.1335	1.1921	0.9814	0.9915	1.3087	1.0013	1.226	1.0793	1.2877	1.1494	0.9186	0.8343	0.7703	0.8311	1.2335	1	1.0721	0.9564	0.9652	1.174	1.0992	1.1239	1.129	1.2962	1.2537	1.0476	1.1527	1.0549	0.8837	1.0437	1.2326	1.0634	1.0617
"CTD-2520I13.1"	0.8752	0.9273	0.9371	0.7718	0.8505	0.7061	0.7836	0.6821	0.8297	0.8054	0.9063	0.7865	1.0856	0.7683	0.8708	0.8304	0.7958	0.8185	0.7304	0.9749	0.9366	1.1706	1.0189	0.8913	1.0776	0.989	0.9014	0.9646	1.068	1.3741	1	0.8449	1.0189	0.7396	0.8232	0.9503	0.866	0.8792	0.6156	0.7984	1.1071	0.9722	1.0274	0.8991	0.9504
"CTD-2528L19.6"	0.4531	0.5632	0.4332	0.5783	0.5469	0.8018	0.6836	0.9605	0.749	0.8109	0.5039	0.4239	0.3735	0.5949	0.6743	0.3638	0.5089	0.9839	0.4868	0.8226	0.505	0.6237	1.34	1.202	0.8306	1.0622	0.7198	1.5384	0.4667	0.778	1.1113	1	0.3908	0.6828	0.5258	0.3498	0.7066	0.7343	0.7405	0.5492	1.3951	0.9003	0.9975	1.2459	0.5308
"CTD-2534I21.8"	1.4734	0.9465	1.0455	0.8576	1.1546	0.9349	1.0249	0.7906	1.0929	1.0818	0.8657	1.0997	1.529	1.0898	0.9803	1.1285	0.9572	0.8904	1.1571	0.9077	1.1042	0.9948	0.868	0.8375	1.0626	1	1.1669	1.007	1.1804	1.058	1.0079	1.1035	1.411	0.8806	1.4538	1.4768	0.934	1.3142	0.8567	1.0639	0.9955	0.8571	0.8125	0.906	1.1404
"CTD-2537I9.16"	1.2173	1.0562	1.281	0.8657	1.1698	0.9257	1.1031	0.9081	1.0646	0.9088	1.1106	1.0033	1.4972	0.8651	1.0605	0.8721	1.2445	0.694	1.0013	0.8339	1.3467	1.2115	0.6569	0.8834	0.9074	0.7072	1	0.9987	1.1069	1.2439	1.0771	0.7698	1.5246	1.0013	1.3569	1.4182	1.0323	1.2557	0.9408	0.9269	0.9306	1.0602	1.0482	1.1331	0.9294
"CTD-2540F13.2"	0.9472	1.2387	1.0388	0.9126	0.8612	0.8357	0.9667	0.9666	1.0776	0.9062	0.819	0.9107	0.9841	0.9382	0.9456	0.922	0.863	0.9288	0.9252	0.8927	0.9241	1.0316	0.9511	0.9054	1.0768	1.1338	0.9389	0.9309	1	1.0368	0.9702	1.0533	0.9746	0.988	0.9636	0.8678	0.9085	0.9333	0.805	0.9537	0.9517	1.2461	1.0611	0.863	0.9871
"CTD-2541J13.1"	0.9055	0.8615	0.9663	0.8416	0.8574	0.8518	0.9031	0.9873	0.9217	0.921	1.0471	0.9396	0.8443	0.8096	0.9282	0.8723	1.0179	0.9692	0.9239	0.9064	1.0255	1	1.0631	1.0114	0.8189	1.0373	0.95	0.9974	0.9633	1.0198	0.924	1.0195	0.8904	0.8457	1.0763	0.9433	0.8945	0.8503	0.918	0.9013	1.0207	0.9726	0.9745	1.0271	1.0572
"CTD-2541M15.1"	1.0025	1.6703	1.8643	1.453	1.0906	1.4352	1.3286	1.2173	1.1982	1.2454	0.9886	1.3482	1.7301	1.6191	1.5083	1.2788	1.1703	1.313	1.4547	1.5076	1.4553	0.9389	1.6609	1.0009	0.9794	1.1121	0.9109	0.8502	1.0211	0.9479	0.7921	1.0373	2.1881	1.973	0.9208	1.2651	1.6625	1.9352	1.5716	1.2875	1.3878	1	1.0108	0.7694	1.8691
"CTD-2542L18.1"	0.9807	1.1938	1.0949	0.5572	1.1917	1.0802	1.2369	0.9668	1.1407	1.0804	1.4052	1.09	1.1315	1.1218	1.0105	0.9357	0.9677	1.0642	1.0889	1.0642	1.3424	1.1935	0.7122	0.9687	1.0485	1.0631	1.1246	1.0182	0.9256	0.8505	0.8747	1.0938	1.3149	1.0396	1.4913	1.6884	1.2754	1.1432	1.2313	1.1788	0.7843	0.7629	1	1.1197	1.4312
"CTD-2547L24.4"	0.9946	1.2175	1.6522	0.9617	1.0735	1.2159	0.9431	1.1266	1.1416	1.0557	1.3387	1.3317	1.2669	1.0479	0.989	1.1479	1.2576	1.2108	1.0313	1.0353	1.0378	1.0881	0.8996	0.913	1.1056	0.9694	1.0033	1.2883	1.005	1.1691	0.7446	0.833	0.7346	1.2109	1.4762	1.0352	1.402	1.0727	0.9275	1.132	1.1623	1	0.7309	0.8078	1.6367
"CTD-2553C6.1"	0.7117	0.7871	0.7382	0.4843	0.7199	0.605	0.5356	0.6048	0.6805	0.6602	0.661	0.6192	0.6455	0.5964	0.5754	0.5629	0.6545	0.6004	0.6288	0.5115	0.4517	1.0643	0.7702	0.7217	1.1462	0.9096	0.791	0.9437	1	1.3628	1.2383	1.0127	0.7213	0.4026	0.7961	0.565	0.5975	0.8148	0.474	0.7425	0.9467	1.383	0.9621	1.0937	0.4294
"CTD-2555O16.4///MTHFD1"	0.8551	0.8763	0.8455	0.9347	0.7851	1.2996	0.8877	0.9274	0.906	0.9562	0.804	0.918	0.6765	0.8285	0.7225	0.937	0.7386	0.9001	1.0001	0.8283	0.8832	0.9879	0.9325	1.5648	1.0038	1.5845	0.8312	0.9663	0.762	1	1.3836	1.0367	0.7038	0.8979	0.9012	0.7661	1.0671	0.8471	1.2675	0.8431	1.3588	1.0927	0.9224	0.8498	0.7286
